SOLAPUR,526,515,907,0.5678059537
GONDIA,507,567,163,3.4785276074
OSMANABAD,525,623,403,1.5459057072
SANGLI,531,707,691,1.023154848
DHULE,498,769,548,1.4032846715
BHANDARA,506,779,215,3.623255814
PARBHANI,513,796,282,2.8226950355
WASHIM,502,804,152,5.2894736842
NANDURBAR,497,917,500,1.834
LATUR,524,934,431,2.1670533643
BULDHANA,500,945,275,3.4363636364
AURANGABAD,515,946,357,2.649859944
WARDHA,504,965,309,3.1229773463
JALNA,514,1110,285,3.8947368421
KOLHAPUR,530,1181,1028,1.1488326848
AKOLA,501,1271,388,3.2757731959
CHANDRAPUR,509,1276,334,3.8203592814
AMRAVATI,503,1406,378,3.7195767196
NANDED,511,1416,353,4.0113314448
RATNAGIRI,528,1534,835,1.8371257485
YAVATMAL,510,1667,228,7.3114035088
SATARA,527,1669,1291,1.292796282
AHMEDNAGAR,522,1677,1296,1.2939814815
RAIGAD,520,1703,702,2.4259259259
JALGAON,499,1717,1158,1.4827288428
PUNE,521,1734,1234,1.4051863857
NASHIK,516,1795,1123,1.5983971505
GADCHIROLI,508,1798,241,7.4605809129
NAGPUR,505,1889,775,2.4374193548
THANE,517,2620,1534,1.7079530639
