NANDURBAR,497,917,430,500,216,0.4689203926
DHULE,498,769,443,548,205,0.5760728218
JALGAON,499,1717,913,1158,372,0.5317414094
BULDHANA,500,945,340,275,108,0.3597883598
AKOLA,501,1271,495,388,148,0.3894571204
WASHIM,502,183,147,183,72,0.8032786885
AMRAVATI,503,1406,639,378,142,0.4544807966
WARDHA,504,965,535,309,109,0.5544041451
NAGPUR,505,1889,1223,775,265,0.647432504
BHANDARA,506,779,238,215,89,0.3055198973
GONDIA,507,567,155,163,95,0.2733686067
GADCHIROLI,508,1798,476,241,95,0.2647385984
CHANDRAPUR,509,1276,446,334,126,0.3495297806
YAVATMAL,510,1667,363,228,114,0.2177564487
NANDED,511,1416,367,353,138,0.259180791
PARBHANI,513,796,304,282,101,0.3819095477
JALNA,514,1110,357,285,122,0.3216216216
AURANGABAD,515,946,482,357,161,0.5095137421
NASHIK,516,1795,951,1123,415,0.5298050139
THANE,517,2620,1618,1534,661,0.6175572519
RAIGAD,520,1703,755,702,276,0.4433352907
AHMEDNAGAR,522,1677,1130,1296,585,0.6738223017
LATUR,524,934,480,431,174,0.5139186296
OSMANABAD,525,623,387,403,170,0.621187801
SOLAPUR,526,515,315,907,165,0.6116504854
RATNAGIRI,528,1534,997,835,428,0.649934811
SANGLI,531,707,509,691,312,0.7199434229
