,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
0,Amalner,1.33029545063,AMALGAON,21.1279,75.11514,3621.0,57.936,Amalgaon,21.13714545,75.12328021
1,Amalner,1.43465906043,KHAPERKHEDA,21.11249,75.05423,396.0,6.336,Ambare,21.12532293,75.05279871
2,Amalner,0.597545075848,DHEKU SEEM,21.05476,75.00568,743.0,11.888,Ambasan,21.05295501,75.01110372
3,Amalner,2.10692844644,AMODE,21.08918,75.06346,5628.0,90.048,Amode,21.09144491,75.08362283
4,Amalner,1.16829529778,ANCHALVADI,21.02037,74.92348,512.0,8.192,Anchalwadi,21.02616071,74.93287212
5,Amalner,0.481060109855,ARDI,21.04572,74.95618,450.0,7.2,Anora,21.04629274,74.9515853
6,Amalner,1.41080375868,ANTURLI,21.09098,75.05908,10256.0,164.096,Anturli,21.10365511,75.05968479
7,Amalner,1.07635745144,ARDI,21.04572,74.95618,1114.0,17.824,Ardi,21.04931558,74.96580983
8,Amalner,1.31427998521,ATALE,21.04729,74.99293,685.0,10.96,Atale,21.05742771,74.98641837
9,Amalner,0.742306764859,BAMHANE,21.15357,74.90318,706.0,11.296,Bamhane,21.14739014,74.90047283
10,Amalner,1.95761345925,BHARVAS,21.10473,74.94265,1705.0,27.28,Bharvas,21.11482292,74.92718745
11,Amalner,0.684212144655,BHILALI,21.16254,74.91271,1304.0,20.864,Bhilali,21.15761806,74.91666985
12,Amalner,2.77777840744,DHANORA,21.10641,75.01304,427.0,6.832,Bhortek,21.1228541,74.99288097
13,Amalner,0.912416296868,BODARDE,21.11674,74.88772,1578.0,25.248,Bodarde,21.12007424,74.89575741
14,Amalner,0.692782011727,BOHARE,21.17938,75.02027,1885.0,30.16,Bohare,21.17459173,75.01599514
15,Amalner,1.92533354965,GOVARDHAN,21.1317,75.0251,340.0,5.44,Borgaon,21.13097422,75.00655312
16,Amalner,0.857665320006,CHAUBARI,21.11184,74.98604,1642.0,26.272,Chaubari,21.10562069,74.98114971
17,Amalner,0.0419345995032,PIMPALE KH.,21.03924,74.98713,377.0,6.032,Chimanpuri,21.03916462,74.98673409
18,Amalner,0.138526586446,CHOPDAI,20.95111,74.92183,682.0,10.912,Chopdai,20.94992798,74.92140864
19,Amalner,0.885799008488,DAHIWAD,21.07738,75.18918,4935.0,78.96,Dahiwad,21.0847102,75.19252273
20,Amalner,1.15523929004,DAHIWAD KH,21.05232,75.18868,4935.0,78.96,Dahiwad Kh.,21.05560864,75.19924005
21,Amalner,1.2025060893,DONGER BK.,20.96298,74.94336,310.0,4.96,Dangar Bk.,20.96480495,74.9547749
22,Amalner,1.49820406734,DAPORI BK,21.10857,75.20991,310.0,4.96,Dapori Bk.,21.11302117,75.2235421
23,Amalner,0.343656793954,MUNGASE,21.14832,75.21706,992.0,15.872,Dapori kh,21.1489218,75.21380966
