State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
MAHARASHTRA,27.0,SINDHUDURG,529.0,MALVAN,4574.0,WAIRY-BHUTNATH,192994.0,16.186389,73.475833,Wairy-Bhutnath GP,1.0,AADBANDAR,16.21950444,73.44855914,4694.71234988,292.0,4.672,Aadbandar,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,MALVAN,4574.0,WAIRY-BHUTNATH,192994.0,16.186389,73.475833,Wairy-Bhutnath GP,1.0,ACHARE,16.19811727,73.45792787,2314.39218415,1204.0,19.264,Achare,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,MALVAN,4574.0,SHIRVANDE,192982.0,16.440833,73.777778,Shirvande GP,1.0,ACHIRNE,16.44507604,73.77211305,766.549772852,1255.0,20.08,Achirne,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,VENGURLA,4577.0,MOCHEMAD,193120.0,15.845,73.701389,Mochemad GP,1.0,ADARI,15.84926159,73.65033951,5481.22558542,392.0,6.272,Adari,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,VENGURLA,4577.0,WAYANGANI,193133.0,15.916944,73.674167,Wayangani GP,1.0,ADELI,15.91230614,73.69458261,2243.1868315,2385.0,38.16,Adeli,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,MALVAN,4574.0,MASURE-DANGMODE,192968.0,16.239444,73.536111,Masure GP,1.0,ADVALI,16.21348515,73.5592652,3800.38957497,302.0,4.832,Advali,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,VENGURLA,4577.0,ASOLI,193106.0,15.8075,73.702222,Asoli GP,1.0,AJGAON,15.78978402,73.70727209,2042.68723718,2637.0,42.192,Ajgaon,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,KUDAL,4573.0,AKERI,192866.0,15.92845,73.780667,Akeri GP,1.0,AKERI,15.93396432,73.77517565,848.955242251,1959.0,31.344,Akeri,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,MALVAN,4574.0,AMDOS,192936.0,16.225556,73.622778,Amdos GP,1.0,AMAVANE,16.22759252,73.62398371,260.481934079,351.0,5.616,Amavane,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,KUDAL,4573.0,AMBADPAL,192867.0,16.0072,73.707917,Ambadpal GP,1.0,AMBADPAL,16.0050414,73.70156765,719.840981679,796.0,12.736,Ambadpal,100
MAHARASHTRA,27.0,SINDHUDURG,529.0,VENGURLA,4577.0,VAJRATH,193132.0,15.966389,73.845556,Vajrat GP,1.0,AMBEGAON,15.96829989,73.85253302,775.552359983,1163.0,18.608,Ambegaon,100
