State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
ASSAM,18.0,NAGAON,305.0,DHALPUKHURI,2660.0,BHALUKMARI,107390.0,25.952806,92.954389,BHALUKMARI,1.0,Diphu,25.95463,93.38259,42812.2885193,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DHALPUKHURI,2660.0,KUMURAKATA,107394.0,25.976333,92.795583,KUMURAKATA,1.0,Baithalan,25.84912,92.53583,29580.6993346,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,BARHAMPUR,2657.0,CHAPANALA,107343.0,26.337044,92.870528,CHAPANALA,1.0,Hora Ghat,26.29437,93.11707,25027.0955364,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,BATADRAVA,2658.0,KATAHGURI,107358.0,26.379212,92.500829,KATAHGURI,1.0,Borigaon,26.3778,92.48693,1393.45233114,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,PAGHALI,107259.0,26.332013,92.544153,PAGHALI,1.0,Tupgaon,26.34033,92.54134,966.360531145,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BORCHILA,107257.0,26.358366,92.536297,BORCHILA,1.0,Kuji Satra,26.36739,92.52572,1455.1073772,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BORCHILA,107257.0,26.358366,92.536297,BORCHILA,1.0,Simaluguri,26.34833,92.54907,1692.65502162,3835.0,61.36,Simaluguri,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,CHABUKDHARA,107258.0,26.326058,92.494219,CHABUKDHARA,1.0,Paraliguri,26.33776,92.51433,2389.55602751,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BORCHILA,107257.0,26.358366,92.536297,BORCHILA,1.0,Boalguri,26.36233,92.53748,456.263508075,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BORCHILA,107257.0,26.358366,92.536297,BORCHILA,1.0,Ga-Khajua,26.35809,92.54731,1097.7051964,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BORCHILA,107257.0,26.358366,92.536297,BORCHILA,1.0,Kahu Ati,26.35744,92.52654,977.57551832,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BORCHILA,107257.0,26.358366,92.536297,BORCHILA,1.0,Haladhi Ati,26.35033,92.53629,893.562702717,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,BATADRAVA,2658.0,KATAHGURI,107358.0,26.379212,92.500829,KATAHGURI,1.0,Tumukabari,26.37428,92.50471,670.993499902,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,BATADRAVA,2658.0,KATAHGURI,107358.0,26.379212,92.500829,KATAHGURI,1.0,Rangadaria,26.37671,92.4964,521.597295139,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,PAGHALI,107259.0,26.332013,92.544153,PAGHALI,1.0,Barsila,26.34081,92.52481,2161.58872044,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,PAGHALI,107259.0,26.332013,92.544153,PAGHALI,1.0,Pub Barigaon,26.33495,92.54268,358.053642915,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,PAGHALI,107259.0,26.332013,92.544153,PAGHALI,1.0,Borhollong,26.33997,92.53208,1493.42892521,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,PAGHALI,107259.0,26.332013,92.544153,PAGHALI,1.0,Molau Kamura,26.32012,92.53484,1615.64937795,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,CHABUKDHARA,107258.0,26.326058,92.494219,CHABUKDHARA,1.0,Suratabari,26.3451,92.49134,2136.72315051,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,PAGHALI,107259.0,26.332013,92.544153,PAGHALI,1.0,Bor-Monipur,26.32165,92.5272,2045.10445249,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,CHABUKDHARA,107258.0,26.326058,92.494219,CHABUKDHARA,1.0,Itakhali Chabukdhara,26.31973,92.51064,1781.45169654,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BHAKATGAON,107256.0,26.300528,92.513483,BHAKATGAON,1.0,Chotamonipur,26.31909,92.51976,2156.7469963,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,CHABUKDHARA,107258.0,26.326058,92.494219,CHABUKDHARA,1.0,Charipunia,26.32298,92.49816,520.972449753,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,CHABUKDHARA,107258.0,26.326058,92.494219,CHABUKDHARA,1.0,Hekodangbari,26.32109,92.48492,1078.92759697,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BHAKATGAON,107256.0,26.300528,92.513483,BHAKATGAON,1.0,Pag-Hali,26.30473,92.53076,1784.47082467,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,CHABUKDHARA,107258.0,26.326058,92.494219,CHABUKDHARA,1.0,Niz-Mikirbheta,26.32024,92.47479,2041.59728741,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BHAKATGAON,107256.0,26.300528,92.513483,BHAKATGAON,1.0,Kawoibari,26.30483,92.52125,910.091401202,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BHAKATGAON,107256.0,26.300528,92.513483,BHAKATGAON,1.0,Bhakat Gaon,26.2983,92.50991,433.863056168,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BHAKATGAON,107256.0,26.300528,92.513483,BHAKATGAON,1.0,Ghumati Gaon,26.29838,92.49834,1528.31218587,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,DOLONGGHAT,2651.0,BHAKATGAON,107256.0,26.300528,92.513483,BHAKATGAON,1.0,Bamunbari,26.28845,92.52041,1510.14571171,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Mowamari,26.54213,92.89979,5350.98470451,1359.0,21.744,Mowamari,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Darigaji,26.53917,92.9493,9827.23430286,780.0,12.48,Darigaji,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Jaokata Pathar,26.54139,92.98945,13780.7480211,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,JUGIJAN,2662.0,HAYANG BASTI,107414.0,26.070833,92.75825,HAYANG BASTI,1.0,Mikirgaon,26.1642,92.74387,10480.7389469,1007.0,16.112,Mikirgaon Chapanala,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Madhotari,26.57683,92.94874,11536.5197746,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,SINGIMARI,107496.0,26.474347,92.764437,SINGIMARI,1.0,Pachim Salpara,26.48173,92.77375,1238.21188707,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,SALPARA,107495.0,26.495405,92.78004,SALPARA,1.0,Pub Salpara,26.48848,92.7838,856.129613393,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Dulal Madhab,26.58687,92.94706,12078.582022,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Kuwaritol,26.55224,92.93736,9187.61991346,2373.0,37.968,Kuwaritol,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Jaokata,26.5472,92.98093,13096.7064794,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,TUBUKIJARANI,107497.0,26.52935,92.82845,TUBUKIJARANI,1.0,Borghuli No.4,26.56052,92.85231,4200.708892,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,BHURBANDA,107489.0,26.541087,92.793491,BHURBANDA,1.0,Bogamukh No.3,26.54337,92.76976,2374.26500233,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Niz Pubthoria,26.5746,92.9285,9787.58359684,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Jawani,26.57978,92.89096,7852.13123445,714.0,11.424,Jawani,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Sakmuthi,26.56891,92.96221,12225.3881885,933.0,14.928,Sakmuthi T.E. No.5,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Salpara,26.57577,92.89968,7931.4187369,150.0,2.4,Salpara,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Chatial,26.56222,92.94893,10710.2149933,1510.0,24.16,Chatial Gaon,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,TUBUKIJARANI,107497.0,26.52935,92.82845,TUBUKIJARANI,1.0,Bhurbandha No.2,26.57629,92.85293,5759.51315521,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Garikuri,26.55725,92.96937,12340.0518401,1070.0,17.12,Garikuri,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Langichuk,26.55874,92.91718,7812.3304411,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Teliachuk,26.56584,92.92807,9152.61092009,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Kotiachapori,26.57451,92.88989,7288.17547656,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,TUBUKIJARANI,107497.0,26.52935,92.82845,TUBUKIJARANI,1.0,Bhurbandha No.1,26.57953,92.86402,6606.88742835,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,TUBUKIJARANI,107497.0,26.52935,92.82845,TUBUKIJARANI,1.0,Dalpani,26.57066,92.86766,6025.88094134,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Noltoli,26.56243,92.88165,5715.47945151,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Kawaimari,26.52097,92.90525,5162.04863863,768.0,12.288,Kawaimari,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Pataliati,26.52423,92.89893,4579.08840343,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,SINGIMARI,107496.0,26.474347,92.764437,SINGIMARI,1.0,Forest,26.49721,92.71899,5188.5801377,1093.0,17.488,Udmari Forest,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Baraligaon,26.51838,92.95669,10267.0999646,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,SINGIMARI,107496.0,26.474347,92.764437,SINGIMARI,1.0,Pub Futaljar,26.47614,92.72369,4060.59262417,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,KAWOIMARI,107491.0,26.467589,92.818397,KAWOIMARI,1.0,Kawaimari,26.45861,92.81959,1005.45711178,768.0,12.288,Kawaimari,100
ASSAM,18.0,NAGAON,305.0,JURIA,2663.0,MELEKADHING MUKUNDAATI,107435.0,26.470344,92.580169,MELEKADHING MUKUNDAATI,1.0,Malekadhing,26.4563,92.60507,2929.64624277,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,SINGIMARI,107496.0,26.474347,92.764437,SINGIMARI,1.0,Hatipukhuri,26.44788,92.72548,4868.2807501,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,BATADRAVA,2658.0,BHOMORAGURI,107352.0,26.394686,92.561244,BHOMORAGURI,1.0,Haidubi Pathar,26.40828,92.55784,1549.13735419,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,BATADRAVA,2658.0,SAHARIA,107360.0,26.418469,92.489628,SAHARIA,1.0,Saharia Gaon,26.42639,92.49797,1210.706632,1000.0,16.0,,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Bhomoraguri,26.5637,92.89713,6714.79853329,826.0,13.216,Bhomoraguri,100
ASSAM,18.0,NAGAON,305.0,LAOKHOWA,2668.0,AMBAGAN,107487.0,26.51762,92.853503,AMBAGAN,1.0,Moriagaon,26.55936,92.92881,8812.67673486,1000.0,16.0,,100
