State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,BUTIPALI,127964.0,21.54307,82.87151,BUTIPALI,2.0,Butipali,21.53887,82.87607,663.735826776,970.0,15.52,Butipali,100
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,BELTIKARI,127954.0,21.5276,82.84997,BELTIKARI,2.0,Hedaspali,21.53103,82.85063,387.460261682,1000.0,16.0,,100
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,BADESAJAPALI,127944.0,21.5158,82.881,BADESAJAPALI,2.0,Loharpali,21.52647,82.88241,1195.38141456,521.0,8.336,Loharpali,100
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,BELTIKARI,127954.0,21.5276,82.84997,BELTIKARI,2.0,Bhuthabahra,21.51927,82.83258,2023.30668232,1000.0,16.0,,100
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,BELTIKARI,127954.0,21.5276,82.84997,BELTIKARI,2.0,Beltikri,21.51689,82.84634,1248.69252308,618.0,9.888,Beltikri,100
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,BADESAJAPALI,127944.0,21.5158,82.881,BADESAJAPALI,2.0,Bundelabhatha,21.51667,82.88792,722.354553831,887.0,14.192,Bundelabhatha,100
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,SALKHAND,128021.0,21.49717,82.87528,SALKHAND,2.0,Badesajapali,21.50466,82.85616,2146.27931416,2814.0,45.024,Badesajapali,100
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,BELTIKARI,127954.0,21.5276,82.84997,BELTIKARI,2.0,Kewtapali,21.50921,82.85718,2176.64498908,569.0,9.104,Kewtapali,100
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,BHWARCHUWA,127956.0,21.49393,82.89127,BHWARCHUWA,2.0,Khurdarha,21.50666,82.89969,1662.07971898,301.0,4.816,Khurdarha,100
CHHATTISGARH,22.0,MAHASAMUND,411.0,BASNA,3680.0,SALKHAND,128021.0,21.49717,82.87528,SALKHAND,2.0,Harda,21.49576,82.88081,593.228465252,826.0,13.216,Harda,100
