State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
MAHARASHTRA,27.0,SATARA,527.0,KARAD,4560.0,SALSHIRAMBE,191440.0,17.14838,74.09746,SALSHIRAMBE,2.0,5ALSHIRAMBE,17.14028562,74.10442153,1165.00606212,1000.0,16.0,,100
MAHARASHTRA,27.0,SATARA,527.0,KARAD,4560.0,VASANTGAD,191486.0,17.30862,74.10782,VASANTGADH,2.0,ABACHIWADI,17.31577498,74.11559124,1146.10643743,1624.0,25.984,Abachiwadi,100
MAHARASHTRA,27.0,SATARA,527.0,PATAN,4566.0,GIREWADI,192068.0,17.34719,74.01795,GIREWADI,2.0,ABDARWADI,17.34878887,74.0126538,589.566719168,853.0,13.648,Abdarwadi,100
MAHARASHTRA,27.0,SATARA,527.0,WAI,4569.0,GADHAVEWADI,192601.0,18.00846,73.8382,GADHAVEWADI,1.0,ABHEPURI,18.01326131,73.82694866,1304.07805061,1247.0,19.952,Abhepuri,100
MAHARASHTRA,27.0,SATARA,527.0,MAHABALESHWAR,4564.0,DEVASARE,191154.0,17.85824,73.70504,DEVASARE,2.0,ACHALI,17.86904559,73.71546059,1630.93649634,307.0,4.912,Achali,100
MAHARASHTRA,27.0,SATARA,527.0,KARAD,4560.0,BHURBHUSHI,191304.0,17.13124,73.99083,BHURBHUSHI,2.0,ACHAREWADI,17.14272187,73.98268436,1542.46228962,656.0,10.496,Acharewadi,100
MAHARASHTRA,27.0,SATARA,527.0,KHANDALA,4561.0,DAPKEGHAR,241655.0,18.1024,74.13118,DAPAKEGHAR,1.0,ADACHIWADI,18.20416482,74.14173137,11370.5188771,1000.0,16.0,,100
MAHARASHTRA,27.0,SATARA,527.0,PATAN,4566.0,KODAL REH,241671.0,17.33112,73.8872,Kondan,2.0,ADADEV,17.32742791,73.88972194,490.108853198,584.0,9.344,Adadev,100
MAHARASHTRA,27.0,SATARA,527.0,PHALTAN,4567.0,ADARKI BK,192239.0,17.92275,74.218417,ADARKI BK,1.0,ADARKI BK.,17.90590941,74.22155455,1901.78528514,1000.0,16.0,,100
MAHARASHTRA,27.0,SATARA,527.0,KOREGAON,4563.0,JADHAVWADI,191770.0,17.8804,74.18202,JADHAVWADI,1.0,ADARKI KH.,17.89233586,74.189202,1529.40642072,1000.0,16.0,,100
MAHARASHTRA,27.0,SATARA,527.0,JAWALI,4559.0,RENGADI,191240.0,17.87745,73.73754,RENGADI,2.0,ADHAL,17.86510203,73.73251102,1472.5720749,205.0,3.28,Adhal,100
MAHARASHTRA,27.0,SATARA,527.0,KOREGAON,4563.0,PALASHI,191808.0,17.81823,73.10891,PALASHI,1.0,ADKHAL,17.81677173,73.11555064,721.447354708,1000.0,16.0,,100
MAHARASHTRA,27.0,SATARA,527.0,MAHABALESHWAR,4564.0,AKALPE,191119.0,17.72766,73.69412,AKALPE,2.0,ADOSHI,17.70205006,73.67743427,3351.5731895,29.0,0.464,Adoshi,100
MAHARASHTRA,27.0,SATARA,527.0,PATAN,4566.0,ADUL PETH,192005.0,17.35169,73.95268,ADUL PETH,2.0,ADUL,17.34937746,73.9487591,489.182944491,1970.0,31.52,Adul,100
MAHARASHTRA,27.0,SATARA,527.0,JAWALI,4559.0,RITKAWALI,191242.0,17.77866667,73.85025,RITKAWALI,2.0,AGALAVEWADI,17.78410594,73.85385934,715.442851156,379.0,6.064,Agalavewadi,100
MAHARASHTRA,27.0,SATARA,527.0,JAWALI,4559.0,DHANAKAVADI,191155.0,17.75574,73.87038,DHANKAVADI,2.0,AGUDEWADI,17.7293016,73.89111913,3669.69803614,912.0,14.592,Agudewadi,100
MAHARASHTRA,27.0,SATARA,527.0,KHANDALA,4561.0,AHIRE,191507.0,18.05843,74.07563,AHIRE,1.0,AHIRE,18.0541245,74.07451001,493.174261178,484.0,7.744,Ahire,100
MAHARASHTRA,27.0,SATARA,527.0,MAHABALESHWAR,4564.0,AHIRE,191118.0,17.75626,73.7311,AHIRE,2.0,AHIRE,17.74601276,73.72911676,1158.63597684,484.0,7.744,Ahire,100
MAHARASHTRA,27.0,SATARA,527.0,KHANDALA,4561.0,AJNUJ,191508.0,18.05172,74.00252,AJNUJ,1.0,AJNUJ,18.05692942,73.98792738,1647.89751706,1111.0,17.776,Ajnuj,100
