,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
0,DEOGAD,1.33238994056,CHAFED,16.338611,73.630556,629.0,10.064,Chafed,16.34448806,73.61967418
1,DEOGAD,5.86733237171,MOND,16.513333,73.646389,280.0,4.48,Chinchwad,16.56471812,73.65889996
2,DEOGAD,4.7656855028,KATWAN,16.346389,73.423611,794.0,12.704,Katvan,16.30778402,73.40421327
3,DEOGAD,4.7656855028,KATWAN,16.346389,73.423611,829.0,13.264,Katwan,16.30778402,73.40421327
4,DEOGAD,4.55725392808,TIRLOT,16.510556,73.401389,715.0,11.44,Mohulgaon,16.47820235,73.37515053
5,DEOGAD,3.90287827495,PAVANAI,16.658333,73.601944,732.0,11.712,Pavnai,16.63645149,73.57329946
6,DEOGAD,4.21977042189,POYARE,16.254722,73.513889,943.0,15.088,Poyare,16.25514431,73.47436198
7,DEOGAD,3.53082773161,SAUNDALE,16.615,73.541667,1939.0,31.024,Saundale,16.60822974,73.57404151
8,DEOGAD,2.25855137816,TIRLOT,16.510556,73.401389,2307.0,36.912,Tirlot,16.49032845,73.40331464
9,DEOGAD,5.4310416143,WANIVADE,16.470833,73.518611,811.0,12.976,Wanivade,16.4328964,73.48653397
10,Kudal,0.848955242252,AKERI,15.92845,73.780667,1959.0,31.344,Akeri,15.93396432,73.77517565
11,Kudal,0.719840981681,AMBADPAL,16.0072,73.707917,796.0,12.736,Ambadpal,16.0050414,73.70156765
12,Kudal,1.06832690151,WADOS,16.01145,73.808167,314.0,5.024,Amberi,16.00241674,73.8047627
13,Kudal,1.90491585517,AMBRAD,16.191667,73.744683,2650.0,42.4,Ambrad,16.18519888,73.72816471
14,Kudal,1.90491585517,AMBRAD,16.191667,73.744683,2650.0,42.4,Ambrad1,16.18519888,73.72816471
15,Kudal,0.588066864118,ANAV,16.077283,73.69475,2186.0,34.976,Anav,16.08023039,73.69018007
16,Kudal,4.29300250013,ANDURLA,15.939383,73.60655,1956.0,31.296,Andurle,15.97308912,73.58696825
17,Kudal,3.08688618444,VASOLI,16.0527,73.9286,189.0,3.024,Anjivade,16.07963803,73.93558222
18,Kudal,1.52027177344,AWALEGAON,16.1153,73.75345,782.0,12.512,Avalegaon,16.10346172,73.76056931
19,Kudal,0.567652478086,VETAL-BAMBARDE,16.053367,73.720133,447.0,7.152,Bambarde Tarf Kalsuli,16.05093432,73.72480322
20,Kudal,0.640919768621,BAMBULI,16.044267,73.683617,594.0,9.504,Bambuli,16.03994912,73.67964407
21,Kudal,1.27653756108,BAV,16.050283,73.68055,1332.0,21.312,Bav,16.05030613,73.66860419
22,Kudal,1.11184135764,PAWASHI,16.024467,73.698,543.0,8.688,Belnadi,16.01446798,73.69798562
23,Kudal,2.09964457656,MANGAON,15.9714,73.7728,796.0,12.736,Bengaon,15.98320999,73.78812548
24,Kudal,1.45492802033,BHADGAONBUDRUK,16.156533,73.790017,465.0,7.44,Bhadgaon Bk.,16.16120461,73.77729219
25,Kudal,1.45492802033,BHADGAONBUDRUK,16.156533,73.790017,465.0,7.44,Bhadgaon Kh.,16.16120461,73.77729219
26,Kudal,1.9361289507,BHARNI,16.175833,73.86745,1043.0,16.688,Bharani,16.15955937,73.86100246
27,Kudal,2.37619256868,MANGAON,15.9714,73.7728,349.0,5.584,Bhattgaon,15.95480678,73.78680579
28,Kudal,2.30945834464,JAMBHAVDE,16.18575,73.85825,1242.0,19.872,Bhutvad,16.17397293,73.84043682
29,Kudal,1.15123992763,BIBAWANE,15.971933,73.708933,1356.0,21.696,Bibavane,15.96376961,73.70230948
30,Kudal,0.81807692219,PAWASHI,16.024467,73.698,1069.0,17.104,Borbhat,16.02504963,73.69036946
31,Kudal,5.21998761536,VASOLI,16.0527,73.9286,473.0,7.568,Chafeli,16.05240708,73.87975177
32,Kudal,0.908642404601,CHENDVAN,16.0141,73.588017,494.0,7.904,Chendawan,16.00737784,73.58318322
33,Kudal,1.68984844029,PINGULI,15.9821,73.6944,1119.0,17.904,Deulwadi,15.96978567,73.68513653
34,Kudal,1.19383084106,MANGAON,15.9714,73.7728,858.0,13.728,Dholkarwadi,15.96166172,73.76809802
35,Kudal,1.72237972604,DIGAS,16.09405,73.732267,1115.0,17.84,Digas,16.08122358,73.72322889
36,Kudal,4.00960485699,SONAWADETARFKALSULI,16.183,73.880633,430.0,6.88,Durganagar,16.18017722,73.9180645
37,Kudal,1.91960072716,CHENDVAN,16.0141,73.588017,397.0,6.352,Gandhigram,16.00293738,73.5743168
38,Kudal,0.555897803712,PARABWADA(PAT),15.965333,73.57185,390.0,6.24,Gandhinagar,15.97013341,73.57039785
39,Kudal,2.33812006806,WALAWAL,16.00665,73.605033,815.0,13.04,Gaondhad,15.98644979,73.61110734
40,Kudal,1.58541789319,GAORAI,16.113183,73.660517,1140.0,18.24,Gaorai,16.12103675,73.64813018
41,Kudal,2.93987383073,KUPAWADE,16.201817,73.838783,319.0,5.104,Gavalgaon,16.19948193,73.81135838
42,Kudal,0.637306020854,SONAWADETARFKALSULI,16.183,73.880633,774.0,12.384,Ghadigaon,16.17747182,73.88220818
43,Kudal,2.70102927952,MANGAON,15.9714,73.7728,826.0,13.216,Ghatakarnagar,15.97762862,73.74837813
44,Kudal,2.25638399567,GHAVNALE,16.001283,73.7657,939.0,15.024,Ghavanale,16.00014322,73.78677666
45,Kudal,2.14616275991,GHOTAGE,16.167233,73.8808,1550.0,24.8,Ghotage,16.15518405,73.89649842
46,Kudal,1.83885424573,GIRGON-KUSGAON,16.0858,73.79855,623.0,9.968,Girgaon,16.0876081,73.81565796
47,Kudal,2.08749745272,PINGULI,15.9821,73.6944,2251.0,36.016,Gondhalpur,15.98026225,73.67496576
48,Kudal,2.01087041444,GOVERI,15.9558,73.664417,414.0,6.624,Gondhayale,15.9736475,73.66138372
49,Kudal,0.816416547927,GOTHOS,16.037,73.832667,1548.0,24.768,Gothos,16.03826344,73.82514142
50,Kudal,0.832588722564,GOVERI,15.9558,73.664417,1000.0,16.0,Goveri,15.95923086,73.65749488
51,Kudal,0.840561823632,PINGULI,15.9821,73.6944,2309.0,36.944,Gudhipur,15.98750128,73.69990138
