State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,APATI,188819,18.780952,73.242159,APATI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,BID KHURD,188820,18.501679,73.202528,BID KHURD,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,BORGAON KH,188821,18.926351,73.278375,BORGAON,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,CHAMBHARLI,188822,18.893781,73.19079,CHAMBHARLI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,CHAVANI,188823,18.722707,73.334103,CHAVANI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,CHILTAN,188824,18.749066,73.252006,CHILTAN,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,CHOWK,188825,18.535336,73.143574,CHOWK,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,DEONHAVE,188826,18.779979,73.285975,DEONHAVE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,GORTHAN BK,188827,18.775343,73.22275,GORTHAN,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,HAL.KH,188828,18.490804,73.182603,HAL.KH,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,HONAD,188829,18.460803,73.182962,HONAD,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,HORHALE,188830,18.784498,73.232408,HORHALE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,ISAMBE,188831,18.50546,73.132029,ISAMBE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,JAMBHIVALI,188833,18.769756,73.22369,JAMBHIVALI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,JAMBRUNG,188832,18.495859,73.202508,JAMBRUNG,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,KALOTE,188834,18.512669,73.164184,KALOTE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,KHALAPUR,188835,18.494471,73.170915,KHALAPUR,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,KHANAV,188836,18.744839,73.268527,KHANAV,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,KHARIVALI,188837,18.744869,73.242907,KHARIVALI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,KUMBHIVALI,188838,18.491843,73.152886,KUMBHIVALI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,MADAP,188841,18.49558,73.141104,MADAP,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,MAJGAON,188839,18.510621,73.135571,MAJGAON,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,MANDAD ATKARGAON,188840,18.460068,73.891651,MANDAD,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,MANKIVALI,188842,18.492716,73.190875,MANKIVALI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,NADODE,188844,18.505412,73.154164,NADODE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,NANDANPADA,188845,18.76194,73.232689,NANDANPADA,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,NARANGI,188846,18.766225,73.249154,NARANGI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,NAVANDE,188847,18.50271,73.184093,NAVANDE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,SAJGAON,188848,18.472736,73.183069,SAJGAON,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,SAVOROLI,188849,18.482555,73.171232,SAVOROLI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,SHIRWALI,188850,18.773565,73.21372,SHIRWALI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,TAMBATI,188851,18.790516,73.263341,TAMBATI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,TEMBHARI,188852,18.525895,73.132714,TEMBHARI,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,THANENHAVE,188853,18.774015,73.289943,THANENHAVE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,UMBRE,188854,18.741036,73.288733,UMBRE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,VADGAON,188858,18.520834,73.115079,VADGAON,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,VADVAL,188858,18.780982,73.272964,VADVAL,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,VAROSE,188859,18.940594,73.26227,VAROSE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,VASAMBE,188843,18.899653,73.180905,VASAMBE,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,VAVANDAL,188856,18.888902,73.266416,VAVANDAL,21
MAHARASHTRA,27,RAIGAD,520,KHALAPUR,4527,VAVARLE,188860,18.920378,73.288606,VAVARLE,21
