,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
0,Lakhani,1.0488640547,ALESUR,21.09483,79.86922,1219.0,19.504,Alesur,21.08632676,79.87359603
1,Lakhani,1.12017691862,BHUGAON,20.95029,79.93729,1359.0,21.744,Bhugaon,20.94027218,79.93842753
2,Lakhani,0.13918709056,CHANNA,21.03283,79.82491,1409.0,22.544,Channa,21.03357524,79.82383249
3,Lakhani,1.87020903534,RENGEPAR[KOH],21.04834,79.88306,517.0,8.272,Chichtola,21.03152242,79.88281036
4,Lakhani,1.12250660591,DAITMANGALI,21.11524,79.80644,275.0,4.4,Chikhalbodi,21.12533377,79.80660507
5,Lakhani,0.578329065764,DAITMANGALI,21.11524,79.80644,516.0,8.256,Daitmangli,21.11070359,79.80916703
6,Lakhani,2.23090920526,DHABETEKADI,21.02264,79.87844,969.0,15.504,Dhabetekadi,21.02177074,79.89991345
7,Lakhani,0.774682798129,DHANALA,21.02899,79.83033,1101.0,17.616,Dhanala,21.02211852,79.83156101
8,Lakhani,2.90241328021,GONDI,20.9146,79.84409,507.0,8.112,Dhwarkheda,20.88934933,79.85116786
9,Lakhani,1.0574677625,DIGHORI,20.98025,79.88995,1091.0,17.456,Dighori,20.97092112,79.89192848
10,Lakhani,1.08106313656,GADEGAON,21.0842,79.79557,624.0,9.984,Gadegaon,21.07683605,79.80237305
11,Lakhani,3.01006679196,POHARA,21.03175,79.84964,591.0,9.456,Gadpendhari,21.00678086,79.83843821
12,Lakhani,0.469493938734,GARADA,21.04311,79.80483,496.0,7.936,Garada,21.04557383,79.80850389
13,Lakhani,1.32286050207,GHODEZARI,20.93909,79.8933,1071.0,17.136,Ghodezari,20.92905886,79.88645193
14,Lakhani,1.66609075629,GONDEGAON,20.97922,79.85587,792.0,12.672,Gondegaon,20.9698263,79.86837158
15,Lakhani,0.803141347008,GONDI,20.9146,79.84409,500.0,8.0,Gondi,20.90798635,79.84719795
16,Lakhani,0.410396975349,GONDSAWARI,21.13127,79.83881,946.0,15.136,Gondsawari,21.13126913,79.84276686
17,Lakhani,1.69435553009,GURDHA,20.96893,79.85921,1326.0,21.216,Gurdha,20.95537338,79.86666052
18,Lakhani,1.19330349414,ISAPUR,20.97786,79.84871,955.0,15.28,Isapur,20.96716147,79.84961206
19,Lakhani,0.585824790849,KANERI,20.99317,79.85601,2124.0,33.984,Kaneri,20.98827175,79.85393208
20,Lakhani,1.32532121149,KANHALGAON,20.96775,79.88293,885.0,14.16,Kanhalgaon,20.9561424,79.88582805
21,Lakhani,0.957010195422,KAWALEWADA,20.92313,79.85889,422.0,6.752,Kawadsi,20.92663108,79.85047255
22,Lakhani,1.27092395521,RENGOLA,20.96243,79.82256,698.0,11.168,Kesalwada,20.96309922,79.83477881
23,Lakhani,1.29812924999,KESALWADA[P],21.14334,79.86518,2071.0,33.136,Kesalwada (pawar),21.1445389,79.87763086
24,Lakhani,0.075026563127,KESALWADA[W],21.05713,79.79752,2071.0,33.136,Kesalwada (Waghaye),21.05760874,79.79802949
25,Lakhani,0.386381142233,KAWALEWADA,20.92313,79.85889,866.0,13.856,Khairi,20.92559266,79.86151453
26,Lakhani,1.22811940228,KHAIRI,21.07021,79.8942,866.0,13.856,Khairi,21.07378323,79.90539969
27,Lakhani,0.716852331146,KHARASHI,20.91105,79.89431,1338.0,21.408,Kharashi,20.91011353,79.88748186
28,Lakhani,3.55237007346,DONGARGAON[N],20.98511,79.83762,352.0,5.632,Khaurshipar,20.99562462,79.80530849
29,Lakhani,1.51265056415,KHEDEPAR,21.11609,79.8372,885.0,14.16,Khedepar,21.10314389,79.84167858
