State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Balichapori,26.74091,93.84691,13103.7566093,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,UTTAR GURUJOGANIA,105100.0,26.66055,94.018,UTTAR GURUJOGANIA,1.0,Dakhin Dalijalia,26.7328,93.94144,11062.8711518,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,UTTAR GURUJOGANIA,105100.0,26.66055,94.018,UTTAR GURUJOGANIA,1.0,Dergaon Town,26.73107,93.96173,9629.97458346,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Badulipara T.E.,26.68996,93.86795,9252.10392392,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Hahchora,26.68786,93.73888,9168.29925435,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Leblebi Pathar,26.68811,93.84416,7643.80297149,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,MORONGI,2585.0,PANKA,105184.0,26.58019,93.77211,PANKA,1.0,Numaligarh Pathar,26.62649,93.74588,5771.14766234,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT EAST,2579.0,BALIJAN,105104.0,26.42527,94.0123,BALIJAN,1.0,Forest,26.27712,94.02389,16513.9571608,864.0,13.824,Merapani Forest Block,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,UTTAR GURUJOGANIA,105100.0,26.66055,94.018,UTTAR GURUJOGANIA,1.0,Bagarioni Pam,26.74214,93.91142,13942.7559885,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Parangania Ati No.1,26.67927,93.68431,13122.1944634,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Opar Temera,26.71542,93.83785,10131.108087,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KHUMTAI,105095.0,26.61075,93.83894,KHUMTAI,1.0,Karaioni Bhakat,26.7119,93.8933,12477.3153764,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Kuruabahigaon,26.67251,93.71044,10459.2373535,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Kuruabahi Satra,26.66349,93.69608,11375.0471714,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT EAST,2579.0,PULIBOR,105112.0,26.54461,93.9785,PULIBOR,1.0,Bongaon,26.5531,93.9758,981.503881487,3344.0,53.504,Bongaon,100
ASSAM,18.0,GOLAGHAT,313.0,MORONGI,2585.0,LETEKUJAN,105181.0,26.55036,93.82747,LETEKUJAN,1.0,Dhekiajan T.E.,26.56386,93.81253,2112.22841261,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,MORONGI,2585.0,LETEKUJAN,105181.0,26.55036,93.82747,LETEKUJAN,1.0,Jathipatia,26.56544,93.83012,1697.40831452,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,SENSUWA,105098.0,26.56411,93.90902,SENSUWA,1.0,Morongi T.E.,26.55638,93.88491,2547.37258962,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,MORONGI,2585.0,DOIGRUNG,105180.0,26.54419,93.83944,DOIGRUNG,1.0,Chechamukh,26.55076,93.85611,1811.97992939,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,UTTAR GURUJOGANIA,105100.0,26.66055,94.018,UTTAR GURUJOGANIA,1.0,Chawguri Miri,26.78474,93.97156,14559.2075889,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,UTTAR GURUJOGANIA,105100.0,26.66055,94.018,UTTAR GURUJOGANIA,1.0,Dhemaji Miri,26.78385,93.95957,14887.9308216,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,UTTAR GURUJOGANIA,105100.0,26.66055,94.018,UTTAR GURUJOGANIA,1.0,Bahguri Mirigaon,26.78161,93.95266,14943.8923208,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Garaimari,26.69578,93.76331,8410.1879315,2005.0,32.08,Garaimari,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Nikori,26.69691,93.74451,9550.11406425,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,MORONGI,2585.0,PANKA,105184.0,26.58019,93.77211,PANKA,1.0,Numaligarh Town,26.63156,93.72292,7519.62346158,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KACUPATHAR,105093.0,26.62947,93.80402,KACUPATHAR,1.0,Helochijan,26.61738,93.80357,1345.09067609,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT CENTRAL,2578.0,KATHALGURI GP,105094.0,26.60205,93.92688,KATHALGURI GP,1.0,Handique,26.59608,93.94048,1506.35689091,594.0,9.504,Handique Gaon,100
ASSAM,18.0,GOLAGHAT,313.0,GOLAGHAT EAST,2579.0,UTTAR DOKHINHENGERA,105099.0,26.57069,93.99255,UTTAR DOKHINHENGERA,1.0,Dakhinhengra T.E.,26.59379,94.0281,4369.76055666,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,MORONGI,2585.0,PANKA,105184.0,26.58019,93.77211,PANKA,1.0,Lakhowjan T.E.,26.61332,93.6608,11664.3646415,1000.0,16.0,,100
ASSAM,18.0,GOLAGHAT,313.0,MORONGI,2585.0,PANKA,105184.0,26.58019,93.77211,PANKA,1.0,Mahmaiki Gaon,26.62421,93.614,16464.285789,1000.0,16.0,,100
