State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,KHODRI(PASAN),127535.0,22.85077778,82.15052778,KHODRI PASAN,2.0,Matiyadand,22.87822,82.13338,3521.08629693,1000.0,16.0,,163.8
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,KHODRI(PASAN),127535.0,22.85077778,82.15052778,KHODRI PASAN,2.0,Damdam,22.83253,82.14273,2180.73691656,1000.0,16.0,,163.8
CHHATTISGARH,22.0,KORBA,404.0,PALI,3672.0,POLMI,127480.0,22.35422222,82.22736111,POLMI,1.0,Sis,22.32236,82.24983,4229.97401968,1000.0,16.0,,100
CHHATTISGARH,22.0,KORBA,404.0,PALI,3672.0,POLMI,127480.0,22.35422222,82.22736111,POLMI,1.0,Ramdei,22.32521,82.24112,3522.73179907,1000.0,16.0,,100
CHHATTISGARH,22.0,KORBA,404.0,PALI,3672.0,PARSADA,127477.0,22.35188889,82.18469444,PARSADA,1.0,Lalpur,22.322,82.16636,3821.19819165,568.0,9.088,Lalpur,100
CHHATTISGARH,22.0,KORBA,404.0,PALI,3672.0,DHOLPUR,127438.0,22.22152778,82.55808333,BHULISIDIH,1.0,Donga Pendari F.V.,22.21173,82.56638,1384.3216644,1000.0,16.0,,100
CHHATTISGARH,22.0,KORBA,404.0,PALI,3672.0,DHOLPUR,127438.0,22.22152778,82.55808333,BHULISIDIH,1.0,Nawapara,22.19695,82.56516,2828.35695616,1022.0,16.352,Nawapara,100
CHHATTISGARH,22.0,KORBA,404.0,KARTALA,3669.0,AMALDIHA,127235.0,22.06163889,82.713,Amaldiha G.P.,2.0,Seoni,22.05581,82.69049,2408.62081556,1000.0,16.0,,163.8
CHHATTISGARH,22.0,KORBA,404.0,KARTALA,3669.0,FARASWANI,127252.0,22.09958333,82.66669444,MANGALA (B),2.0,Amjhar,22.09299,82.65608,1316.5972579,1377.0,22.032,Amjhar,163.8
CHHATTISGARH,22.0,KORBA,404.0,KARTALA,3669.0,SUKHRIKALA,127297.0,22.05061111,82.72494444,HATHBANDH,2.0,Baheradih,22.04615,82.70865,1751.08366984,1000.0,16.0,,122.85
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SIRMINA,127585.0,22.95422222,82.52144444,SIRMINA,2.0,Sirmina,22.94184,82.54094,2425.01159118,1944.0,31.104,Sirmina,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,PIPARIYA,127564.0,22.9545,82.31847222,PIPARIYA,2.0,Samlai,22.94635,82.3104,1226.55421322,781.0,12.496,Samlai,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SIMGA,127583.0,22.91688889,82.54883333,SIMGA,2.0,Kothi Kharra,22.9319,82.56939,2686.67648341,1000.0,16.0,,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,BUDHAPARA,127513.0,22.92219444,82.45388889,BUDHAPARA,2.0,Kurtha,22.93413,82.46142,1535.002275,569.0,9.104,Kurtha,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,DULAPUR,127517.0,22.97775,82.38769444,DULLAPUR,2.0,Dullapur,22.97689,82.38514,278.441042905,1693.0,27.088,Dullapur,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,KODGAR,127536.0,22.96344444,82.35052778,KODGAR,2.0,Kodgar,22.96629,82.35661,698.487435689,1385.0,22.16,Kodgar,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,KULHARIYA,127539.0,22.93536111,82.43141667,KULHARIYA,2.0,Pali,22.94715,82.411,2467.64090842,973.0,15.568,Pali,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SIRMINA,127585.0,22.95422222,82.52144444,SIRMINA,2.0,Kudari Kalan,22.96234,82.55477,3529.48436361,1000.0,16.0,,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SIRMINA,127585.0,22.95422222,82.52144444,SIRMINA,2.0,Bapupara,22.96243,82.53048,1299.54206628,1000.0,16.0,,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SIRMINA,127585.0,22.95422222,82.52144444,SIRMINA,2.0,Chhindiya,22.95789,82.50245,1987.12007594,1044.0,16.704,Chhindiya,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,KULHARIYA,127539.0,22.93536111,82.43141667,KULHARIYA,2.0,Khamharmuda,22.95411,82.45895,3506.42103733,900.0,14.4,Khamharmuda,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,KODGAR,127536.0,22.96344444,82.35052778,KODGAR,2.0,Pipariya,22.93638,82.34841,3017.23083583,2570.0,41.12,Pipariya,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SIRMINA,127585.0,22.95422222,82.52144444,SIRMINA,2.0,Damhamuda,22.93536,82.50318,2810.11974955,948.0,15.168,Damhamuda,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SIRRI,127586.0,22.92738889,82.28955556,SIRRI,2.0,Sirri,22.92955,82.29202,348.48688511,1422.0,22.752,Sirri,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,PODIKALA,127565.0,22.9175,82.26319444,PODIKALA,2.0,Dhauramuda,22.93098,82.26018,1530.36937197,417.0,6.672,Dhauramuda,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,AMJHAR,127502.0,22.92594444,82.2325,AMJHAR,2.0,Amjhar,22.91403,82.23485,1346.50948131,1377.0,22.032,Amjhar,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SAKHO,127575.0,22.67697222,82.71144444,SANKHO,2.0,Sakho,22.70305,82.68152,4222.88558156,2435.0,38.96,Sakho,163.8
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,MADAI,127550.0,22.71069444,82.50911111,MADAI,2.0,Madai,22.7132,82.5061,415.949456326,1565.0,25.04,Madai,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SALHIABHATA,127576.0,22.68844444,82.46411111,SALIHABHATA,2.0,Bala,22.68141,82.45445,1262.62705287,437.0,6.992,Bala,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SALHIABHATA,127576.0,22.68844444,82.46411111,SALIHABHATA,2.0,Saliha Bhata,22.67994,82.47929,1821.89307241,1000.0,16.0,,100
CHHATTISGARH,22.0,KORBA,404.0,KORBA,3671.0,RAJAGAMAR,127406.0,22.39011111,82.84472222,TILKEJA,1.0,Godma,22.41595,82.82118,3756.64533946,524.0,8.384,Godma,100
CHHATTISGARH,22.0,KORBA,404.0,PALI,3672.0,BHANDARKHOL,127430.0,22.434,82.31277778,SAKRI,1.0,Jarmauha,22.43009,82.29599,1779.39940213,336.0,5.376,Jarmauha,100
CHHATTISGARH,22.0,KORBA,404.0,PALI,3672.0,SAPALAVA,127491.0,22.54305556,82.3325,SAPALVA,1.0,Hirwadoli,22.54424,82.3008,3258.19814352,301.0,4.816,Hirwadoli,100
CHHATTISGARH,22.0,KORBA,404.0,PALI,3672.0,SAPALAVA,127491.0,22.54305556,82.3325,SAPALVA,1.0,Sapalwa,22.54409,82.31971,1318.53833549,571.0,9.136,Sapalwa,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SIMGA,127583.0,22.91688889,82.54883333,SIMGA,2.0,Nawapara,22.93116,82.53863,1900.02638821,1022.0,16.352,Nawapara,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,BUDHAPARA,127513.0,22.92219444,82.45388889,BUDHAPARA,2.0,Kulhariya,22.91172,82.43624,2150.31293066,1468.0,23.488,Kulhariya,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,BUDHAPARA,127513.0,22.92219444,82.45388889,BUDHAPARA,2.0,Budapara,22.92291,82.47767,2436.82043096,827.0,13.232,Budapara,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,GHUCHAPUR,127520.0,22.83411111,82.50930556,GHUNCHAPUR,2.0,Bhujung Kachhar,22.81421,82.53567,3492.56309312,1000.0,16.0,,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,PODIKHURD,127566.0,22.83408333,82.46572222,PONDIKHURD,2.0,Pondi Khurd,22.83077,82.47658,1172.13532065,1000.0,16.0,,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SASIN,127581.0,22.77730556,82.36363889,SASIN,2.0,Barra,22.79439,82.39996,4180.14302583,554.0,8.864,Barra,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,TANERA,127589.0,22.8505,82.38430556,TANERA,2.0,Beejadand,22.82048,82.37227,3558.65177021,505.0,8.08,Beejadand,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,LAINGA,127544.0,22.75261111,82.26122222,Lainga,2.0,Lainga,22.75746,82.25777,644.993404264,1608.0,25.728,Lainga,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,KHIRTI,127533.0,22.74355556,82.668,KHIRTI,2.0,Arisiya,22.73242,82.7218,5654.59088694,974.0,15.584,Arisiya,163.8
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,GHUMANIDAND,127521.0,22.70441667,82.41088889,GHUMANIDAND,2.0,Nawapara,22.71316,82.4001,1473.06436604,1022.0,16.352,Nawapara,163.8
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SAMRA,127577.0,22.71402778,82.20491667,SAMRA,2.0,Semra,22.71457,82.20765,286.769676651,951.0,15.216,Semra,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,BAIRA,127507.0,22.71758333,82.21466667,BAIRA,2.0,Pattharphod,22.71521,82.23246,1844.03032286,653.0,10.448,Pattharphod,100
CHHATTISGARH,22.0,KORBA,404.0,KORBA,3671.0,BADGAON,127357.0,22.68744444,82.81936111,BIRKONA,1.0,Nawapara,22.7051,82.77619,4844.31580701,1022.0,16.352,Nawapara,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,GURSIYA,127523.0,22.65013889,82.52433333,GURSIYA,2.0,Banjhiama,22.65805,82.53572,1462.57034508,186.0,2.976,Banjhiama,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,BANKHATA,127510.0,22.61202778,82.41816667,BANKHETA,2.0,Kashalpur,22.64015,82.41729,3128.3424581,1000.0,16.0,,184.31
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,RAVA,127572.0,22.62630556,82.38072222,RAVA,2.0,Sirki,22.64833,82.38592,2506.42945587,454.0,7.264,Sirki,100
CHHATTISGARH,22.0,KORBA,404.0,KORBA,3671.0,NAKIYA,127399.0,22.64880556,82.91955556,PATADHI,1.0,Pendradih,22.63056,82.97635,6171.62427466,94.0,1.504,Pendradih,100
CHHATTISGARH,22.0,KORBA,404.0,PODI UPARODA,3673.0,SIMGA,127583.0,22.91688889,82.54883333,SIMGA,2.0,Paldhurena,22.92096,82.56708,1922.81387096,212.0,3.392,Paldhurena,100
