State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
MAHARASHTRA,27.0,BHANDARA,506.0,MOHADI,4335.0,TAKALA,173773.0,21.40712,79.68303,TAKALA GP,1.0,AGRI,21.4625368,79.75545334,9703.74462273,249.0,3.984,Agri,100
MAHARASHTRA,27.0,BHANDARA,506.0,MOHADI,4335.0,AKOLA,173702.0,21.34666,79.6186,WADEGAON GP,1.0,AKOLA,21.34649574,79.6250097,664.081213101,925.0,14.8,Akola,100
MAHARASHTRA,27.0,BHANDARA,506.0,LAKHANI,4334.0,ALESUR,173630.0,21.09483,79.86922,BORGAON GP,1.0,ALESUR,21.08632676,79.87359603,1048.8640547,1219.0,19.504,Alesur,100
MAHARASHTRA,27.0,BHANDARA,506.0,MOHADI,4335.0,BIDSITEPAR,173708.0,21.22212,79.61663,BIDSITEPAR GP,1.0,AMBADI,21.12541511,79.68036562,12621.525477,2157.0,34.512,Ambadi,100
MAHARASHTRA,27.0,BHANDARA,506.0,LAKHANI,4334.0,WAKAL,173700.0,20.89172,79.83463,WAKAL GP,1.0,AMBADI (NAVEGAON),20.85079518,79.76529817,8520.47299338,1000.0,16.0,,100
MAHARASHTRA,27.0,BHANDARA,506.0,MOHADI,4335.0,TAKALA,173773.0,21.40712,79.68303,TAKALA GP,1.0,AMBAGAD,21.44941115,79.66555425,5038.46909145,2241.0,35.856,Ambagad,100
MAHARASHTRA,27.0,BHANDARA,506.0,LAKHANI,4334.0,DAITMANGALI,173634.0,21.11524,79.80644,DAITMANGALI & WAY DROP TO RENGEPAR (KOTHA),1.0,AMGAON,21.13058825,79.74657277,6439.90626333,3343.0,53.488,Amgaon,100
MAHARASHTRA,27.0,BHANDARA,506.0,SAKOLI,4337.0,DHANOD,173868.0,21.16411,79.9678,DHANOD GP,1.0,AMGAON BK.,21.16334973,79.96311306,493.310355245,1000.0,16.0,,100
MAHARASHTRA,27.0,BHANDARA,506.0,SAKOLI,4337.0,DHANOD,173868.0,21.16411,79.9678,DHANOD GP,1.0,AMGAON KH.,21.15617048,79.98060844,1594.84309788,1000.0,16.0,,100
MAHARASHTRA,27.0,BHANDARA,506.0,MOHADI,4335.0,PALDONGRI,173754.0,21.36503,79.64017,PALDOGRI,1.0,ANDHALGAON,21.36080224,79.63129939,1031.899467,6309.0,100.944,Andhalgaon,100
