State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,SEWA,23160,31.17175,78.075817,PANCHAYAT GHAR,2,Sewa,31.16184,78.0733,1127.66433678,397,6.352,Sewa,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,KHANNA,23132,31.160183,78.10062,PANCHAYAT GHAR,2,Gawalgaun,31.16604,78.1062,840.262130434,118,1.888,Gawalgaun,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,LIWARI,23139,31.173495,78.229417,PANCHAYAT GHAR,2,Liwari,31.1687,78.23303,634.382631533,918,14.688,Liwari,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,MASARI,23142,31.167414,78.123286,PANCHAYAT GHAR,2,Masari,31.15872,78.1261,1003.12235612,783,12.528,Masari,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,BARI,23106,31.156225,78.086442,PANCHAYAT GHAR,2,Bari,31.15157,78.08782,533.963701543,334,5.344,Mani Bari,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,KASLA,23131,31.158336,78.21735,PANCHAYAT GHAR,2,Rala,31.16127,78.22145,508.560991504,132,2.112,Rala,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,KHANNA,23132,31.160183,78.10062,PANCHAYAT GHAR,2,Khana,31.15699,78.10324,433.830807189,1000,16.0,,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,KASLA,23131,31.158336,78.21735,PANCHAYAT GHAR,2,Kasala,31.14961,78.22807,1407.85543771,1000,16.0,,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,DONI,23120,31.15,78.099847,PANCHAYAT GHAR,2,Doni,31.14269,78.09619,884.205926698,721,11.536,Doni,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,SATTA,23157,31.148597,78.104631,PANCHAYAT GHAR,2,Satta,31.14067,78.10855,957.100508371,596,9.536,Satta,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,HADWARI,23125,31.136845,78.071381,PANCHAYAT GHAR,2,Hadwari,31.13103,78.07271,658.854997499,1000,16.0,,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,REGCHA,23154,31.143906,78.243095,PANCHAYAT GHAR,2,Regcha,31.14335,78.24927,590.910406247,392,6.272,Regcha,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,OSLA,23149,31.118814,78.343164,PANCHAYAT GHAR,2,Osala,31.14766,78.40946,7078.44328552,725,11.6,Osala,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,FITARI,23122,31.141167,78.242764,PANCHAYAT GHAR,2,Fitari,31.13476,78.25298,1205.37245261,890,14.24,Fitari,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,DHARA,23117,31.119567,78.24112,PANCHAYAT GHAR,2,Dhara,31.11771,78.25166,1024.37082261,114,1.824,Dhara,100
UTTARAKHAND,5,UTTAR KASHI,56,MORI,444,KHANYASANI,23133,31.110328,78.1014,PANCHAYAT GHAR,2,Bhitri,31.11611,78.09626,807.958020391,1140,18.24,Bhitri,100
UTTARAKHAND,5,UTTAR KASHI,56,NAUGAON,445,KOTLA,23227,30.892975,78.17582,PANCHAYAT GHAR,2,Dhonsali,30.90848,78.16466,2026.38374023,43,0.688,Dhonsali,100
UTTARAKHAND,5,UTTAR KASHI,56,NAUGAON,445,KOTLA,23227,30.892975,78.17582,PANCHAYAT GHAR,2,Jakhali,30.90715,78.18081,1646.5259173,82,1.312,Jakhali,100
UTTARAKHAND,5,UTTAR KASHI,56,PUROLA,446,SUNALI,23306,30.904137,78.09119,SUNALI,1,Sukdala,30.90243,78.09545,448.579732718,682,10.912,Sukdala,100
UTTARAKHAND,5,UTTAR KASHI,56,NAUGAON,445,BACHANGAON,249366,30.906817,78.235883,PANCHAYAT GHAR,2,Chaptari,30.90963,78.23827,386.910017856,331,5.296,Chaptari,100
UTTARAKHAND,5,UTTAR KASHI,56,PUROLA,446,SHRIKOT,23304,30.893093,78.088289,SHRIKOT,1,Sunali,30.89533,78.09221,449.277221604,491,7.856,Sunali,100
UTTARAKHAND,5,UTTAR KASHI,56,NAUGAON,445,PALI,23253,30.897583,78.297217,PANCHAYAT GHAR,2,Pali,30.89858,78.31252,1464.32877206,689,11.024,Pali,100
