State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,Village Name,Village_Lat,Village_Long,Distance(in meters),Village_Popln,Villg_Throughput,Matched_vlg,LinkThroughput
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,GANJ DUNDWARA                                     ,1066.0,SANAURI SIMAN PUKHTA,56034.0,27.710217,79.15105,PANCHAYAT BHAWAN ,2.0,Bharthri,27.70105,79.16184,1472.19674125,1000.0,16.0,,163.8
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,TOLAKPUR,56688.0,27.902333,78.726417,PRIMARY SCHOOL,2.0,Nagala Sedu,27.89466,78.73733,1370.42753669,1000.0,16.0,,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,BADANPUR,56625.0,27.887867,78.66015,PRIMARY SCHOOL,2.0,Pachaura Jungle,27.88643,78.65115,898.853804375,1000.0,16.0,,163.8
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,HARSAINA,56654.0,27.8885,78.58075,PANCHAYTA BHAWAN,2.0,Patti Bhurha,27.89148,78.58799,784.915717724,1000.0,16.0,,122.85
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,TIMBER PUR,56687.0,27.865683,78.768267,PRIMARY SCHOOL,2.0,Shyam Sar,27.866,78.77794,951.521172346,1000.0,16.0,,184.31
UTTAR PRADESH,9.0,KASGANJ,202.0,SAHAWAR,1073.0,MOHAMMADPUR,56408.0,27.87445,78.84705,MOHAMMADPUR,1.0,Muhammadpur,27.87792,78.84667,387.650011593,1432.0,22.912,Muhammadpur,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,HIMAUNPUR,56655.0,27.870483,78.757533,PANCHAYTA BHAWAN,2.0,Jagawatpur,27.8714,78.7507,679.356566868,283.0,4.528,Jagawatpur,163.8
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,ABHAYPURA RAMPUR,56622.0,27.98901,78.616533,PRIMARY SCHOOL,2.0,Abhaypura Rampur Pukhta,27.98623,78.62635,1012.28975665,1000.0,16.0,,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,ALLIPURBARBAR,56624.0,27.97065,78.64795,PANCHAYTA BHAWAN,2.0,Allipurbarwara Pukhta,27.96835,78.66205,1408.13910271,1000.0,16.0,,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,SIRAWALI,56683.0,27.969,78.636417,PRIMARY SCHOOL,2.0,Fazilpur,27.96708,78.62638,1008.57282213,1161.0,18.576,Fazilpur,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,CHANDAUS,56638.0,27.9551,78.636967,PANCHAYTA BHAWAN,2.0,Sirawali,27.95791,78.63951,400.019020988,2938.0,47.008,Sirawali,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,BARAODA,56628.0,27.963933,78.681733,PRIMARY SCHOOL,2.0,Ghuran Pur Pukhta,27.95639,78.67767,928.833222834,1000.0,16.0,,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,UKURRI,56691.0,27.9472,78.697383,PRIMARY SCHOOL,2.0,Parmora Pukhta,27.95066,78.68865,940.133681758,1000.0,16.0,,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,BHARHPURA,56632.0,27.948717,78.671033,PRIMARY SCHOOL,2.0,Dharm Pur,27.94744,78.66192,906.331070063,1000.0,16.0,,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,UKURRI,56691.0,27.9472,78.697383,PRIMARY SCHOOL,2.0,Chandan Pur Ghatiyari,27.9449,78.70128,460.369476638,1000.0,16.0,,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,TARAPUR NASIRPUR,56686.0,27.938,78.72615,PANCHAYTA BHAWAN,2.0,Banupur Kham,27.94278,78.72575,532.962205597,1000.0,16.0,,163.8
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,BANUPUR PUKHTA,56627.0,27.948233,78.7093,PANCHAYTA BHAWAN,2.0,Gulabgarhi,27.9425,78.71169,679.33579662,266.0,4.256,Gulabgarhi,100
UTTAR PRADESH,9.0,KANSHIRAM NAGAR,202.0,SORON                                             ,1077.0,SALEM PUR BIBI,56680.0,27.938717,78.681033,PANCHAYTA BHAWAN,2.0,Baraoda,27.9428,78.68102,454.010681497,1286.0,20.576,Baraoda,100
