,Block Name,Distance,GP Name,GP_lat,GP_long,TOT_P,Throughput,Village Name,Village_lat,Village_long
0,Kalamb,0.975307920313,ADSULWADI,18.602416,75.922003,1088.0,17.408,Adsulwadi,18.59444808,75.92587184
1,Kalamb,2.55310385965,ANDORA,18.522027,75.993166,3721.0,59.536,Andora,18.50346824,75.9789093
2,Kalamb,1.56893875067,ATUREDI,18.600888,75.946527,777.0,12.432,Athardi,18.58704422,75.94940415
3,Kalamb,1.24951879206,BABHALGAON,18.444501,75.929251,1741.0,27.856,Babhalgaon,18.45261945,75.93744143
4,Kalamb,1.33250254385,BAHULA,18.644002,75.912861,928.0,14.848,Bahula,18.63263504,75.90885678
5,Kalamb,1.31333830676,BANGARWADI,18.377583,75.831138,1275.0,20.4,Bangarwadi,18.3833271,75.84201309
6,Kalamb,0.649042871756,BRAMACHIWADI,18.431416,75.996222,743.0,11.888,Baramachiwadi,18.42578743,75.99459262
7,Kalamb,3.78255562362,BARATEWADI,18.428666,75.921444,936.0,14.976,Baratewadi,18.39465743,75.92225806
8,Kalamb,0.7439902577,BHATSANGVI,18.582527,75.987722,475.0,7.6,Bhatsangvi,18.57800248,75.98252182
9,Kalamb,1.3541735408,BHATSHIRPURA,18.521444,76.087972,2190.0,35.04,Bhatshirapura,18.5096079,76.08494852
10,Kalamb,1.16475407135,BHOGGI,18.604361,75.907583,1271.0,20.336,Bhogaji,18.59779669,75.89897018
11,Kalamb,1.23789064867,BHOSA,18.392751,75.970027,757.0,12.112,Bhosa,18.3914269,75.95837839
12,Kalamb,0.924689650603,BORDA,18.498444,76.021972,1330.0,21.28,Borda,18.49446711,76.01427082
13,Kalamb,1.85072285218,BORVANTI,18.508805,76.116751,606.0,9.696,Borwanti,18.49265608,76.11250235
14,Kalamb,0.951720450507,CHORAKALI,18.355777,75.929027,3173.0,50.768,Chorakhali,18.35756874,75.9202089
15,Kalamb,1.65825787436,DABHA,18.547388,76.154611,1455.0,23.28,Dabha,18.53266061,76.15708541
16,Kalamb,0.944495895067,DHAHIPHAL,18.421222,75.943083,740.0,11.84,Dahiphal,18.42940757,75.94547392
17,Kalamb,0.728160787474,DEODHANORA,18.469694,76.111472,2392.0,38.272,Deodhanora,18.46358551,76.10898395
18,Kalamb,0.993180932017,DEOLALI,18.407138,76.134972,2598.0,41.568,Deolali,18.41087187,76.12642039
19,Kalamb,0.535883368252,DUDALWADI,18.401861,75.851722,653.0,10.448,Dudhalwadi,18.40663382,75.85242582
20,Kalamb,0.866459008098,YEKURGA,18.492277,76.138222,2042.0,32.672,Ekurka,18.48692536,76.14419412
21,Kalamb,0.177732318697,GAMBHIRWADI,18.576003,75.883277,1196.0,19.136,Gambhirwadi,18.57445284,75.88286592
22,Kalamb,0.260717195986,GOUR,18.415416,75.968472,3226.0,51.616,Gaur,18.41542094,75.97094323
23,Kalamb,0.895244836384,GOURGAON,18.451027,76.136777,1378.0,22.048,Gaurgaon,18.44325361,76.13898701
24,Kalamb,0.43220078965,GHARGAON,18.546611,76.234638,2282.0,36.512,Ghargaon,18.54590192,76.23060701
25,Kalamb,1.53603749374,GOVINDPUR,18.453751,76.091222,2753.0,44.048,Govindpur,18.44035192,76.0947639
26,Kalamb,0.803810913673,HALDGAON,18.376555,75.989972,551.0,8.816,Haladgaon,18.38248127,75.98560998
27,Kalamb,4.08934116908,HASEGAON (KJ),18.564805,75.993166,2477.0,39.632,Hasegaon Kej,18.52906322,76.00230211
28,Kalamb,0.903408728391,HASEGAON (SHI),18.466972,76.156472,1362.0,21.792,Hasegaon (shirdhon),18.45903042,76.15827957
29,Kalamb,0.743502413618,HAWARGAON,18.563222,75.965751,2252.0,36.032,Hawargaon,18.55918751,75.97137573
30,Kalamb,1.49774884939,HINGANGAON,18.525444,76.138083,867.0,13.872,Hingangaon,18.53429316,76.12737287
31,Kalamb,0.680855413778,ETKUR,18.560501,75.913251,6047.0,96.752,Itkur,18.55462657,75.91507292
32,Kalamb,1.05580977958,JAIPHAL,18.505611,76.240861,1623.0,25.968,Jaiphal,18.51481482,76.23839977
33,Kalamb,0.344758573647,KANERWADI,18.515694,75.941611,2665.0,42.64,Kanherwadi,18.51442734,75.94459542
34,Kalamb,2.36098846213,KARANJKALLA,18.548138,76.078722,1697.0,27.152,Karanjkalla,18.52926094,76.08897471
35,Kalamb,1.54587102384,KHADKI,18.568527,76.057861,925.0,14.8,Khadki,18.5556708,76.06344223
36,Kalamb,1.22957230923,KHAMSWADI,18.455027,76.046333,7037.0,112.592,Khamaswadi,18.44468126,76.05044848
37,Kalamb,1.65340067377,KHERDA,18.490751,76.024777,903.0,14.448,Kherda,18.47957185,76.03511472
38,Kalamb,1.2191559731,KHONDLA,18.608444,75.976527,1362.0,21.792,Khondala,18.60143349,75.98542184
39,Kalamb,1.74996270257,KOTHALA,18.527944,76.122055,2306.0,36.896,Kothala,18.51248501,76.12516527
40,Kalamb,0.670575203485,KOTALWADI,18.546751,75.947694,987.0,15.792,Kothalwadi,18.5416914,75.95115532
41,Kalamb,0.429299950867,LASRA,18.565694,76.249138,537.0,8.592,Lasra,18.56882323,76.24675251
42,Kalamb,0.323237906225,LOTHA (EAST),18.545583,76.103305,3002.0,48.032,Lohata (east),18.54565507,76.10637023
43,Kalamb,1.18479435318,LOTHA (WEST),18.562805,76.080138,1335.0,21.36,Lohata(west),18.55529835,76.08811467
44,Kalamb,0.115747431267,MALKAPUR (SDU),18.375333,75.901083,1018.0,16.288,Malkapur,18.37595248,75.90196449
45,Kalamb,1.58864222196,MALKARANJA,18.398916,76.097972,2174.0,34.784,Malkaranja,18.41071756,76.08948548
46,Kalamb,1.61482531788,MANGROOL,18.502277,76.061138,4644.0,74.304,Mangrul,18.48922323,76.06784869
47,Kalamb,0.758516405953,MOHA,18.468833,75.999138,6348.0,101.568,Moha,18.46327828,75.99496352
48,Kalamb,0.908039081316,NAGULGAON,18.472751,76.143277,1084.0,17.344,Nagulgaon,18.46559802,76.13912332
49,Kalamb,1.3159751043,NAGZERWADI,18.441416,76.018361,1382.0,22.112,Nagzarwadi,18.42958116,76.0183759
50,Kalamb,0.576050053321,NAIGAON,18.453805,76.248722,4153.0,66.448,Naigaon,18.45063282,76.25303975
51,Kalamb,0.132729623628,NIPANI,18.451777,76.177527,1119.0,17.904,Nipani,18.45128163,76.17867188
52,Kalamb,0.546109926453,PADOLI,18.452555,76.217916,562.0,8.992,Padoli,18.45107665,76.21297867
53,Kalamb,0.566259742681,PANGAON,18.428861,75.891004,1890.0,30.24,Pangaon,18.42649199,75.89575556
54,Kalamb,1.91494171312,BABHALGAON,18.444501,75.929251,687.0,10.992,Partapur,18.44913004,75.91176483
55,Kalamb,2.29663235572,UMRA,18.446972,75.890111,687.0,10.992,Partapur,18.44913004,75.91176483
56,Kalamb,1.70105790407,PATHERDI,18.591166,75.933861,995.0,15.92,Pathardi,18.58704422,75.94940415
57,Kalamb,0.652759299873,PIMPRI,18.482333,76.216722,1645.0,26.32,Pimpari (sh),18.47883069,76.22168937
58,Kalamb,1.51713779188,RAIGHAVAN,18.507138,76.240305,1002.0,16.032,Raigavhan,18.49402922,76.24429501
59,Kalamb,0.777929090146,RANGNI,18.540361,76.262277,3313.0,53.008,Ranjani,18.54643887,76.25862249
60,Kalamb,0.670702252903,RATANAPUR,18.420611,75.864305,1086.0,17.376,Ratnapur,18.41824828,75.87015443
61,Kalamb,3.16765756888,PANGAON,18.428861,75.891004,219.0,3.504,Sanjitpur,18.42721296,75.92098089
62,Kalamb,0.674984494974,SAPNAI,18.408722,75.926694,2355.0,37.68,Sapnai,18.40545618,75.93208682
63,Kalamb,2.24674849217,SATEPHAL,18.367055,75.987003,1365.0,21.84,Satephal,18.37408418,75.96704236
64,Kalamb,2.43428821473,SATRA,18.603251,75.987666,1260.0,20.16,Satra,18.59727751,75.96544392
65,Kalamb,0.708440050822,SOUNDNA (AMB),18.570027,76.215861,1476.0,23.616,Saundana Amba,18.56476648,76.21206941
66,Kalamb,1.26401911988,SAUDHNA,18.367251,75.995777,1476.0,23.616,Saundana (Dhoki),18.36974651,75.98409131
67,Kalamb,2.17258471924,SHELGAON (J),18.346861,75.976444,1850.0,29.6,Shelgaon(jagir),18.35506046,75.957759
68,Kalamb,0.178008670547,SHIGOLI,18.412861,76.007444,858.0,13.728,Shingoli,18.41208552,76.00596793
69,Kalamb,0.53725898423,SHIRADHON,18.512527,76.186583,9452.0,151.232,Shiradhon,18.50804278,76.18468569
70,Kalamb,0.280102666538,TADGAON,18.533502,76.215166,1818.0,29.088,Tadgaon,18.53456495,76.2127573
71,Kalamb,2.63156615856,TANDULWADI,18.551555,76.021502,2038.0,32.608,Tandulwadi,18.5279255,76.02289241
72,Kalamb,0.411791602137,UMRA,18.446972,75.890111,785.0,12.56,Umara,18.44900879,75.89337147
73,Kalamb,1.15337246418,UPLAI,18.407861,75.898751,2156.0,34.496,Uplai,18.39787255,75.90169818
74,Kalamb,1.97030448461,WADGAON (S),18.434833,76.192472,1935.0,30.96,Wadgaon (shirdhon),18.42850828,76.17502482
75,Kalamb,2.73843003671,WAGOLI,18.392751,75.970027,1746.0,27.936,Wagholi,18.39601097,75.99575194
76,Kalamb,1.99659948271,WAKDI (KEJ),18.588251,76.230416,1238.0,19.808,Wakdikej,18.57029539,76.23051405
77,Kalamb,2.2464638934,WANEWADI (S),18.392751,75.970027,305.0,4.88,Wanewadi,18.38159494,75.9522774
78,Kalamb,1.32185821366,WATHWADA,18.417916,76.209138,2297.0,36.752,Wathawada,18.41286677,76.19779498
