,Block Name,Distance,GP Name,GP_lat,GP_long,Village Name,Village_lat,Village_long
0,Atpadi,1.48677836145,AAMBEWADI,17.455722,75.007889,Ambewadi,17.45975363,75.0212532
1,Atpadi,1.0157805812,AUTEWADI,17.30625,74.773944,AOUTEWADI,17.29716074,74.77490168
2,Atpadi,2.9007016779,ATPADI,17.423833,74.9405,Atpadi,17.41014138,74.91722825
3,Atpadi,5.65656057945,AWALAI,17.479583,74.968917,Awalai,17.48414697,74.91579802
4,Atpadi,1.15032886902,BALEWADI,17.330278,74.830556,Balewadi,17.33010829,74.81972034
5,Atpadi,0.670043266241,BANPURI,17.348889,74.866111,Banpuri,17.35374784,74.86237703
6,Atpadi,0.39857751066,BHINGEWADI,17.397139,74.919111,Bhingewadi,17.39956761,74.91634823
7,Atpadi,1.68752365965,BOMBEWADI,17.436139,75.002528,Bombewadi,17.43002153,75.01708534
8,Atpadi,0.899252173095,CHINCHALE,17.358389,74.765806,Chinchale,17.35394429,74.75872746
9,Atpadi,1.12921066206,DESHMUKHAWADI,17.443139,74.9795,DESHMUKHWADI,17.44093272,74.98989042
10,Atpadi,0.100336579063,DHAWADWADI,17.315528,74.776611,Dhavadwadi,17.31469345,74.77625155
11,Atpadi,1.8445569816,DIGHANCHI,17.528194,74.926833,Dighanchi,17.53443255,74.91071358
12,Atpadi,0.312266095827,GALAWEWADI,17.4675,74.891111,Galavewadi,17.46473736,74.89058241
13,Atpadi,0.277472353502,GHANAND,17.389194,74.770333,Ghanand,17.38758015,74.77232739
14,Atpadi,0.120943153687,GHIRNIKI,17.389222,74.7225,Gharniki,17.390254,74.72214004
15,Atpadi,2.05555585051,GOMEWADI,17.29,74.848528,Gomewadi,17.29543624,74.83002288
16,Atpadi,1.16063979264,HEWATAD,17.26175,74.847028,Hivtad,17.25558672,74.83820685
17,Atpadi,1.19002729746,JAMBHULNI,17.403222,74.77775,JAMBHULANI,17.40973989,74.78664581
18,Atpadi,3.06607263734,KALEWADI,17.267972,74.865667,Kalewadi,17.29179436,74.88020905
19,Atpadi,0.599479504238,KAMATH,17.401583,74.822417,Kamth,17.40417124,74.8273732
20,Atpadi,0.935651351437,KANKATREWADI,17.305417,74.810667,Kankatrewadi,17.30478364,74.80187854
21,Atpadi,1.23127225235,KARGANI,17.31025,74.879444,Kargani,17.32032828,74.87463912
22,Atpadi,0.525127017877,KAUTHOLI,17.461778,74.970861,KAUTHULI,17.46340215,74.96621224
23,Atpadi,0.407995702432,KHANGODWADI,17.411389,74.997222,Khanjodwadi,17.41412371,74.99465822
24,Atpadi,0.4306110435,KHARSUNDI,17.339389,74.775944,Kharsundi,17.34081821,74.77971456
25,Atpadi,0.293288432031,KURUNDWADI,17.451944,74.729194,Kurundwadi,17.45343945,74.72691646
26,Atpadi,1.36627683537,LENGREWADI,17.364361,74.961833,Lengrewadi,17.35694693,74.951567
27,Atpadi,1.78909841661,LINGEIWARE,17.564361,74.895778,LINGIWARE,17.55277167,74.88407161
28,Atpadi,0.410097352347,MADGULE,17.377306,74.987833,Madgule,17.37420811,74.98573603
29,Atpadi,0.192749187754,MALEWADI,17.30625,74.911083,Malewadi,17.30757556,74.90991303
30,Atpadi,0.794545951785,MANEWADI,17.269444,74.803444,Manewadi,17.2632111,74.7997849
31,Atpadi,2.00712245465,MAPTEMALA,17.435278,74.926111,Maptemala,17.44211288,74.90859973
32,Atpadi,0.690417263095,MASALWADI,17.381111,74.952778,Masalwadi,17.38723949,74.95382281
33,Atpadi,0.510271713045,MITKI,17.358306,74.821194,Mitki,17.36253297,74.81932226
34,Atpadi,1.5197608644,MUDHEWADI,17.419111,74.849111,Mudhewadi,17.40909565,74.85885797
