State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, AMARAVATHI, 199941, 16.575552, 80.358659, AMARAVATHI GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, ATTALURU, 199942, 16.564173, 80.255094, ATTALURU GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, DHARANIKOTA, 199943, 16.577373, 80.358714, DHARANIKOTA GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, DIDUGU, 199944, 16.581201, 80.322469, DIDUGU GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, ENDROY, 199945, 16.530248, 80.366781, ENDROY GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, ENIKAPADU, 199946, 16.531652, 80.366239, ENIKAPADU GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, JUPUDI, 199947, 16.565929, 80.255098, JUPUDI GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, KARLAPUDI, 199948, 16.48526, 80.39383, KARLAPUDI GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, LEMALLE, 199949, 16.513867, 80.376532, LEMALLE GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, LINGAPURAM, 199950, 16.575552, 80.358659, LINGAPURAM GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, MALLADI, 199951, 16.535197, 80.3273, MALLADI GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, MANDEPUDI, 199952, 16.475203, 80.356029, MANDEPUDI GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, MUNAGODU, 199953, 16.57347, 80.278397, MUNAGODU GP, 2
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923, MUTHYAPALEM, 199954, 16.577978, 80.348009, MUTHYAPALEM GP, 2
