State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,atloor, 198145, 14.557947, 79.05486, ATLOOR, 2,4431
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,kamalakur, 198146, 14.640439, 79.074598, KAMALAKUR, 2,3065
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,kamasamudram, 198147, 14.591487, 79.087701, KAMASAMUDRAM, 2,981
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,konduru, 198148, 14.579178, 79.055811, KONDURU, 2,736
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,kumbagiri, 198149, 14.591786, 79.058923, KUMBAGIRI, 2,1044
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,madapur, 198150, 14.601908, 79.090977, MADAPUR, 2,2227
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,mannem vari palle, 198151, 14.63388, 79.081008, MANNEM VARI PALLE, 2,437
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,mutukur, 198152, 14.558472, 79.082509, MUTUKUR, 2,500
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,reddy palli, 198153, 14.571983, 79.038172, REDDY PALLI, 2,5071
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,thamballagondi, 198154, 14.613635, 79.063453, THAMBALLAGONDI, 2,1713
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,varikunta, 198155, 14.537609, 79.058893, VARIKUNTA, 2,1005
ANDHRA PRADESH, 28, YSR KADAPA, 551, ATLUR, 4815,vemalur, 198156, 14.576643, 79.078842, VEMALUR, 2,500
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,b.kodur, 198157, 14.879223, 78.978293, B.KODUR, 2,360
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,itrampeta, 198158, 14.916951, 79.006069, ITRAMPETA, 2,576
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,mekavaripalli, 198159, 14.837362, 78.996912, MEKAVARIPALLI, 2,1760
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,munneli, 198160, 14.918876, 78.954559, MUNNELI, 2,500
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,payalakuntla, 198161, 14.875469, 79.018728, PAYALAKUNTLA, 2,1070
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,pedullapalli, 198162, 14.816393, 79.022527, PEDULLAPALLI, 2,268
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,prbhalaveedu, 198163, 14.792805, 79.009162, PRBHALAVEEDU, 2,533
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,s. papanapalli, 198164, 14.859624, 78.969009, S. PAPANAPALLI, 2,291
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,thangedupalli, 198165, 14.7676, 79.012544, THANGEDUPALLI, 2,1294
ANDHRA PRADESH, 28, YSR KADAPA, 551, B.KODUR, 4816,thummalapalli, 198166, 14.765205, 78.989884, THUMMALAPALLI, 2,500
ANDHRA PRADESH, 28, YSR KADAPA, 551, BADVEL, 4817,chinthala cheruvu, 198168, 14.690216, 79.061481, CHINTHALA CHERUVU, 2,981
ANDHRA PRADESH, 28, YSR KADAPA, 551, BADVEL, 4817,konasamudram, 198169, 14.668488, 79.025226, KONASAMUDRAM, 2,1394
ANDHRA PRADESH, 28, YSR KADAPA, 551, BADVEL, 4817,kongalaveedu, 198170, 14.673775, 79.038778, KONGALAVEEDU, 2,1387
ANDHRA PRADESH, 28, YSR KADAPA, 551, BADVEL, 4817,puttayapalli, 198171, 14.66791, 79.06597, PUTTAYAPALLI, 2,992
ANDHRA PRADESH, 28, YSR KADAPA, 551, BADVEL, 4817,rajupalem, 198172, 14.64611, 79.04592, RAJUPALEM, 2,1644
ANDHRA PRADESH, 28, YSR KADAPA, 551, BADVEL, 4817,thippanapalli, 198173, 14.662039, 79.035032, THIPPANAPALLI, 2,432
ANDHRA PRADESH, 28, YSR KADAPA, 551, BADVEL, 4817,tiruvengalapuram, 198174, 14.750436, 79.025331, TIRUVENGALAPURAM, 2,500
ANDHRA PRADESH, 28, YSR KADAPA, 551, BADVEL, 4817,veerapalli, 198176, 14.67484, 79.004008, VEERAPALLI, 2,2008
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,diguva nelatur, 198177, 14.783739, 78.977714, DIGUVA NELATUR, 2,633
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,dirasavancha, 198178, 14.756223, 78.992187, DIRASAVANCHA, 2,500
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,godlaveedu, 198179, 14.835624, 78.9821, GODLAVEEDU, 2,1428
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,mallepalli, 198180, 14.889878, 78.882541, MALLEPALLI, 2,4061
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,mudumala, 198181, 14.908685, 78.922007, MUDUMALA, 2,2071
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,nagisetti palli, 200922, 14.734762, 79.003381, NAGISETTI PALLI, 2,1607
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,palugurallapalli, 198183, 14.869263, 78.931996, PALUGURALLAPALLI, 2,3922
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,rekalakunta, 200924, 14.733658, 78.916801, REKALAKUNTA, 2,500
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,somireddipalli, 198185, 14.820586, 78.880456, SOMIREDDIPALLI, 2,10268
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,t. chowdaravaripalli, 198186, 14.829895, 78.952161, T. CHOWDARAVARIPALLI, 2,421
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,thotlapalli, 198187, 14.851876, 78.874548, THOTLAPALLI, 2,950
ANDHRA PRADESH, 28, YSR KADAPA, 551, BRAHMAMGARIMATHAM, 4818,vanampula, 198175, 14.716885, 79.00781, VANAMPULA, 2,285
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,addalamarri, 198188, 14.300121, 78.473025, ADDALAMARRI, 2,351
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,chakrayapet, 198189, 14.265067, 78.496399, CHAKRAYAPET, 2,3569
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,chilekampalli, 198190, 14.250929, 78.529009, CHILEKAMPALLI, 2,3740
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,gaddamvaripalli, 198191, 14.241292, 78.540624, GADDAMVARIPALLI, 2,2312
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,gandikovvur, 198192, 14.273042, 78.484617, GANDIKOVVUR, 2,792
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,gangarapuvandlapalli, 198193, 14.201247, 78.514869, GANGARAPUVANDLAPALLI, 2,467
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,k.rajupalli, 198194, 14.216975, 78.469961, K.RAJUPALLI, 2,937
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,k.yerragudi, 198195, 14.201809, 78.42749, K.YERRAGUDI, 2,1352
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,kumara kaluva, 198197, 14.278854, 78.466342, KUMARA KALUVA, 2,1618
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,kuppam, 198198, 14.217329, 78.483084, KUPPAM, 2,3267
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,mahadevapalli, 198199, 14.205821, 78.521364, MAHADEVAPALLI, 2,1959
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,marellamadaka, 198200, 14.288469, 78.48393, MARELLAMADAKA, 2,1905
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,nersupalli, 198201, 14.211943, 78.519002, NERSUPALLI, 2,621
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,surabhi, 198202, 14.216097, 78.552742, SURABHI, 2,5610
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAKRAYAPET, 4819,yrra bommana palli, 198203, 14.263165, 78.459544, YRRA BOMMANA PALLI, 2,1471
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,alladupalle, 198204, 14.707072, 78.680195, ALLADUPALLE, 2,4168
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,annavaram, 198205, 14.763845, 78.632219, ANNAVARAM, 2,164
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,ayyavaripalli, 198206, 14.708708, 78.625499, AYYAVARIPALLI, 2,1371
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,badripalli, 198207, 14.733736, 78.690361, BADRIPALLI, 2,675
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,chapadu, 198208, 14.730137, 78.658578, CHAPADU, 2,337
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,chinnaguruvalur, 198209, 14.686654, 78.689059, CHINNAGURUVALUR, 2,1668
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,chiyyapadu, 198210, 14.747422, 78.671887, CHIYYAPADU, 2,337
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,khaderpalli, 198211, 14.740331, 78.637147, KHADERPALLI, 2,5113
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,kutchupapa, 198212, 14.679863, 78.674789, KUTCHUPAPA, 2,721
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,lakshmipeta, 198213, 14.717936, 78.688567, LAKSHMIPETA, 2,500
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,madur, 198214, 14.76047, 78.61746, MADUR, 2,1822
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,n.obayapalli, 198215, 14.689526, 78.642932, N.OBAYAPALLI, 2,5384
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,nagulapalli, 198216, 14.7419, 78.62677, NAGULAPALLI, 2,1178
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,pallavolu, 198217, 14.727636, 78.643427, PALLAVOLU, 2,1658
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,peddaguravalur, 198218, 14.696137, 78.68165, PEDDAGURAVALUR, 2,69
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,rajuvaripeta, 198219, 14.704789, 78.647865, RAJUVARIPETA, 2,16500
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,seethampalli, 198642, 14.711962, 78.619717, SEETHAMPALLI, 2,991
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,seetharama puram, 198220, 14.720048, 78.667205, SEETHARAMA PURAM, 2,2717
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,siddareddipalli, 198221, 14.752377, 78.705105, SIDDAREDDIPALLI, 2,1047
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,somapuram, 198222, 14.744832, 78.703526, SOMAPURAM, 2,1103
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,t.obayapalli, 198223, 14.769401, 78.664258, T.OBAYAPALLI, 2,4657
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,vedururu, 198224, 14.655007, 78.669558, VEDURURU, 2,3837
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHAPADU, 4820,viswanadhapuram, 198225, 14.724751, 78.700595, VISWANADHAPURAM, 2,2486
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,balasinganapalli, 198226, 14.560865, 78.828082, BALASINGANAPALLI, 2,1535
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,bayana palli, 198227, 14.567854, 78.810596, BAYANA PALLI, 2,4071
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,chennur, 198228, 14.565836, 78.801862, CHENNUR, 2,16126
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,gurrampadu, 198229, 14.544969, 78.834931, GURRAMPADU, 2,1498
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,kokkarayapalli, 198230, 14.574563, 78.783565, KOKKARAYAPALLI, 2,1122
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,mundlapalli, 198231, 14.538147, 78.820661, MUNDLAPALLI, 2,1140
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,rachinnayapalli, 198232, 14.525784, 78.814465, RACHINNAYAPALLI, 2,772
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,ramana palli, 198233, 14.539377, 78.80829, RAMANA PALLI, 2,3107
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,sivalpalle, 198234, 14.57553, 78.757491, SIVALPALLE, 2,1149
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHENNUR, 4821,upparapalli, 198235, 14.548071, 78.781554, UPPARAPALLI, 2,4078
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHINNAMANDEM, 4822,bonamala, 198236, 13.894861, 78.693239, BONAMALA, 2,1528
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHINNAMANDEM, 4822,c.polimerapalli, 198237, 13.907363, 78.711595, C.POLIMERAPALLI, 2,4613
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHINNAMANDEM, 4822,chinnaerusupalli, 198238, 13.950913, 78.671198, CHINNAERUSUPALLI, 2,5431
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHINNAMANDEM, 4822,chinnamandem, 198239, 13.942394, 78.679601, CHINNAMANDEM, 2,10623
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHINNAMANDEM, 4822,devagudipalli, 198240, 13.950782, 78.691741, DEVAGUDIPALLI, 2,2102
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHINNAMANDEM, 4822,diguva gotti veedu, 198241, 13.986289, 78.604439, DIGUVA GOTTI VEEDU, 2,2212
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHINNAMANDEM, 4822,kalibanda, 198242, 13.940366, 78.595201, KALIBANDA, 2,1172
ANDHRA PRADESH, 28, YSR KADAPA, 551, CHINNAMANDEM, 4822,kesapuram, 198243, 13.902791, 78.657232, KESAPURAM, 2,976
