alair,18054
ammanabole,2049
bahadurpet,975
dilwarpur,882
golankonda,2044
ikkurthy,1251
kolanpaka,8860
kollur,4152
manthapuri,1164
matoor,5481
patelgudem,1003
raghavapur,2205
sharajipet,2455
sharbanapuram,855
tangutoor,1413
alwala,2610
annaram,2014
anumula,571
ibrahimpet,3377
kompally,1730
kothapally,3496
marepally,1965
palem,1113
peroor,8224
pulimamedi,1559
rajavaram,5885
ramadugu,2209
silgapur,679
srinathpur,955
thimmapur,2076
tirmalagiri,6177
yacharam,2020
yallapuram,2357
chada,7729
chamapur,529
chandepally,1212
khapuraipally,3065
kondapur,1171
koratikal,2180
kurella,2589
lingarajpally,816
moripirala,1351
narsapur,1643
pallerla,2902
raghavapur,2205
rahimkhanpet,2394
raipally,809
sarvepally,783
singaram,1320
thimmapur,2076
thukkapur,1919
aipoor,2287
atmakur(s),25
bopparam,1600
dacharam,1767
enubamula,1862
gattikal,2051
isthalapuram,1496
kandagatla,4621
kotapahad,1322
makta kotta gudem,1376
mukkudev pally,1848
naseempet,1607
nemmikal,7423
patherla pahad,3958
settigudem,1712
thummala penphad,4672
anajipuram,2169
anantharam,1449
banda somaram,1313
baswapur,2643
bn.thimmapur,2007
bommaipally,1089
chandupatla,3927
cheemalakondur,1252
ghousenagar,902
hanmapur,2513
kesaram,5648
kunoor,1252
mannevaripampu,735
nagireddipally,1122
nandanam,2449
pagidipally,1114
penchikalpahad,741
raigiri,8163
surepally,1154
thukkapur,1919
wadaparthy,2248
yerrambelly,649
annampatla,909
bibinagar,8320
brahamanapally,2319
chinnaravula pally,3644
gudur,2901
gurraladandi,1837
jainepally,1421
jameelapet,1340
kondamadugu,4746
madharam,1904
maktha anantharam,1325
mugdumpally,1775
nemergomula,1711
padamati somaram,1449
raghavapur,2205
raheemkhan guda,764
rairaopet,1366
ravipadu,1070
rudravelly,1085
venkiryal,4278
b.ramaram,519
bandakadipally,383
boinpally,584
chikatimamidi,5777
hazipur,1118
jalalpur,1445
malyala,1209
mariyal,7129
medipally,2025
mylaram,1601
naginenipally,1922
peddaparvathapur,1033
pyararam,1496
ramalingampally,1383
rangapur,704
solipet,1217
tazpoor,1172
thimmapur,2076
thirumalagiri,752
thumukunta,1166
bachapuram,871
chitryala,4293
kambalapally,4474
kothapally,3496
murpunutala,2165
neradugommu,5390
pogilla,1444
teldevarapally,3543
timmapuram,2022
angadipet,2009
bangarigadda,2907
bodangiparthy,1313
chandur,10880
donipamla,2792
gatuppal,6346
gundrepally,1897
idikuda,2147
kastala,2858
kondapuram,2917
nermatta,1796
pullemla,2670
sirdepally,1230
solipur,486
teratpally,3781
tummalapally,1547
udtalapally,2139
bethavole,15257
chilkur,18952
kondapuram,2917
narayanapuram,2099
chinthapally,865
gadiya gouraram,2631
godakondla,5429
homanthalapally,1696
kurmapally,3758
kurmed,4071
madanapoor,807
mallareddypally,1157
nasarlapally,1797
nelvalapally,1373
pkmallepally,932
polepally ramnagar,2860
theeded,2789
varkala,1155
vinjamoor,5563
aipoor,2287
chinakaparthy,3978
chityal,13752
ellikatte,2009
gundrampally,3455
nereda,3540
parepally,1234
pedakaparthy,4666
pittampally,1850
shivanenigudem,1234
sunkenpally,1580
thalla vellemla,3010
urumadla,3320
vanipakala,2264
vattimarthy,1840
velminedu,6083
