gundlagudem,4596
mandanpally,1006
turpugudem,2628
boyagudem,4050
chelmareddyguda,2349
garikanethi thanda,2650
hazarigudem,2372
korvenigudem,2468
naidupalum,7556
rangundla,4488
srirampuram,2594
athmakur(m),25
duppella,2041
katepally,1276
modullabaigudem,2372
nancharipet,2455
pothireddypally,1157
pullaigudem,380
t.repaka,4458
uppal pahad,3958
meedathanpally,2343
pathasuryapet,1950
ramannaguda,552
balampally,4474
jammapur,653
muthireddygudem,2349
namathpally,748
pacharlabodu thanda,3958
ramachandrapuram,3716
reddynaik thanda,5328
battugudem,4050
gollagudem,2372
jamepally,1276
jiyapalle,1148
laxmidevi gudem,1369
palle gudem,2372
ramunigundla thanda,4596
choudaripally,5564
kanchal thanda,1068
kandlakunta thanda,4596
laxmi thanda,5328
manchanpally,1068
pilligudla thandla,4596
chandampet,211
chinna munigal,2328
gagilapuram,2798
kasharaju pally,2191
mududandala,2255
peddamula,2033
peddamunagala,3723
polepally,4875
rekulagadda,1404
yalamalamanda,2087
acharlagudem,4050
arlagudem,4050
chennarigudem,2468
janakinagar,5834
jerripotula gudem,2628
polenigudem,2468
sethalathanda,2650
setharamapuram,855
chakali seripally,3644
gollapally,2697
kistrainpally,1030
modugulamallepally,9683
thakkalapally,1329
b chandu patla,3936
laxminaik thanda,4596
manyanaik thanda,5328
panchanaik thanda,4596
pandyanaik thanda,4596
rollabanda thanda,4596
valya thanda,5328
ankireddy gudem,9223
aregudem,9223
dharmoji gudem,9223
gundla bai,1144
koyyal gudem,1376
kuntla gudem,2372
mandolla gudem,2372
masidu gudem,9223
peddakondur,2299
sarneni gudam,2468
balajinagar thanda,4596
champla thanda,4596
ganesh pahad thanda,2650
k.j.reddy colony,9223
kotha nandi konda,2650
watcha thanda,2650
chennamaneni pally,2328
gaji nagar,3124
kond bhimanapally,4302
madamadaka,1650
pedlipakala,2841
thelugupally,4577
abbireddy gudem,9223
appannapet,10202
kachavari gudem,1369
kodandarampuram,2310
l.b.nagar,6321
rayanigudem,1379
nune gudem,939
bogguladona,2080
cherukupally,4500
rahmanthapur,1625
yerraram,3983
amuloor,2826
pittalagudem,380
anjalipuram,2310
gopalapuram,1792
karakkayalagudem,1067
lingagiri,816
machireddygudem,9223
persaipally,1385
bachannagudem,552
chetla chennaram,5542
g yadavally,1962
kurampally,6130
lachugudem,4596
ramchendrapur,3716
telukantigudem,1379
garlabaigudem,1369
muthyalammagudem,2372
naregudem,2565
kondakindigudem,4831
kothapeta,2330
yellamagudem,4730
ameenabad,4134
bheekya thanda,5328
bojyagudem thanda,3070
golithanda,3070
kistapuram,4488
kuchipudithanda,1110
nallabandagudem,2372
ramalaxmapuram,3716
shanthinagar,6105
thammarabandapalem,6207
venkatramapuram,2099
yerraram,3983
gollagudem,2372
mothiram thanda,2650
pedda thanda,5328
veera reddy pally,1835
velupu pally,4577
ajjalapuram,2971
d.b.pally,2330
k.b.pally,4474
kondur,2504
lenkalapally,605
mcpoor,807
namapoor,691
ramreddypally,1835
sarampeta,2455
bakkamanthuiagudem,1639
bheelyanaik thanda,5328
donabanda thanda,4596
hanumanthulagudem,4596
kistapuram,4488
manchyathanda,5328
ramachandrapuram,3716
hemlathanda,5328
nakkagudem,1376
yathirajapuramthanda,2650
badalapuram,2310
dondavarigudem,7518
nandapahad,5916
lalthanda,5328
rampuram thanda,4596
thummala pally,1547
azimpet,2394
boddugudem,9223
govindapur,2917
laxmidevi kalva,477
mothkur,2714
jagannadhapuram,785
narayana gudem,4596
narshimhula gudem,4374
thimmareddygudam,2349
venkatrampuram,936
vijaya raghavapuram,2205
mallareddigudam,4730
kagitharamachandrapuram,3716
keshavapuram,4543
naranayapuram,2099
vailasingaram,5028
venugoplapuram,2594
buddaram,1167
chandanapally,3550
k.kondaram,3264
m.domalapally,1547
melladuppalapally,3342
mushampally,1489
narsinghbatla,4596
velugupally,4577
peddapur,1033
ramdas thanda,5328
vaddepally,7556
bandalpahad,1482
ch.narayanpur,2099
china thummalaguda,4596
bette thanda,5328
kallur,687
kandulavarigudem,7518
mukunda puram,3786
nagireddy gudem,9223
nandikonda varigudem,7518
narammagudem,4596
rajannagudem,552
vempadu,2628
vengannagudem,2468
pande pally,1063
somalla thanda,1596
angadipeta x road,4018
rampuram,4500
vaddi patla,4806
nadigadda,5814
srisana gandla,2497
mukundapur,3786
narayanagudem,2099
dothi gudem,2349
pedda gudem,939
shiva reddy gudem,2349
suraram,3421
thummala gudem,4596
yennaram,5542
ambaripet,2455
ramanujapuram,3716
dasaigudem,2468
gandhinagar,3124
k.t.annaram,2650
rayanigudem,1379
chinnasuraram,3644
godavarigudem,1369
jangareddygudem,2565
rajpet,4902
yarragaddalaguda,4596
nama puram,653
k.kothagudem,1376
ramachandrapuram,3716
thurupu gudem,2628
abangapur,855
anjanpally,1068
appalammagudem,4596
babasaipet,3919
brundavanpur,3253
donka thanda,4302
duggepally,7556
gajalapur,2971
kampa sagar,4808
kampalapally,4474
kontalapally,1696
neelai gudem,2628
palugu thanda,4596
pedda devlaplaly,7556
poosalapahad,1812
satyanarayanapuram,2099
kerechu pally,3644
lingaraju pally,816
m.thurka pally,4500
nathala gudam,2628
yedulla gudam,4730
gurrappagudem,2628
poreddygudem,939
bahupet,1950
gangasanipalli,1385
mahaboobpet,3919
ramajipet,2455
tallagudem,2372
wadaigudem,4831
yadigirigutta,15232
