State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
ARUNACHAL PRADESH,12,ANJAW,258,CHONGLONGAM,2206,CHAGLONGAM,100233,28.309181,96.60504,CHAGLONGAM,2
ARUNACHAL PRADESH,12,ANJAW,258,CHONGLONGAM,2206,HAMALIANG,100234,28.111265,96.531493,HAMALIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,CHONGLONGAM,2206,KROMNA,100235,28.216105,96.537445,KROMNA,2
ARUNACHAL PRADESH,12,ANJAW,258,CHONGLONGAM,2206,MAILIANG,100236,28.267512,96.564959,MAILIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,CHONGLONGAM,2206,MATENGLIANG,100237,28.20496,96.533305,MATENGLIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,CHONGLONGAM,2206,PAILIANG,100238,28.186138,96.497281,PAILIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,CHONGLONGAM,2206,ROILIANG,100239,28.154412,96.514153,ROILIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,CHONGLONGAM,2206,TAFLAGAM,100240,28.31889,96.609217,TAFLAGAM,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,BLONG,100241,27.927275,96.772728,BLONG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,HALAIKRONG,100242,27.849457,96.81053,HALAIKRONG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,KAMBLAT,100243,27.864731,96.824885,KAMBLAT,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,KIBITHOO,100244,28.281701,97.015949,KIBITHOO,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,LAUTUL,100245,27.954736,96.7224,LAUTUL,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,LONGLIANG,100246,27.910845,96.785012,LONGLIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,MECHONG,100247,27.885886,96.851514,MECHONG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,SARTI,100248,28.017176,96.966179,SARTI,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,SHIRONG,100249,27.883476,96.91201,SHIRONG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,TAMBLU,100250,27.942478,96.784238,TAMBLU,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,WALLA,100251,27.883676,96.808872,WALLA,2
ARUNACHAL PRADESH,12,ANJAW,258,HAWAI-WALONG,2207,WATONG,100253,27.883788,96.800737,WATONG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,AMLIANG,100254,28.05858,96.468236,AMLIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,BARAFU,100255,28.105963,96.558119,BARAFU,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,BRAIGONG,100256,28.137301,96.678943,BRAIGONG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,DANGLAT,100257,28.115876,96.582204,DANGLAT,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,GAMLIANG,100258,28.118404,96.597135,GAMLIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,GOILIANG,100259,28.145256,96.639403,GOILIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,HAYULIANG,100260,28.082185,96.521094,HAYULIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,LAMKONG-MACHIMA,100261,27.992693,96.417494,LAMKONG-MACHIMA,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,MOHIKONG,100262,28.053492,96.456364,MOHIKONG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,NILANG,100263,28.176546,96.656093,NILANG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,SUPLANG,100264,28.046871,96.584895,SUPLANG,2
ARUNACHAL PRADESH,12,ANJAW,258,HAYULIANG,2208,TAFRALIANG,100265,28.07857,96.474192,TAFRALIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,MANCHAL,2210,CHAMBAB,100283,27.952967,96.698392,CHAMBAB,2
ARUNACHAL PRADESH,12,ANJAW,258,MANCHAL,2210,KHULIANG,100284,28.04004,96.60385,KHULIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,MANCHAL,2210,MANCHAL,100285,27.978848,96.644829,MANCHAL,2
ARUNACHAL PRADESH,12,ANJAW,258,MANCHAL,2210,PANGUNG,100286,27.997677,96.747337,PANGUNG,2
ARUNACHAL PRADESH,12,ANJAW,258,MANCHAL,2210,QUIBANG,100287,27.960304,96.695684,QUIBANG,2
ARUNACHAL PRADESH,12,ANJAW,258,MANCHAL,2210,SIET,100288,28.004368,96.761636,SIET,2
ARUNACHAL PRADESH,12,ANJAW,258,MANCHAL,2210,TEHULIANG,100289,28.03199,96.619972,TEHULIANG,2
ARUNACHAL PRADESH,12,ANJAW,258,MANCHAL,2210,YATONG,100290,28.018714,96.622374,YATONG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,BORDUMSA,99671,27.51327,95.878979,BORDUMSA,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,BORDUMSA ADC OFFICE,888888,27.51551,95.884641,BORDUMSA ADC OFFICE,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,BORKET,99672,27.501478,95.974805,BORKET,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,DAPKHU,99673,27.481973,95.931783,DAPKHU,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,DIROK PATHAR,99674,27.530132,95.926972,DIROK PATHAR,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,GALENJA,99675,27.528706,95.884951,GALENJA,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,GIDDING,99676,27.519502,95.910541,GIDDING,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,GOJU,99677,27.497123,95.886337,GOJU,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,KHEREM KACHARI,99678,27.472891,95.873976,KHEREM KACHARI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,KHEREMBISA,99670,27.465384,95.887362,KHEREMBISA,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,KHEREMPANI,99679,27.458813,95.923943,KHEREMPANI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,KUMUNG POTHAR,99680,27.53752,95.904672,KUMUNG POTHAR,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,LALUNG,99681,27.507781,95.93579,LALUNG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,MAGANTONG,99682,27.474695,95.962935,MAGANTONG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,MOHANG,99683,27.540441,95.877367,MOHANG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,RAJANAGAR-I,99684,27.472797,95.920148,RAJANAGAR-I,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,RAJANAGAR-III,99685,27.482251,95.923137,RAJANAGAR-III,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,SIMU,99686,27.436513,95.911482,SIMU,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,UCHABAM,99687,27.441748,95.857593,UCHABAM,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,WAGUN PONTHAI,99688,27.460418,95.911643,WAGUN PONTHAI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,WAGUN-I,99689,27.448329,95.896091,WAGUN-I,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,WAGUN-III,99690,27.42942,95.888936,WAGUN-III,2
ARUNACHAL PRADESH,12,CHANGLANG,259,BORDUMSA,2161,WAKHETNA,99691,27.51119,95.950906,WAKHETNA,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,CHANGRA,99692,26.98396,95.656602,CHANGRA,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,CHODOK,99693,27.182419,95.799136,CHODOK,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,JONGPHOHATE,99694,27.148175,95.683495,JONGPHOHATE,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,KANGKHO,99695,27.10585,95.653798,KANGKHO,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,KENGKHU,99696,27.170973,95.770544,KENGKHU,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,KHUCHEP,99697,27.219237,95.858797,KHUCHEP,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,KONGSA,99698,27.231748,95.654147,KONGSA,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,LONGPHA,99699,27.215306,95.638856,LONGPHA,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,LONGRAN,99700,27.213428,95.710016,LONGRAN,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,NEW CHANGLANG,99701,27.132733,95.747216,NEW CHANGLANG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,OLD CHANGLANG,99702,27.14156,95.736612,OLD CHANGLANG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,PHANGTIP,99703,27.128107,95.701406,PHANGTIP,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,RANGKATU,99704,27.177746,95.784928,RANGKATU,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,RANGRINGKAN,99705,27.251606,95.725445,RANGRINGKAN,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,SABBAN,99706,27.135761,95.69052,SABBAN,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,WATLOM,99707,27.088734,95.69534,WATLOM,2
ARUNACHAL PRADESH,12,CHANGLANG,259,CHANGLANG,2162,YANGKANG,99708,27.11245,95.667566,YANGKANG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,DIYUM,2163,BALU PATHAR,99709,27.571972,96.053701,BALU PATHAR,2
ARUNACHAL PRADESH,12,CHANGLANG,259,DIYUM,2163,DUMBA,99710,27.538526,96.042357,DUMBA,2
ARUNACHAL PRADESH,12,CHANGLANG,259,DIYUM,2163,INNAO,99711,27.548758,96.026832,INNAO,2
ARUNACHAL PRADESH,12,CHANGLANG,259,DIYUM,2163,INNAO KHAMTI,99712,27.548313,96.020006,INNAO KHAMTI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,DIYUM,2163,KUMCHAIKA,99713,27.551131,96.045748,KUMCHAIKA,2
ARUNACHAL PRADESH,12,CHANGLANG,259,DIYUM,2163,LEWANG,99748,27.514086,96.207416,LEWANG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,DIYUM,2163,MUDOI,99714,27.556428,95.997245,MUDOI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,DIYUM,2163,SOMPOI,99715,27.548568,96.0766,SOMPOI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,BUBANG,99716,27.101042,95.734676,BUBANG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,JONGJI HOVI,99717,26.967357,95.704168,JONGJI HOVI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,KHIMYAONG,99718,27.013348,95.712587,KHIMYAONG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,LONGKEY,99719,27.037568,95.732644,LONGKEY,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,LONGLUNG,99720,27.161648,95.783507,LONGLUNG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,NEW JUKHI,99721,27.203045,95.860674,NEW JUKHI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,NGECHANG,99722,27.121938,95.734158,NGECHANG,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,OLD JUKHI,99723,27.191059,95.839809,OLD JUKHI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,SACHING,99724,27.083301,95.759996,SACHING,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,SOHE,99725,27.073676,95.744962,SOHE,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,SONGKHU HOVI,99726,26.963567,95.682237,SONGKHU HOVI,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,THAMLOM,99727,26.963256,95.660792,THAMLOM,2
ARUNACHAL PRADESH,12,CHANGLANG,259,KHIMYONG,2164,YANMAN,99728,27.435067,96.012682,YANMAN,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,BORSATAM,99729,27.138418,95.901015,BORSATAM,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,CHUMPON,99730,27.226801,95.948091,CHUMPON,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,JAIRAMPUR CO OFFICE,888888,27.353081,96.012179,JAIRAMPUR CO OFFICE,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,KAMLAO,99731,27.262726,95.95036,KAMLAO,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,KHAMDU,99732,27.251606,95.725445,KHAMDU,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,KOVIN,99733,27.333723,96.046329,KOVIN,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,LYNGOK,99734,27.260526,95.885091,LYNGOK,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,MONMAO,99735,27.245695,95.918297,MONMAO,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,PHINBIRO,99736,27.284659,95.812517,PHINBIRO,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,RENUK,99737,27.185224,95.895295,RENUK,2
ARUNACHAL PRADESH,12,CHANGLANG,259,MANMAO-JAIRAMPUR,2165,TENGMO,99738,27.293782,96.03004,TENGMO,2
