State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
ARUNACHAL PRADESH, 12, TIRAP, 260, CHUBAM, 2253, CHANU, 100795, 26.949064, 95.33216, CHANU, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, CHUBAM, 2253, CHATTONG, 100796, 27.009725, 95.364315, CHATTONG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, CHUBAM, 2253, CHUBAM NEW BLOCK OFFICE, 888888, 26.973531, 95.344761, CHUBAM NEW BLOCK OFFICE, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, CHUBAM, 2253, LONGSOM, 100797, 26.937116, 95.308193, LONGSOM, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, CHUBAM, 2253, OZAKHO, 100798, 26.981114, 95.348818, OZAKHO, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DADAM, 2254, BERA, 100799, 26.95317, 95.391761, BERA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DADAM, 2254, CHINKOI, 100800, 26.922448, 95.441463, CHINKOI, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DADAM, 2254, DADAM, 100801, 26.924673, 95.470816, DADAM, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DADAM, 2254, HUKAN, 100802, 26.948814, 95.475635, HUKAN, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DADAM, 2254, LAHO, 100803, 26.911727, 95.415293, LAHO, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DADAM, 2254, MOKTOWA, 100804, 26.875895, 95.431046, MOKTOWA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DADAM, 2254, NEW KOTHIN, 100805, 26.924522, 95.390686, NEW KOTHIN, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DADAM, 2254, OLD KOTHIN, 100806, 26.93522, 95.41436, OLD KOTHIN, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, LAMLO, 100807, 27.087119, 95.541649, LAMLO, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, LONGKHONG, 100808, 27.110921, 95.504713, LONGKHONG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, MAKAT, 249663, 27.11266, 95.52056, MAKAT, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, MOPAYA, 100809, 27.244534, 95.560957, MOPAYA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, NAMSANG, 100810, 27.128585, 95.472874, NAMSANG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, NATON KHETI, 100811, 27.085416, 95.533062, NATON KHETI, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, NEW SUBANG, 251692, 27.103306, 95.531478, NEW SUBANG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, SIPINI, 249664, 27.111576, 95.462145, SIPINI, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, SUBANG, 100812, 27.111757, 95.533067, SUBANG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, DEOMALI, 2255, WASATHONG, 249662, 27.095877, 95.503779, WASATHONG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KANUBARI, 2256, BANFERA, 100813, 26.956048, 95.225182, BANFERA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KANUBARI, 2256, DASATONG, 100814, 27.026105, 95.189344, DASATONG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KANUBARI, 2256, LONGHUA, 100815, 27.001777, 95.245096, LONGHUA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KANUBARI, 2256, LUAKSIM, 100816, 27.0171, 95.179113, LUAKSIM, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KANUBARI, 2256, MOPAKHAT, 100817, 27.027757, 95.206369, MOPAKHAT, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KANUBARI, 2256, OLINGTONG, 100818, 27.026289, 95.187408, OLINGTONG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KANUBARI, 2256, WANU, 100819, 26.930469, 95.259071, WANU, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KAPU, 2257, CHASA, 100820, 26.991988, 95.400403, CHASA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KAPU, 2257, KAPU, 100821, 26.967765, 95.40708, KAPU, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KAPU, 2257, LONGO, 100822, 26.976526, 95.420998, LONGO, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KAPU, 2257, LUTHONG, 100823, 27.004699, 95.473627, LUTHONG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KAPU, 2257, NEW PANIDURIA, 100824, 27.020476, 95.407859, NEW PANIDURIA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KAPU, 2257, NOKSA, 100825, 27.001734, 95.442305, NOKSA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KAPU, 2257, OLD PANIDURIA, 100826, 27.022784, 95.426825, OLD PANIDURIA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KAPU, 2257, OLD TUPI, 100827, 26.983947, 95.449812, OLD TUPI, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KAPU, 2257, PULLONG, 100828, 27.044766, 95.447879, PULLONG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHAKHAM, 2258, JAGAN, 100829, 26.679624, 95.364153, JAGAN, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHAKHAM, 2258, KAMHUA - NOKNU, 100830, 26.764268, 95.357536, KAMHUA - NOKNU, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHAKHAM, 2258, KAMHUA - NOKSA, 100831, 26.746334, 95.357977, KAMHUA - NOKSA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHAKHAM, 2258, KHASA, 100832, 26.708094, 95.359646, KHASA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHAKHAM, 2258, VOTNU, 100833, 26.730243, 95.37607, VOTNU, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHONSA, 2260, BORDURIA, 100841, 27.028045, 95.474513, BORDURIA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHONSA, 2260, KAIMAI, 100842, 27.040077, 95.499427, KAIMAI, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHONSA, 2260, KHETI, 100843, 26.958964, 95.51187, KHETI, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHONSA, 2260, KHONSA, 100844, 26.999926, 95.509786, KHONSA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHONSA, 2260, LAPNAN, 100845, 26.989197, 95.486499, LAPNAN, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHONSA, 2260, LAPTANG, 100846, 27.060155, 95.467575, LAPTANG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHONSA, 2260, SUMSI - PANSUMTHONG, 249667, 27.064612, 95.453244, SUMSI - PANSUMTHONG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, KHONSA, 2260, THINSA, 100848, 26.942477, 95.517416, THINSA, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, LAJU, 2261, CHINHAN - UPPER CHINHAN, 100851, 26.863889, 95.60678, CHINHAN - UPPER CHINHAN, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, LAJU, 2261, LAZU, 100849, 26.893527, 95.578337, LAZU, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, LAJU, 2261, LAZU BLOCK, 888888, 26.898217, 95.577899, LAZU BLOCK, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, LAJU, 2261, LONGLIANG, 100850, 26.871169, 95.514563, LONGLIANG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, LAJU, 2261, LOWER KOLAM, 100852, 26.928702, 95.597653, LOWER KOLAM, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, LAJU, 2261, NEW KOTHUNG, 100853, 26.914846, 95.607351, NEW KOTHUNG, 2
ARUNACHAL PRADESH, 12, TIRAP, 260, LAJU, 2261, NOGLO, 100854, 26.862578, 95.595145, NOGLO, 2
