State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, BALIJURI, 107339, 26.319528, 92.866936, BALIJURI, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, BAMUNI, 107340, 26.2835, 92.805817, BAMUNI, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, BORBARI, 107341, 26.310772, 92.825428, BORBARI, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, BARHAMPUR, 107342, 26.323525, 92.772456, BARHAMPUR, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, CHAPANALA, 107343, 26.337044, 92.870528, CHAPANALA, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, HALUAGAON, 107344, 26.3451, 92.77945, HALUAGAON, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, KATANIGAON, 107345, 26.294625, 92.73895, KATANIGAON, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, NIZCHALCHALI, 107346, 26.344839, 92.795131, NIZCHALCHALI, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, PURANIGUDAM, 107347, 26.36481, 92.8004, PURANIGUDAM, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, SUTARGAON, 107348, 26.266867, 92.733267, SUTARGAON, 21
ASSAM, 18, NAGAON, 305, BARHAMPUR, 2657, URIAGAON, 107349, 26.346253, 92.746369, URIAGAON, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, AMLAKHI, 107350, 26.395484, 92.51503, AMLAKHI, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, BATADRAVA, 107351, 26.432414, 92.5433, BATADRAVA, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, BHOMORAGURI, 107352, 26.394686, 92.561244, BHOMORAGURI, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, BILATIA, 107353, 26.472649, 92.483016, BILATIA, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, DHANIABHATI, 107354, 26.382728, 92.532181, DHANIABHATI, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, DHUPAGURI, 107355, 26.437636, 92.512322, DHUPAGURI, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, KADOMONI, 107356, 26.431379, 92.534724, KADOMONI, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, KANDHULIMARI, 107357, 26.486781, 92.479386, KANDHULIMARI, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, KATAHGURI, 107358, 26.379212, 92.500829, KATAHGURI, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, RAMPUR SATRA, 107359, 26.441585, 92.543327, RAMPUR SATRA, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, SAHARIA, 107360, 26.418469, 92.489628, SAHARIA, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, SOLOGURI, 107361, 26.442256, 92.500397, SOLOGURI, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, TUKTUKI, 107363, 26.389308, 92.499058, TUKTUKI, 21
ASSAM, 18, NAGAON, 305, BATADRAVA, 2658, UPAR DOMDOMIA, 107364, 26.468225, 92.542517, UPAR DOMDOMIA, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, BALUHUNDAR, 107389, 25.93775, 92.928861, BALUHUNDAR, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, BHALUKMARI, 107390, 25.952806, 92.954389, BHALUKMARI, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, BORDOLONG, 107391, 25.878444, 92.896944, BORDOLONG, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, DHALPUKHURI, 107392, 25.9665, 92.896583, DHALPUKHURI, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, FARMAPAR, 107393, 25.894824, 92.868977, FARMAPAR, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, KUMURAKATA, 107394, 25.976333, 92.795583, KUMURAKATA, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, LANKABHETA, 107395, 25.917833, 92.953528, LANKABHETA, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, LASKARPATHAR, 107396, 25.926972, 92.898861, LASKARPATHAR, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, MILIKBOSTI, 107397, 25.994167, 92.844889, MILIKBOSTI, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, NANDAPUR, 107398, 25.977361, 92.856917, NANDAPUR, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, PADUMPUKHURI, 107390, 25.89175, 92.941611, PADUMPUKHURI, 21
ASSAM, 18, NAGAON, 305, DHALPUKHURI, 2660, SINGARI BOSTI, 107400, 25.9985, 92.825722, SINGARI BOSTI, 21
ASSAM, 18, NAGAON, 305, DOLONGGHAT, 2651, AIBHETI, 107401, 26.365909, 92.593619, AIBHETI, 21
ASSAM, 18, NAGAON, 305, DOLONGGHAT, 2651, HATIJUJUWA, 107402, 26.397709, 92.589559, HATIJUJUWA, 21
ASSAM, 18, NAGAON, 305, DOLONGGHAT, 2651, JAMUGURI KUJIDAH, 107403, 26.30405, 92.59635, JAMUGURI KUJIDAH, 21
ASSAM, 18, NAGAON, 305, DOLONGGHAT, 2651, KAKOMARI, 107404, 26.293917, 92.558517, KAKOMARI, 21
ASSAM, 18, NAGAON, 305, DOLONGGHAT, 2651, MAJ JAJORI, 107405, 26.344917, 92.573967, MAJ JAJORI, 21
ASSAM, 18, NAGAON, 305, DOLONGGHAT, 2651, NIZ HATICHUNG, 107406, 26.32745, 92.595583, NIZ HATICHUNG, 21
ASSAM, 18, NAGAON, 305, DOLONGGHAT, 2651, RAIDONGIA, 107407, 26.369367, 92.5959, RAIDONGIA, 21
ASSAM, 18, NAGAON, 305, DOLONGGHAT, 2651, BHAKATGAON, 107256, 26.300528, 92.513483, BHAKATGAON, 21
