State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
ASSAM,18,DHUBRI,301,AGOMANI,2549,AGOMANI,104743,26.16694,89.785833,AGOMANI,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,BHAMUNDANGA,104744,26.22027,89.746944,BHAMUNDANGA,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,BIDYARDABRI,104745,26.26805,89.784166,BIDYARDABRI,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,BOTERHAT,255368,26.282777,89.81666,BOTERHAT,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,CHAGOLIA,104747,26.3,89.76666,CHAGOLIA,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,HALAKURA,104748,26.25,89.78333,HALAKURA,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,KAIMARI,104749,26.3,89.791388,KAIMARI,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,POKALAGI,104750,26.27,89.75,POKALAGI,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,RANPAGLI,104751,26.2,89.7333,RANPAGLI,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,SATRASAL,104752,26.1639,89.73916,SATRASAL,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,SHERNAGAR,104753,26.201666,89.78111,SHERNAGAR,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,SINDURAI,104754,26.17,89.77222,SINDURAI,1
ASSAM,18,DHUBRI,301,AGOMANI,2549,SONAKHULI,104755,26.25,89.79444,SONAKHULI,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,AMGURI,107679,26.77263,94.56883,AMGURI,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,BHUYAHAT,107680,26.82738,94.50879,BHUYAHAT,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,BORAHIBARI,107681,26.83525,94.58947,BORAHIBARI,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,BORBAM,107682,26.7788,94.52916,BORBAM,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,BORCHALLA,107683,26.78535,94.61366,BORCHALLA,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,BORUAALI,107684,26.80844,94.60505,BORUAALI,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,LALIMCHAPORI,107685,26.82191,94.56222,LALIMCHAPORI,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,NAMTIALI,107686,26.85091,94.62888,NAMTIALI,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,NAMTIDOLA,107687,26.84102,94.62252,NAMTIDOLA,1
ASSAM,18,SIVASAGAR,311,AMGURI,2693,PENGERA,107688,26.80319,94.53355,PENGERA,1
ASSAM,18,CACHAR,316,BANSKANDI,2508,BADRI - CHANDRAPUR,104360,24.80969,92.89686,BADRI - CHANDRAPUR,1
ASSAM,18,CACHAR,316,BANSKANDI,2508,BANSKANDI,104362,24.80891,92.90102,BANSKANDI,1
ASSAM,18,CACHAR,316,BANSKANDI,2508,DOLUGRAM,104363,24.87213,92.93464,DOLUGRAM,1
ASSAM,18,CACHAR,316,BANSKANDI,2508,PALLORBOND,104366,24.83147,92.94202,PALLORBOND,1
ASSAM,18,CACHAR,316,BANSKANDI,2508,TARAPUR MANIPUR,104367,24.82038,92.94678,TARAPUR MANIPUR,1
ASSAM,18,CACHAR,316,BANSKANDI,2508,Neargram Bagpur,104483,24.76422,92.84393,Neargram Bagpur,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,BARBARUAH,104915,27.39423,94.87318,BARBARUAH,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,BOGIBIL,104916,27.38728,94.80333,BOGIBIL,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,BORPATHER,104917,27.43567,94.89003,BORPATHER,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,CHIRING DAINIJAN,104918,27.446422,94.921896,CHIRING DAINIJAN,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,DULIA KAKOTI,104919,27.394003,94.881392,DULIA KAKOTI,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,GARUDHORIA,104920,27.3514,94.823,GARUDHORIA,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,JOKAI,104921,27.377112,94.957966,JOKAI,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,KALAKHOWA,104922,27.27663,94.79347,KALAKHOWA,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,KHANIKAR,104923,27.433301,94.923806,KHANIKAR,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,KUTUHA,104924,27.319443,94.875569,KUTUHA,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,LEZAI,104925,27.333059,94.846464,LEZAI,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,NIZ MANCOTTA,104926,27.439464,94.949225,NIZ MANCOTTA,1
ASSAM,18,Dibrugarh,310,BARBARUAH,2563,RAJABHETTA,104927,27.452985,94.881373,RAJABHETTA,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,BALIJURI,107339,26.319528,92.866936,BALIJURI,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,BAMUNI,107340,26.2835,92.805817,BAMUNI,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,BORBARI,107341,26.310772,92.825428,BORBARI,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,BARHAMPUR,107342,26.323525,92.772456,BARHAMPUR,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,CHAPANALA,107343,26.337044,92.870528,CHAPANALA,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,HALUAGAON,107344,26.3451,92.77945,HALUAGAON,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,KATANIGAON,107345,26.294625,92.73895,KATANIGAON,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,NIZCHALCHALI,107346,26.344839,92.795131,NIZCHALCHALI,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,PURANIGUDAM,107347,26.36481,92.8004,PURANIGUDAM,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,SUTARGAON,107348,26.266867,92.733267,SUTARGAON,1
ASSAM,18,NAGAON,305,BARHAMPUR,2657,URIAGAON,107349,26.346253,92.746369,URIAGAON,1
ASSAM,18,CACHAR,316,BARJALENGA,2509,BAGBAHAR,104368,24.57272,92.71073,BAGBAHAR,1
ASSAM,18,CACHAR,316,BARJALENGA,2509,BORAKHAI,104370,24.72568,92.77841,BORAKHAI,1
ASSAM,18,CACHAR,316,BARJALENGA,2509,IRONGMARA,104373,24.68319,92.7422,IRONGMARA,1
ASSAM,18,CACHAR,316,BARJALENGA,2509,NAYABILL,104375,24.63645,92.75117,NAYABILL,1
ASSAM,18,CACHAR,316,BARJALENGA,2509,SILCOORIE,104376,24.71846,92.77601,SILCOORIE,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,AMLAKHI,107350,26.395484,92.51503,AMLAKHI,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,BATADRAVA,107351,26.432414,92.5433,BATADRAVA,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,BHOMORAGURI,107352,26.394686,92.561244,BHOMORAGURI,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,BILATIA,107353,26.472649,92.483016,BILATIA,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,DHANIABHATI,107354,26.382728,92.532181,DHANIABHATI,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,DHUPAGURI,107355,26.437636,92.512322,DHUPAGURI,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,KADOMONI,107356,26.431379,92.534724,KADOMONI,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,KANDHULIMARI,107357,26.486781,92.479386,KANDHULIMARI,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,KATAHGURI,107358,26.379212,92.500829,KATAHGURI,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,RAMPUR SATRA,107359,26.441585,92.543327,RAMPUR SATRA,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,SAHARIA,107360,26.418469,92.489628,SAHARIA,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,SOLOGURI,107361,26.442256,92.500397,SOLOGURI,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,TUKTUKI,107363,26.389308,92.499058,TUKTUKI,1
ASSAM,18,NAGAON,305,BATADRAVA,2658,UPAR DOMDOMIA,107364,26.468225,92.542517,UPAR DOMDOMIA,1
ASSAM,18,KAMRUP,321,BEZERA,2599,DHOPARTARI,105366,26.253,91.6927,DHOPARTARI,1
ASSAM,18,KAMRUP,321,BEZERA,2599,SARAIGHAT,105370,26.26055,91.69527,SARAIGHAT,1
ASSAM,18,KAMRUP,321,BEZERA,2599,LACHITGARH,255941,26.18194,91.6825,LACHITGARH,1
ASSAM,18,KAMRUP,321,BEZERA,2599,RUDRESWAR,105369,26.220833,91.727778,RUDRESWAR,1
ASSAM,18,KAMRUP,321,BEZERA,2599,AGDOLA,105364,26.34166,91.73416,AGDOLA,1
ASSAM,18,KAMRUP,321,BEZERA,2599,BEZRA(BARBANGSAR),105365,26.34583,91.77888,BEZRA(BARBANGSAR),1
ASSAM,18,KAMRUP,321,BEZERA,2599,MANDAKATTA,105368,26.321388,91.791666,MANDAKATTA,1
ASSAM,18,MARIGAON,304,BHURBANDHA,2650,SILPUKHURI,107242,26.364829,92.508292,SILPUKHURI,1
ASSAM,18,MARIGAON,304,BHURBANDHA,2650,Habibarangabari,107249,26.349722,92.43325,Habibarangabari,1
ASSAM,18,MARIGAON,304,BHURBANDHA,2650,Mikirbheta,107252,26.325639,92.454389,Mikirbheta,1
ASSAM,18,MARIGAON,304,BHURBANDHA,2650,Rangadaria,107253,26.353556,92.44425,Rangadaria,1
ASSAM,18,MARIGAON,304,BHURBANDHA,2650,Tarabori,107255,26.348341,92.392689,Tarabori,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,BARDANGERIKUCHI,105372,26.487222,91.730556,BARDANGERIKUCHI,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,BIHDIA,105373,26.404723,91.738062,BIHDIA,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,BIRADUTTA,105374,26.397222,91.696637,BIRADUTTA,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,HARADUTTA,105375,26.438333,91.699722,HARADUTTA,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,JATIABHANGARA,105376,26.443336,91.730564,JATIABHANGARA,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,KARARA,105377,26.365833,91.733611,KARARA,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,LOCH,105378,26.440278,91.738056,LOCH,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,MADHUKUCHI,105379,26.414444,91.675288,MADHUKUCHI,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,MUKATAPUR,105380,26.414724,91.740833,MUKATAPUR,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,NAGAON,105381,26.364444,91.704444,NAGAON,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,SINGARPARA,105382,26.398892,91.780563,SINGARPARA,1
ASSAM,18,KAMRUP,321,BIHDIA -JAJIKONA,2600,TITKUCHI,105383,26.370805,91.804387,TITKUCHI,1
ASSAM,18,LAKHIMPUR,307,BIHPURIA,2640,BADATI JAMUGURI,107161,26.972361,93.963162,BADATI JAMUGURI,1
ASSAM,18,LAKHIMPUR,307,BIHPURIA,2640,BAHGORAH DHUNAGURI,107162,26.999901,93.994512,BAHGORAH DHUNAGURI,1
ASSAM,18,LAKHIMPUR,307,BIHPURIA,2640,BIHPURIA,107163,27.007781,93.917762,BIHPURIA,1
ASSAM,18,LAKHIMPUR,307,BIHPURIA,2640,PUB-DIKRONG,107164,27.013372,93.962841,PUB-DIKRONG,1
ASSAM,18,CACHAR,316,BINNAKANDI,2510,Dilkush,104382,24.78521,93.02594,Dilkush,1
ASSAM,18,CACHAR,316,BINNAKANDI,2510,Binnakandi,104378,24.78831,92.99959,Binnakandi,1
ASSAM,18,CACHAR,316,BINNAKANDI,2510,Pabda,104384,24.75828,93.0014,Pabda,1
ASSAM,18,CACHAR,316,BINNAKANDI,2510,Binnakandi bagan,104379,24.75803,92.98716,Binnakandi bagan,1
ASSAM,18,CACHAR,316,BINNAKANDI,2510,Boali chenjur,104380,24.69533,92.98508,Boali chenjur,1
ASSAM,18,CACHAR,316,BINNAKANDI,2510,Chotamamda,104381,24.76555,92.97397,Chotamamda,1
ASSAM,18,CACHAR,316,BINNAKANDI,2510,Kaptanpur GP,104383,24.76771,92.93014,Kaptanpur GP,1
ASSAM,18,CACHAR,316,BINNAKANDI,2510,Singerbond GP,104386,24.79341,92.95103,Singerbond GP,1
ASSAM,18,CACHAR,316,BINNAKANDI,2510,Rupaibali,104385,24.78767,92.91562,Rupaibali,1
ASSAM,18,KAMRUP,321,BOKO,2601,10 NO DAKHIN BOKO,105384,25.97861,91.235,10 NO DAKHIN BOKO,1
ASSAM,18,KAMRUP,321,BOKO,2601,DAKHIN LUKI,105387,25.87444,91.0975,DAKHIN LUKI,1
ASSAM,18,KAMRUP,321,BOKO,2601,DAKHIN PASCHIM BOKO,105386,25.96833,91.22333,DAKHIN PASCHIM BOKO,1
ASSAM,18,KAMRUP,321,BOKO,2601,DAKHIN PASCHIM LUKI,105393,25.93472,91.07917,DAKHIN PASCHIM LUKI,1
