State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase,population
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ALOOR,NZ2213,18.7701,78.2201,ALOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ALOOR,NZ2051,18.807806,78.197611,ALOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ALOOR,NZ2041,18.82376,78.16299,ALOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,AMDAPOOR,NZ2044,18.835617,78.273661,AMDAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,AMDAPOOR,NZ2154,18.8356166667,78.2736611111,AMDAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ANKAPOOR,NZ2023,18.7185,78.281028,ANKAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ANKAPOOR,NZ2001,18.774722,78.298333,ANKAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ANKAPOOR,NZ2002,18.7925,78.286111,ANKAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ANKAPOOR,NZ2016,18.783833,78.300444,ANKAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ANKAPOOR,NZ2055,18.787433,78.292583,ANKAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ANKAPOOR,NZ2135,18.7644,78.25778,ANKAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,ANKAPOOR,NZ2125,18.7493,78.30415,ANKAPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,CHEPOOR,NZ2192,18.79583,78.3527,CHEPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,CHEPOOR,NZ2191,18.7895833333,78.32825,CHEPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,CHEPOOR,NZ2178,18.84103,78.32862,CHEPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,CHEPOOR,NZ2052,18.809475,78.392269,CHEPOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,FATHEPUR,NZ2056,18.871092,78.340861,FATHEPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,GOVINDPET,NZ2160,18.7319,78.3667,GOVINDPET,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,GOVINDPET,NZ2112,18.764861,78.395583,GOVINDPET,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,KOMANPALLY,NZ2005,18.891389,78.348342,KOMANPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,ARMUR,5418,MACHERLA,NZ2030,18.87647,78.15,MACHERLA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BALKONDA,5419,BALKONDA,NZ2175,18.9097,78.375,BALKONDA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BALKONDA,5419,BODEPALLY,NZ2157,18.8792,78.427778,BODEPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BALKONDA,5419,BODEPALLY,NZ2161,18.8792,78.427778,BODEPALLY,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BALKONDA,5419,BUSSAPUR,NZ2146,18.94798,78.40308,BUSSAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BALKONDA,5419,BUSSAPUR,NZ2100,18.96925,78.357583,BUSSAPUR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BALKONDA,5419,CHAKIRYAL,AD2171,19.03945,78.40615,CHAKIRYAL,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BALKONDA,5419,CHAKIRYAL,AD2113,19.01222,78.3801,CHAKIRYAL,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BALKONDA,5419,VELKATOOR,NZ2107,18.908889,78.491111,VELKATOOR,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BANSWADA,5420,BANSWADA,NZ2204,18.42662,77.87364,BANSWADA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BANSWADA,5420,BANSWADA,NZ2183,18.40055,77.9166,BANSWADA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BANSWADA,5420,BANSWADA,NZ2010,18.37916,77.87888,BANSWADA,9,12,
ANDHRA PRADESH,28,NIZAMABAD,533,BANSWADA,5420,CH.RAMPUR,NZ2084,18.477772,77.869164,CH.RAMPUR,9,12,
