balijuri,15
bamuni,500
barhampur,174
chapanala,121
puranigudam,1766
sutargaon,4821
uriagaon,500
amlakhi,2996
bhomoraguri,3274
bilatia,582
dhaniabhati,7201
dhupaguri,5201
kadomoni,4666
kandhulimari,4203
katahguri,4930
rampur satra,4392
saharia,2324
sologuri,2807
tuktuki,5107
upar domdomia,2188
baluhundar,664
bhalukmari,1027
bordolong,2066
dhalpukhuri,1573
farmapar,2360
kumurakata,421
lankabheta,827
laskarpathar,2333
milikbosti,3084
nandapur,400
padumpukhuri,1272
aibheti,530
hatijujuwa,2592
jamuguri kujidah,2269
kakomari,2461
maj jajori,1917
niz hatichung,967
raidongia,47
bhakatgaon,4606
ashinagar,1169
barphuti,671
barpukhuri,8318
dimarupar,1777
golaghatia basti,9809
hayang basti,895
hindu block,2508
islam nagar,2138
kandhulimari,4203
pub dhaniram pathar,6280
radhanagar,3439
rajbari,1788
balikotia,2877
baralimari furhaniati,3838
jangani kaladuba,1546
kenduguri,5100
herapati,4168
dimaruguri,10235
bhakatgaon,4606
borbheti,3671
kuchamari,214
ambagan,2039
bhatiakhali,1660
kathpara,4738
kawoimari,3570
lailuri,7472
lawkhowa,1995
magurmari,4915
salpara,892
singimari,1822
tubukijarani,2441
bhotai pathori,673
chota haibor,6315
dakarhat,10318
dakhinpat,835
deodhar,2032
pakhimoria,706
tulshi deuri,1611
ghahi,1293
bechamari,5405
borbheti,3671
lalipathar,4837
moiradhaj,4686
niz-dhing,970
