State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,JEHANABAD,235,GHOSHI,1780,ghoshi block,88888,25.163931,85.098401,Ghoshi Block,21,,1953
BIHAR,10,JEHANABAD,235,KAKO,1783,bara,3685000,25.24727,85.097313,Bara,21,,1091
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,rampur,3688300,24.989526,84.95294,Rampur,21,,670
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,sumera,3691900,25.105469,85.05339,Sumera,21,,10229
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,jhunathi,3699700,25.210888,84.885902,Jhunathi,21,,6278
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,kansua,3699701,25.155545,84.839903,Kansua,21,,8681
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,kaswan,3699702,25.201371,84.920228,Kaswan,21,,455
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,lakhapur,3699703,25.239852,84.884084,Lakhapur,21,,916
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,mudhara,3699704,25.069542,84.868997,Mudhara,21,,526
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,narayanpur,3699705,25.068745,84.904675,Narayanpur,21,,823
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,nehalpur,3699706,25.203113,84.909609,Nehalpur,21,,913
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,noawan,3699707,25.175701,84.89204,Noawan,21,,1616
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,pandaul,3699708,25.113743,84.869771,Pandaul,21,,302
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,ratni,3699709,25.151259,84.860544,Ratni,21,,1778
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,sikandarpur,3699710,25.118752,84.884617,Sikandarpur,21,,3145
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,sisamma,3699711,25.141461,84.898804,Sisamma,21,,526
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,sohraiya,3699712,25.183883,84.850361,Sohraiya,21,,5472
BIHAR,10,JEHANABAD,235,RATNI FARIDPUR,1786,uchhta,3699713,25.141976,84.879963,Uchhta,21,,2152
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,dharnai,3706900,25.008386,84.983125,Dharnai,21,,1144
BIHAR,10,JEHANABAD,235,MAKHDUMPUR,1784,dakra,3713500,25.027866,85.014785,Dakra,21,,4000
BIHAR,10,JEHANABAD,235,JEHANABAD,1782,jamuk,3729300,25.236806,84.917738,Jamuk,21,,2571
BIHAR,10,JEHANABAD,235,JEHANABAD,1782,surangapur,3729800,25.269147,84.917366,Surangapur,21,,3145
BIHAR,10,JEHANABAD,235,JEHANABAD,1782,kenari,3730600,25.239826,84.938088,Kenari,21,,2660
BIHAR,10,JEHANABAD,235,JEHANABAD,1782,nauru,3732700,25.175656,84.990427,Nauru,21,,3350
BIHAR,10,JEHANABAD,235,JEHANABAD,1782,pandui,3732800,25.168798,84.958097,Pandui,21,,302
BIHAR,10,JEHANABAD,235,JEHANABAD,1782,mandil,3733000,25.143478,84.961772,Mandil,21,,1315
BIHAR,10,JEHANABAD,235,JEHANABAD,1782,ganwan,3733700,25.152668,84.936403,Ganwan,21,,421
BIHAR,10,JEHANABAD,235,JEHANABAD,1782,amain,3734100,25.176038,84.937902,Amain,21,,1022
