STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
10,203,01013,215989,Kalapani,500,1929,BAGAHA-II,98495,BALMIKI NAGAR
10,203,01013,215990,Bhaisalotan,10703,1929,BAGAHA-II,98495,BALMIKI NAGAR
10,203,01013,215991,Tharhi,2709,1929,BAGAHA-II,98508,LAXMIPUR  RAMPURWA
10,203,01013,215992,Pipra,1771,1929,BAGAHA-II,98508,LAXMIPUR  RAMPURWA
10,203,01013,215993,Kotaraha,788,1929,BAGAHA-II,98508,LAXMIPUR  RAMPURWA
10,203,01013,215994,Rampurwa,4205,1929,BAGAHA-II,98508,LAXMIPUR  RAMPURWA
10,203,01013,215995,Lachhmipur,1993,1929,BAGAHA-II,98508,LAXMIPUR  RAMPURWA
10,203,01013,215996,Daruabari,1672,1929,BAGAHA-II,98514,SANTPUR  SOHRIYA
10,203,01013,215997,Santpur,1552,1929,BAGAHA-II,98514,SANTPUR  SOHRIYA
10,203,01013,215998,Soharia,3301,1929,BAGAHA-II,98514,SANTPUR  SOHRIYA
10,203,01013,215999,Parsauni,4610,1929,BAGAHA-II,98514,SANTPUR  SOHRIYA
10,203,01013,216000,Balgangwa,3800,1929,BAGAHA-II,98508,LAXMIPUR  RAMPURWA
10,203,01013,216001,Jharharwa,2006,1929,BAGAHA-II,98514,SANTPUR  SOHRIYA
10,203,01013,216002,Shiunaha,1520,1929,BAGAHA-II,98501,CHAMPAPUR  GONAULI
10,203,01013,216003,Champapur,2638,1929,BAGAHA-II,98501,CHAMPAPUR  GONAULI
10,203,01013,216004,Narainapur,1682,1929,BAGAHA-II,98501,CHAMPAPUR  GONAULI
10,203,01013,216005,Gonauli,1484,1929,BAGAHA-II,98501,CHAMPAPUR  GONAULI
10,203,01013,216006,Malkauli,1041,1929,BAGAHA-II,98501,CHAMPAPUR  GONAULI
10,203,01013,216007,Gorar,640,1929,BAGAHA-II,98501,CHAMPAPUR  GONAULI
10,203,01013,216008,Satchubanwa,1095,1929,BAGAHA-II,98509,MAHUAWA  KATHARWA
10,203,01013,216009,Pipra,1536,1929,BAGAHA-II,98501,CHAMPAPUR  GONAULI
10,203,01013,216010,Songaharwa,1476,1929,BAGAHA-II,98501,CHAMPAPUR  GONAULI
10,203,01013,216011,Dardari,2291,1929,BAGAHA-II,98511,NAURANGIYA  DARDRI
10,203,01013,216012,Misraulia,2094,1929,BAGAHA-II,98511,NAURANGIYA  DARDRI
10,203,01013,216013,Kotraha,1148,1929,BAGAHA-II,98511,NAURANGIYA  DARDRI
10,203,01013,216014,Naurangiya,3058,1929,BAGAHA-II,98511,NAURANGIYA  DARDRI
10,203,01013,216015,Kerai,998,1929,BAGAHA-II,98511,NAURANGIYA  DARDRI
10,203,01013,216016,Berai,1123,1929,BAGAHA-II,98511,NAURANGIYA  DARDRI
10,203,01013,216017,Ghurauli,1640,1929,BAGAHA-II,98511,NAURANGIYA  DARDRI
10,203,01013,216018,Amhat,980,1929,BAGAHA-II,98509,MAHUAWA  KATHARWA
10,203,01013,216019,Mohna,3415,1929,BAGAHA-II,98496,BALUA  CHHATRAUL
10,203,01013,216020,Matiaria,1449,1929,BAGAHA-II,98509,MAHUAWA  KATHARWA
10,203,01013,216021,Amwa,1941,1929,BAGAHA-II,98509,MAHUAWA  KATHARWA
10,203,01013,216022,Katharwa,962,1929,BAGAHA-II,98509,MAHUAWA  KATHARWA
10,203,01013,216023,Dewtaha,877,1929,BAGAHA-II,98509,MAHUAWA  KATHARWA
10,203,01013,216024,Mahuawa,992,1929,BAGAHA-II,98509,MAHUAWA  KATHARWA
10,203,01013,216025,Bankatwa,1023,1929,BAGAHA-II,98509,MAHUAWA  KATHARWA
10,203,01013,216026,Semra,1605,1929,BAGAHA-II,98509,MAHUAWA  KATHARWA
10,203,01013,216027,Harnatanr,3967,1929,BAGAHA-II,98505,HARNA TANR
10,203,01013,216028,Mahdewa,1621,1929,BAGAHA-II,98505,HARNA TANR
10,203,01013,216029,Bairiya Kalan,2192,1929,BAGAHA-II,98505,HARNA TANR
10,203,01013,216030,Bairiya Khurd,2567,1929,BAGAHA-II,98505,HARNA TANR
10,203,01013,216031,Chhatraul,2633,1929,BAGAHA-II,98496,BALUA  CHHATRAUL
10,203,01013,216032,Garkatti,1157,1929,BAGAHA-II,98498,BHARCHHI
10,203,01013,216033,Jarar,2768,1929,BAGAHA-II,98498,BHARCHHI
10,203,01013,216034,Sinagahi,269,1929,BAGAHA-II,98498,BHARCHHI
