STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_na
10,218,01229,231281,Jagdishpur,1336,2120,NAUTAN,101400,MURARPATTI
10,218,01229,231282,Dewan Chak,527,2120,NAUTAN,101400,MURARPATTI
10,218,01229,231283,Kilpur,1388,2120,NAUTAN,101400,MURARPATTI
10,218,01229,231284,Qadir Chak,676,2120,NAUTAN,101400,MURARPATTI
10,218,01229,231285,Siswa,1039,2120,NAUTAN,101400,MURARPATTI
10,218,01229,231286,Basdewa,1186,2120,NAUTAN,101400,MURARPATTI
10,218,01229,231287,Bishunpura,1467,2120,NAUTAN,101398,KHAP BANAKAT
10,218,01229,231288,Tali,608,2120,NAUTAN,101398,KHAP BANAKAT
10,218,01229,231289,Baraipatti,1819,2120,NAUTAN,101400,MURARPATTI
10,218,01229,231290,Murarpatti,2487,2120,NAUTAN,101400,MURARPATTI
10,218,01229,231291,Rampur,2056,2120,NAUTAN,101402,NAUTAN
10,218,01229,231292,Nautan,7250,2120,NAUTAN,101402,NAUTAN
10,218,01229,231293,Kurmauta,2047,2120,NAUTAN,101402,NAUTAN
10,218,01229,231294,Gandharpa,1422,2120,NAUTAN,101398,KHAP BANAKAT
10,218,01229,231295,Khap Bankat,6204,2120,NAUTAN,101398,KHAP BANAKAT
10,218,01229,231296,Khalwa,3128,2120,NAUTAN,101397,KHALAWA
10,218,01229,231297,Ramgarh,2792,2120,NAUTAN,101401,NARAKATIA
10,218,01229,231298,Sagra,1400,2120,NAUTAN,101401,NARAKATIA
10,218,01229,231299,Narkatia,2755,2120,NAUTAN,101401,NARAKATIA
10,218,01229,231300,Pipra,1284,2120,NAUTAN,101401,NARAKATIA
10,218,01229,231301,Bara Shikuara,252,2120,NAUTAN,101401,NARAKATIA
10,218,01229,231302,Marachhi,788,2120,NAUTAN,101401,NARAKATIA
10,218,01229,231303,Shikuara,1575,2120,NAUTAN,101403,SEMARIA
10,218,01229,231304,Galimapur,1342,2120,NAUTAN,101403,SEMARIA
10,218,01229,231305,Semaria,6177,2120,NAUTAN,101403,SEMARIA
10,218,01229,231306,Rahimpur,1081,2120,NAUTAN,101403,SEMARIA
10,218,01229,231307,Balua,263,2120,NAUTAN,101397,KHALAWA
10,218,01229,231308,Balwa,1436,2120,NAUTAN,101397,KHALAWA
10,218,01229,231309,Semra Buzurg,1633,2120,NAUTAN,101397,KHALAWA
10,218,01229,231310,Semra Khurd,686,2120,NAUTAN,101397,KHALAWA
10,218,01229,231311,Narayanpur,1124,2120,NAUTAN,101397,KHALAWA
10,218,01229,231312,Misrauli khas,687,2120,NAUTAN,101397,KHALAWA
10,218,01229,231313,Khap Misrauli,1009,2120,NAUTAN,101399,MATHIA
10,218,01229,231314,Tirmanpur,1033,2120,NAUTAN,101397,KHALAWA
10,218,01229,231315,Partappur,355,2120,NAUTAN,101397,KHALAWA
10,218,01229,231316,Mathia,3369,2120,NAUTAN,101399,MATHIA
10,218,01229,231317,Shahpur Misrauli,1557,2120,NAUTAN,101399,MATHIA
10,218,01229,231318,Shahpur,1566,2120,NAUTAN,101399,MATHIA
10,218,01229,231319,Misir Chak,1138,2120,NAUTAN,101399,MATHIA
10,218,01229,231320,Harpur,1023,2120,NAUTAN,101399,MATHIA
10,218,01229,231321,Kilpur,1385,2120,NAUTAN,101399,MATHIA
10,218,01229,231322,Gamhirpur,5789,2120,NAUTAN,101396,GAMBHIRPUR
10,218,01229,231323,Bishambharpur,700,2120,NAUTAN,101395,ANGOUTA
10,218,01229,231324,Agaunta,4042,2120,NAUTAN,101395,ANGOUTA
10,218,01229,231325,Gobardhana,500,2120,NAUTAN,101395,ANGOUTA
10,218,01229,231326,Hathaunji,3748,2120,NAUTAN,101395,ANGOUTA
10,218,01229,231327,Narayanpur,4085,2120,NAUTAN,101396,GAMBHIRPUR
10,218,01230,231328,Siari,5536,2124,SIWAN,101467,SIARI
10,218,01230,231329,Mura,1167,2124,SIWAN,101463,PITHAURI
10,218,01230,231330,Aghaila,1027,2124,SIWAN,101463,PITHAURI
10,218,01230,231331,Pithauri,2174,2124,SIWAN,101463,PITHAURI
