State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,basopatti block,88888,26.56346,86.001,BASOPATTI BLOCK,21,24424
BIHAR,10,MADHUBANI,207,JAINAGAR,1855,barahi,88888,26.56472,86.09757,BARAHI,21,10320
BIHAR,10,MADHUBANI,207,JAINAGAR,1855,block h.q.,88888,26.59579,86.1357,BLOCK H.Q.,21,2226
BIHAR,10,MADHUBANI,207,KHAJAULI,1858,khajauli block,88888,26.47985,86.1527,Khajauli Block,21,13846
BIHAR,10,MADHUBANI,207,LADANIA,1859,ladania block,88888,26.61395,86.31754,LADANIA BLOCK,21,1120
BIHAR,10,MADHUBANI,207,MADHWAPUR,1865,block,1080,26.601117,85.843117,Block,21,2226
BIHAR,10,MADHUBANI,207,LAUKAHA (KHUTAUNA),1861,khutauna block,1085,26.50623,86.39867,KHUTAUNA BLOCK,21,12000
BIHAR,10,MADHUBANI,207,KALUAHI,1857,kaluahi block,1090,26.46234,86.07181,KALUAHI BLOCK,21,12000
BIHAR,10,MADHUBANI,207,MADHUBANI,1864,block,1093,26.37923,86.0168,Block,21,2226
BIHAR,10,MADHUBANI,207,LAKHNAUR,1860,lakhanur block,1099,26.20512,86.30839,Lakhanur Block,21,3120
BIHAR,10,MADHUBANI,207,MADHEPUR,1863,madhepur block,1100,26.18101,86.3792,Madhepur Block,21,2973
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,arghawa,94630,26.50782,86.01444,ARGHAWA,21,2951
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,basopatti  east,94631,26.5754,86.00866,BASOPATTI  EAST,21,24424
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,basopatti west,94632,26.56162,86.00637,BASOPATTI WEST,21,6125
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,birpur,94633,26.58673,86.04467,BIRPUR,21,16080
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,chatauni,94634,26.63488,86.05596,CHATAUNI,21,1688
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,damu,94635,26.54944,86.00191,DAMU,21,294
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,ghorbanki,94636,26.56824,86.04823,GHORBANKI,21,8732
BIHAR,10,MADHUBANI,207,BASOPATTI,1850,hattapur parsa,94637,26.55878,86.02319,HATTAPUR PARSA,21,7921
