State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,GAYA,238,BARACHATTI,1735,block gp,88888,24.502877,85.017494,BLOCK GP,21,6109
BIHAR,10,GAYA,238,SHERGHATTY,1752,block,88888,24.573461,84.803313,BLOCK,21,3579
BIHAR,10,GAYA,238,AMAS,1732,rampur,3967200,24.623924,84.632321,RAMPUR,21,12066
BIHAR,10,GAYA,238,DOBHI,1738,angara,3971800,24.561917,84.902441,ANGARA,21,7680
BIHAR,10,GAYA,238,TEKARI,1754,mau,3975200,24.994382,84.812651,MAU,21,12066
BIHAR,10,GAYA,238,TEKARI,1754,jalalpur,3975700,24.926762,84.836297,JALALPUR,21,412
BIHAR,10,GAYA,238,TEKARI,1754,sanda,3976200,25.060721,84.814024,SANDA,21,3042
BIHAR,10,GAYA,238,TEKARI,1754,chaita,3977100,25.010017,84.844666,CHAITA,21,1379
BIHAR,10,GAYA,238,TEKARI,1754,makhdumpur,3977400,25.009241,84.861188,MAKHDUMPUR,21,12066
BIHAR,10,GAYA,238,TEKARI,1754,kespa,3979700,25.039261,84.857968,KESPA,21,1625
BIHAR,10,GAYA,238,TEKARI,1754,noni,3981000,24.990103,84.878805,NONI,21,9942
BIHAR,10,GAYA,238,TEKARI,1754,pura,3982100,24.950461,84.895499,PURA,21,2240
BIHAR,10,GAYA,238,BARACHATTI,1735,bara,3983500,24.497654,85.017539,BARA,21,273
BIHAR,10,GAYA,238,TEKARI,1754,dihura,3983700,24.995043,84.836683,DIHURA,21,1044
BIHAR,10,GAYA,238,TEKARI,1754,amakuwn,3984100,24.977133,84.846125,AMAKUWN,21,31
BIHAR,10,GAYA,238,TEKARI,1754,law,3984600,24.948165,84.873441,LAW,21,7000
BIHAR,10,GAYA,238,SHERGHATTY,1752,gopalpur,3985200,24.561449,84.838251,GOPALPUR,21,3651
BIHAR,10,GAYA,238,TEKARI,1754,simuora,3985500,24.965907,84.825547,SIMUORA,21,3793
BIHAR,10,GAYA,238,TEKARI,1754,chhathawan,3986500,24.947153,84.803511,Chhathawan,21,5568
BIHAR,10,GAYA,238,TEKARI,1754,khanetu,3986700,24.866425,84.857583,KHANETU,21,6109
BIHAR,10,GAYA,238,TEKARI,1754,mahamana,3987000,24.932561,84.877261,MAHAMANA,21,5858
BIHAR,10,GAYA,238,TEKARI,1754,rupaspur,3987200,25.031328,84.873633,RUPASPUR,21,12066
BIHAR,10,GAYA,238,TEKARI,1754,paluhar,3987300,24.921936,84.820933,PALUHAR,21,3651
BIHAR,10,GAYA,238,TEKARI,1754,shivnagar,3987900,24.917266,84.851468,SHIVNAGAR,21,1202
BIHAR,10,GAYA,238,TEKARI,1754,nepa,3989600,24.892235,84.878333,NEPA,21,459
BIHAR,10,GAYA,238,TEKARI,1754,dighara,3990300,24.901385,84.924874,DIGHARA,21,323
BIHAR,10,GAYA,238,TEKARI,1754,bhori,3990500,24.922403,84.90715,BHORI,21,273
BIHAR,10,GAYA,238,TEKARI,1754,musi,3990600,24.942989,84.911206,MUSI,21,3793
BIHAR,10,GAYA,238,SHERGHATTY,1752,bela,3993800,24.627631,84.869911,BELA,21,1317
BIHAR,10,GAYA,238,KHIZARSARAI,1745,jamuawna,4002700,25.056289,85.159943,JAMUAWNA,21,159
BIHAR,10,GAYA,238,KHIZARSARAI,1745,bihta,4003100,24.990288,85.189056,BIHTA,21,474
BIHAR,10,GAYA,238,KHIZARSARAI,1745,hathiawan,4003600,25.055104,85.139333,HATHIAWAN,21,7411
BIHAR,10,GAYA,238,KHIZARSARAI,1745,kurwa,4006100,25.011943,85.106696,KURWA,21,1695
BIHAR,10,GAYA,238,KHIZARSARAI,1745,nawadiha,4007000,24.994893,85.107876,NAWADIHA,21,900
BIHAR,10,GAYA,238,KHIZARSARAI,1745,lodipur,4007300,24.974456,85.120522,LODIPUR,21,6109
BIHAR,10,GAYA,238,KHIZARSARAI,1745,raunia,4007400,24.974738,85.099749,RAUNIA,21,31
BIHAR,10,GAYA,238,KHIZARSARAI,1745,siswar,4007800,24.948398,85.135733,SISWAR,21,323
BIHAR,10,GAYA,238,KHIZARSARAI,1745,khizarsarai,4009100,24.966957,85.092856,KHIZARSARAI,21,10061
BIHAR,10,GAYA,238,KHIZARSARAI,1745,chiraili,4009500,24.940188,85.075872,CHIRAILI,21,1379
BIHAR,10,GAYA,238,KHIZARSARAI,1745,katlupur,4009600,24.930467,85.088274,KATLUPUR,21,12066
BIHAR,10,GAYA,238,KHIZARSARAI,1745,horwan,4009900,24.934117,85.108101,HORWAN,21,1695
BIHAR,10,GAYA,238,KHIZARSARAI,1745,aimachaoki,4010500,24.920185,85.068963,AIMACHAOKI,21,5858
BIHAR,10,GAYA,238,KHIZARSARAI,1745,uchauli,4011200,24.891536,85.048578,UCHAULI,21,912
BIHAR,10,GAYA,238,KHIZARSARAI,1745,hemara,4012400,25.008112,85.200155,HEMARA,21,3793
BIHAR,10,GAYA,238,KHIZARSARAI,1745,sarwahda,4013800,25.008656,85.221387,sarwahda,21,812
BIHAR,10,GAYA,238,DOBHI,1738,kharati,4020200,24.473713,84.918115,KHARATI,21,10061
BIHAR,10,GAYA,238,MANPUR,1747,shadipur,4030500,24.85409,85.03794,shadipur,21,12066
BIHAR,10,GAYA,238,MANPUR,1747,gere,4030800,24.812112,85.052614,gere,21,6109
BIHAR,10,GAYA,238,MANPUR,1747,sanaut,4031200,24.832278,85.084877,sanaut,21,1660
BIHAR,10,GAYA,238,MANPUR,1747,usari,4031400,24.831264,85.049512,usari,21,323
BIHAR,10,GAYA,238,MANPUR,1747,nanauk,4032000,24.874111,85.063451,nanauk,21,1660
BIHAR,10,GAYA,238,MANPUR,1747,bhore,4032700,24.856098,85.100932,bhore,21,273
BIHAR,10,GAYA,238,DOBHI,1738,nima,4033400,24.540959,84.956745,NIMA,21,8199
BIHAR,10,GAYA,238,MANPUR,1747,lakhanpur,4034200,24.79906,85.062199,lakhanpur,21,1188
BIHAR,10,GAYA,238,MANPUR,1747,kaiya,4034700,24.792914,85.099626,kaiya,21,211
BIHAR,10,GAYA,238,MANPUR,1747,sohaipur,4035800,24.753537,85.050838,sohaipur,21,6109
BIHAR,10,GAYA,238,MANPUR,1747,baragandhar,4036300,24.780736,85.04266,baragandhar,21,9942
BIHAR,10,GAYA,238,MANPUR,1747,nauranga,4036800,24.789139,85.03083,nauranga,21,812
BIHAR,10,GAYA,238,MANPUR,1747,bhadeja,4037200,24.759249,85.028035,bhadeja,21,3793
BIHAR,10,GAYA,238,GAYA TOWN,1741,kesaru dharampur,4038000,24.853199,84.942339,KESARU DHARAMPUR,21,12066
BIHAR,10,GAYA,238,GAYA TOWN,1741,anrwan,4038300,24.785488,84.92599,ANRWAN,21,161
BIHAR,10,GAYA,238,GAYA TOWN,1741,ghutiya,4039300,24.790786,84.952168,GHUTIYA,21,103
BIHAR,10,GAYA,238,GAYA TOWN,1741,kujap,4039500,24.816606,84.971117,KUJAP,21,6109
BIHAR,10,GAYA,238,GAYA TOWN,1741,kujapi,4039600,24.820471,84.984398,KUJAPI,21,6109
BIHAR,10,GAYA,238,GAYA TOWN,1741,kandi,4039900,24.840824,85.014189,KANDI,21,1660
BIHAR,10,GAYA,238,GAYA TOWN,1741,churi,4040700,24.83117,84.931682,CHURI,21,1379
BIHAR,10,GAYA,238,GAYA TOWN,1741,korma,4042300,24.85205,84.981998,KORMA,21,3104
BIHAR,10,GAYA,238,GAYA TOWN,1741,amraha,4042800,24.872481,84.97708,AMRAHA,21,5858
BIHAR,10,GAYA,238,GAYA TOWN,1741,bara,4042900,24.873768,84.990481,BARA,21,273
BIHAR,10,GAYA,238,GAYA TOWN,1741,chakand,4043300,24.890602,84.973197,CHAKAND,21,161
BIHAR,10,GAYA,238,GAYA TOWN,1741,madanbigha,4043800,24.891628,85.015697,MADANBIGHA,21,474
BIHAR,10,GAYA,238,GAYA TOWN,1741,rasalpur,4044300,24.863975,85.010567,RASALPUR,21,10968
BIHAR,10,GAYA,238,GAYA TOWN,1741,khiryawan,4044700,24.739543,85.009276,KHIRYAWAN,21,3843
BIHAR,10,GAYA,238,GAYA TOWN,1741,naili,4045000,24.762596,84.993019,NAILI,21,900
BIHAR,10,GAYA,238,GAYA TOWN,1741,dhansir,4045400,24.768816,84.937672,DHANSIR,21,3793
BIHAR,10,GAYA,238,AMAS,1732,mahuawan,4082500,24.585842,84.795399,MAHUAWAN,21,12066
BIHAR,10,GAYA,238,AMAS,1732,akauna,4082800,24.571636,84.788404,AKAUNA,21,8358
BIHAR,10,GAYA,238,AMAS,1732,kalwan,4084300,24.575226,84.736004,KALWAN,21,916
BIHAR,10,GAYA,238,AMAS,1732,karamdih,4084800,24.585529,84.728107,KARAMDIH,21,10061
BIHAR,10,GAYA,238,AMAS,1732,sawn kala,4086600,24.616121,84.696865,SAWN KALA,21,846
BIHAR,10,GAYA,238,AMAS,1732,jhari,4088000,24.610662,84.644447,JHARI,21,159
BIHAR,10,GAYA,238,AMAS,1732,barki chilmi,4090800,24.629854,84.644337,BARKI CHILMI,21,900
BIHAR,10,GAYA,238,AMAS,1732,amas,4091200,24.62486,84.659786,AMAS,21,273
BIHAR,10,GAYA,238,BARACHATTI,1735,jhajh,4091600,24.512922,84.971051,JHAJH,21,10061
BIHAR,10,GAYA,238,DOBHI,1738,nawadih,4096700,24.600124,84.913105,NAWADIH,21,900
BIHAR,10,GAYA,238,SHERGHATTY,1752,shrirampur,4133500,24.531527,84.754983,SHRIRAMPUR,21,12066
BIHAR,10,GAYA,238,SHERGHATTY,1752,chanpi,4134800,24.536934,84.780625,CHANPI,21,1025
BIHAR,10,GAYA,238,SHERGHATTY,1752,cherki,4135700,24.677294,84.876621,CHERKI,21,1379
BIHAR,10,GAYA,238,SHERGHATTY,1752,kachaudi,4137500,24.606757,84.879427,KACHAUDI,21,1660
BIHAR,10,GAYA,238,SHERGHATTY,1752,chitab kala,4138300,24.605333,84.825944,CHITAB KALA,21,846
BIHAR,10,GAYA,238,SHERGHATTY,1752,bar,4139200,24.575578,84.832574,BAR,21,273
BIHAR,10,GAYA,238,SHERGHATTY,1752,dhap chiraiyan,4140600,24.543196,84.830959,DHAP CHIRAIYAN,21,159
BIHAR,10,GAYA,238,DOBHI,1738,patti,4143600,24.501637,84.891325,PATTI,21,5858
BIHAR,10,GAYA,238,DOBHI,1738,kurmawan,4144800,24.491444,84.941989,KURMAWAN,21,5858
BIHAR,10,GAYA,238,DOBHI,1738,nadarpur,4144900,24.448958,84.924657,NADARPUR,21,2291
BIHAR,10,GAYA,238,DOBHI,1738,baree,4145800,24.583383,84.958713,BAREE,21,273
BIHAR,10,GAYA,238,DOBHI,1738,bazaura,4150700,24.563401,84.937674,BAZAURA,21,1044
BIHAR,10,GAYA,238,DOBHI,1738,dobhi,4151000,24.534592,84.909929,DOBHI,21,314
BIHAR,10,GAYA,238,DOBHI,1738,kusa bija,4151200,24.529282,84.896743,KUSA BIJA,21,474
BIHAR,10,GAYA,238,DOBHI,1738,panchratan,4151700,24.494803,84.860415,PANCHRATAN,21,5858
BIHAR,10,GAYA,238,DOBHI,1738,ghoraghat,4154900,24.494803,84.860415,GHORAGHAT,21,7000
BIHAR,10,GAYA,238,BARACHATTI,1735,bhalua,4158000,24.484649,85.111256,BHALUA,21,1044
BIHAR,10,GAYA,238,BARACHATTI,1735,binda,4234800,24.530532,84.981458,BINDA,21,8199
BIHAR,10,GAYA,238,BARACHATTI,1735,sharwan,4235900,24.512922,84.971051,SHARWAN,21,161
BIHAR,10,GAYA,238,BARACHATTI,1735,bajarkar,4236600,24.511048,84.977403,BAJARKAR,21,846
BIHAR,10,GAYA,238,BARACHATTI,1735,rohi,4239200,24.501676,85.004869,ROHI,21,273
BIHAR,10,GAYA,238,BARACHATTI,1735,biwi pesara,4240900,24.496092,84.963777,BIWI PESARA,21,1044
BIHAR,10,GAYA,238,BARACHATTI,1735,patluka,4241700,24.496092,84.963777,PATLUKA,21,5568
BIHAR,10,GAYA,238,BARACHATTI,1735,diwaniya,4245100,24.512922,84.971051,DIWANIYA,21,3104
BIHAR,10,GAYA,238,BARACHATTI,1735,bumer,4246100,24.457991,85.061383,BUMER,21,6109
BIHAR,10,GAYA,238,BARACHATTI,1735,jaigir,4246500,24.498318,85.030961,JAIGIR,21,1322
BIHAR,10,GAYA,238,BARACHATTI,1735,kahudag,4246800,24.499333,85.028429,KAHUDAG,21,1695
BIHAR,10,GAYA,238,KONCH                                             ,1746,adai,3969000,24.875029,84.787181,ADAI,2,1025
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,aganda,3997200,24.953736,85.012050,AGANDA,2,9942
BIHAR,10,GAYA,238,PARAIYA                                           ,1751,ajmatganj,4051900,24.828392,84.846189,AJMATGANJ,2,3843
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,akhtu kachanpur,4001600,24.904809,84.980810,AKHTU KACHANPUR,2,6109
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,ambatari,4233300,24.582251,85.199791,AMBATARI,2,12066
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,amethi,4185000,24.852952,85.241804,AMETHI,2,5858
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,amkola,4223300,24.573704,85.083071,AMKOLA,2,357
BIHAR,10,GAYA,238,KONCH                                             ,1746,anti,3970600,24.884646,84.695363,ANTI,2,1660
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,antiya,4158300,24.697364,84.933168,ANTIYA,2,187
BIHAR,10,GAYA,238,MOHRA                                             ,1749,arai,4023100,24.919134,85.357030,ARAI,2,10061
BIHAR,10,GAYA,238,TANKUPPA                                          ,1753,aropur,4172200,24.729058,85.145459,AROPUR,2,12066
BIHAR,10,GAYA,238,IMAMGANJ                                          ,1744,babhandih,4085800,24.458166,84.596658,BABHANDIH,2,1025
BIHAR,10,GAYA,238,PARAIYA                                           ,1751,baghai,4046500,24.711516,84.838614,BAGHAI,2,474
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,bagula,4222400,24.542751,85.052891,BAGULA,2,6109
BIHAR,10,GAYA,238,BANKEY BAZAR                                      ,1734,baital,4100900,24.510580,84.686909,BAITAL,2,273
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,bakraur,4157700,24.692830,85.010585,Bakraur,2,2291
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,bara,4163200,24.629530,84.953366,BARA,2,273
BIHAR,10,GAYA,238,FATEHPUR                                          ,1740,bara,4201900,24.673538,85.310812,BARA,2,273
BIHAR,10,GAYA,238,BANKEY BAZAR                                      ,1734,barheta,4094700,24.510580,84.686909,BARHETA,2,7000
BIHAR,10,GAYA,238,GURARU                                            ,1742,barorah,4056900,24.799241,84.745681,Barorah,2,273
BIHAR,10,GAYA,238,TANKUPPA                                          ,1753,barsauna,4169200,24.735762,85.076108,BARSAUNA,2,3042
BIHAR,10,GAYA,238,TANKUPPA                                          ,1753,basapipra,4175500,24.665036,85.120225,BASAPIPRA,2,2291
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,basari,4166000,24.670451,85.028571,Basari,2,7000
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,bazidpur,3993600,24.970193,84.957270,BAZIDPUR,2,2291
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,belaganj,3993800,24.971295,84.973047,BELAGANJ,2,9277
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,belarhi,3993300,24.961491,84.932792,Belarhi,2,459
BIHAR,10,GAYA,238,GURUA                                             ,1743,belauti,4077500,24.664412,84.826684,BELAUTI,2,5398
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,bhalua -i,3995700,24.979601,85.020833,BHALUA -I,2,474
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,bhalua-ii,3999600,24.930480,85.024537,BHALUA-II,2,474
BIHAR,10,GAYA,238,DUMARIA                                           ,1739,bhangia,4124900,24.433084,84.398088,bhangia,2,187
BIHAR,10,GAYA,238,FATEHPUR                                          ,1740,bhare,4204500,24.648265,85.244079,BHARE,2,1044
BIHAR,10,GAYA,238,TANKUPPA                                          ,1753,bhitaura,4177100,24.649826,85.144987,BHITAURA,2,1044
BIHAR,10,GAYA,238,DUMARIA                                           ,1739,bhokaha,4128700,24.433084,84.398088,bhokaha,2,6109
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,bichha,4185600,24.849525,85.274421,BICHHA,2,1044
BIHAR,10,GAYA,238,BANKEY BAZAR                                      ,1734,bihargain,4099800,24.565859,84.697123,BIHARGAIN,2,1044
BIHAR,10,GAYA,238,IMAMGANJ                                          ,1744,bikopur,4107500,24.380482,84.532199,BIKOPUR,2,1625
BIHAR,10,GAYA,238,IMAMGANJ                                          ,1744,biraj,4103400,24.351006,84.532156,BIRAJ,2,3843
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,bisunpur,4189200,24.763355,85.206442,BISUNPUR,2,8874
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,bumuar,4221400,24.530532,84.981458,BUMUAR,2,12066
BIHAR,10,GAYA,238,KONCH                                             ,1746,chabura,3973000,24.869541,84.753814,CHABURA,2,1044
BIHAR,10,GAYA,238,TANKUPPA                                          ,1753,chaowar,4174200,24.701067,85.196443,CHAOWAR,2,3880
BIHAR,10,GAYA,238,FATEHPUR                                          ,1740,charokhari garh,4195700,24.580456,85.192838,CHAROKHARI GARH,2,6109
BIHAR,10,GAYA,238,DUMARIA                                           ,1739,chhakarbandha,4121100,24.430740,84.450788,chhakarbandha,2,161
BIHAR,10,GAYA,238,IMAMGANJ                                          ,1744,chhakarbandha,4121100,24.414016,84.599705,CHHAKARBANDHA,2,161
BIHAR,10,GAYA,238,GURUA                                             ,1743,chilor,4073500,24.670457,84.772301,CHILOR,2,900
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,chiraila,4000800,24.931186,84.949470,CHIRAILA,2,3880
BIHAR,10,GAYA,238,ATRI                                              ,1733,choara,4029100,24.969253,85.350466,CHOARA,2,1025
BIHAR,10,GAYA,238,IMAMGANJ                                          ,1744,chuabar,4112900,24.494335,84.607601,CHUABAR,2,6109
BIHAR,10,GAYA,238,GURARU                                            ,1742,dabur,4061500,24.811688,84.774224,Dabur,2,112
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,dakhingawa,4188000,24.799319,85.248048,DAKHINGAWA,2,3880
BIHAR,10,GAYA,238,MOHRA                                             ,1749,dakhshni kajur,4020800,24.876937,85.289998,DAKHSHNI KAJUR,2,187
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,darhara,4216600,24.553525,85.053320,DARHARA,2,123
BIHAR,10,GAYA,238,MOHRA                                             ,1749,dariapur,4021700,24.860896,85.319395,DARIAPUR,2,2291
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,dema,4212500,24.606913,85.055681,DEMA,2,3793
BIHAR,10,GAYA,238,GURARU                                            ,1742,deokali,4058300,24.727187,84.783983,Deokali,2,3793
BIHAR,10,GAYA,238,FATEHPUR                                          ,1740,dhaksni lodhway,4203900,24.599968,85.298667,DHAKSNI LODHWAY,2,1025
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,dhanawan,4160500,24.649307,84.906889,Dhanawan,2,161
BIHAR,10,GAYA,238,FATEHPUR                                          ,1740,dharharakala,4207700,24.581510,85.203416,DHARHARAKALA,2,846
BIHAR,10,GAYA,238,TANKUPPA                                          ,1753,dhiber,4178100,24.677282,85.167689,DHIBER,2,3793
BIHAR,10,GAYA,238,ATRI                                              ,1733,dhusari,4026800,24.852562,85.194039,DHUSARI,2,900
BIHAR,10,GAYA,238,GURARU                                            ,1742,diha,4058600,24.732488,84.782395,Diha,2,912
BIHAR,10,GAYA,238,ATRI                                              ,1733,dihuri,4024400,24.906679,85.136747,DIHURI,2,323
BIHAR,10,GAYA,238,GURUA                                             ,1743,dubba,4074900,24.663047,84.747859,DUBBA,2,474
BIHAR,10,GAYA,238,IMAMGANJ                                          ,1744,dubhal,4044900,24.452463,84.551983,DUBHAL,2,812
BIHAR,10,GAYA,238,FATEHPUR                                          ,1740,dumri chatti,4205600,24.613234,85.227084,DUMRICHHATI,2,5568
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,erki,4229700,24.601372,85.059801,ERKI,2,3793
BIHAR,10,GAYA,238,FATEHPUR                                          ,1740,fatehpur,4204900,24.629893,85.224917,FATEHPUR,2,6109
BIHAR,10,GAYA,238,MOHRA                                             ,1749,gahlor,4020600,24.879429,85.239058,GAHLOR,2,6109
BIHAR,10,GAYA,238,TANKUPPA                                          ,1753,gajadharpur,4172800,24.686952,85.173182,GAJADHARPUR,2,6109
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,gapha,4168400,24.679096,85.079165,GAPHA,2,52
BIHAR,10,GAYA,238,KONCH                                             ,1746,gehaurpur,3964400,24.975555,84.768405,GEHAURPUR,2,12066
BIHAR,10,GAYA,238,GURARU                                            ,1742,ghatera,4057800,24.742466,84.743772,Ghatera,2,6109
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,ghuriawan,4188400,24.832078,85.218287,GHURIAWAN,2,1044
BIHAR,10,GAYA,238,BANKEY BAZAR                                      ,1734,goitha,4096800,24.514172,84.642706,GOITHA,2,6109
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,gopalkera,4206000,24.518116,85.078833,GOPALKERA,2,3651
BIHAR,10,GAYA,238,KONCH                                             ,1746,grari,3965300,25.049681,84.784884,GRARI,2,323
BIHAR,10,GAYA,238,GURARU                                            ,1742,gudru,4056100,24.802382,84.787825,Gudru,2,812
BIHAR,10,GAYA,238,GURUA                                             ,1743,guneri,4067900,24.591461,84.728065,GUNERI,2,6109
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,guriyawan,4231700,24.663164,85.026069,GURIYAWAN,2,1044
BIHAR,10,GAYA,238,GURUA                                             ,1743,gurua,4071700,24.670457,84.772301,GURUA,2,12517
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,illera,4158600,24.702319,84.915440,ILLERA,2,1044
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,irki,4002100,24.922247,85.011806,IRKI,2,323
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,itra,4161700,24.672891,84.921683,ITRA,2,12066
BIHAR,10,GAYA,238,TANKUPPA                                          ,1753,jagarnathpur,4176800,24.633906,85.122778,JAGARNATHPUR,2,6109
BIHAR,10,GAYA,238,FATEHPUR                                          ,1740,jaipur,4208900,24.589354,85.240624,JAIPUR,2,2291
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,jamuawan,4187300,24.810577,85.299525,JAMUAWAN,2,159
BIHAR,10,GAYA,238,MOHRA                                             ,1749,jethion,4019300,24.928941,85.310984,JETHION,2,1322
BIHAR,10,GAYA,238,IMAMGANJ                                          ,1744,jhikatiya,4076300,24.447853,84.581262,JHIKATIYA,2,159
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,jhikatiya,4160200,24.666649,84.889979,JHIKATIYA,2,159
BIHAR,10,GAYA,238,ATRI                                              ,1733,jiri,4024900,24.878651,85.129194,JIRI,2,323
BIHAR,10,GAYA,238,GURUA                                             ,1743,kaaj,4065100,24.609215,84.680364,KAAJ,2,58
BIHAR,10,GAYA,238,KONCH                                             ,1746,kaber,3969200,24.895624,84.755788,KABER,2,6109
BIHAR,10,GAYA,238,DUMARIA                                           ,1739,kachar,4122300,24.432365,84.385632,kachar,2,2004
BIHAR,10,GAYA,238,BODHGAYA                                          ,1737,kanhual,4167600,24.724447,85.045822,KANHAUL,2,2004
BIHAR,10,GAYA,238,GURARU                                            ,1742,kanusi,4062100,24.883791,84.752871,Kanusi,2,1660
BIHAR,10,GAYA,238,PARAIYA                                           ,1751,kapasiya,4047700,24.766551,84.844086,KAPASIYA,2,159
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,karisobha,4190200,24.793209,85.270302,KARISOBHA,2,812
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,karjara,4181300,24.808902,85.160372,KARJARA,2,123
BIHAR,10,GAYA,238,FATEHPUR                                          ,1740,kathautiya kewal,4209200,24.857324,85.203009,KATHAUTIYA KEWAL,2,7000
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,kenardih,4190600,24.763901,85.258671,KENARDIH,2,1927
BIHAR,10,GAYA,238,WAZIRGANJ                                         ,1755,kennar paharpur,4190500,24.739114,85.257361,KENNAR PAHARPUR,2,6109
BIHAR,10,GAYA,238,KONCH                                             ,1746,ker,3964700,24.992204,84.779220,KER,2,6109
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,kewala,4233500,24.519326,85.143871,KEWALA,2,58
BIHAR,10,GAYA,238,KONCH                                             ,1746,khajuri,3966300,24.957347,84.764199,KHAJURI,2,10061
BIHAR,10,GAYA,238,BELAGANJ                                          ,1736,khaneta,3994200,24.991043,84.970404,KHANETA,2,1695
BIHAR,10,GAYA,238,MOHANPUR                                          ,1748,khardih,4220300,24.600358,85.031562,KHARDIH,2,7000
BIHAR,10,GAYA,238,GURUA                                             ,1743,kolauna,4080900,24.672124,84.871488,KOLAUNA,2,1324
BIHAR,10,GAYA,238,DUMARIA                                           ,1739,kolhubar,4130500,24.430740,84.450788,kolhubar,2,2961
