CPSU,State,District,Block,GPs,BLOCK CODE
BSNL,BH,Araria,Araria,30,1624
BSNL,BH,Araria,Forbesganj,32,1626
BSNL,BH,Araria,Palasi,21,1630
BSNL,BH,Araria,Bhargama,16,1625
BSNL,BH,Araria,JOKIHAT                                           ,27,1627
BSNL,BH,Araria,KURSAKANTA                                        ,13,1628
BSNL,BH,Araria,NARPATGANJ                                        ,29,1629
BSNL,BH,Araria,RANIGANJ                                          ,30,1631
BSNL,BH,Araria,SIKTY                                             ,14,1632
BSNL,BH,Arwal,Arwal,15,6505
BSNL,BH,Arwal,KAPRI,19,6507
BSNL,BH,Arwal,Bansi,8,#N/A
BSNL,BH,Arwal,Kaler,15,6506
BSNL,BH,Arwal,Kurtha,11,6509
BSNL,BH,Aurangabad,DAUDNAGAR,15,1635
BSNL,BH,Banka,Amarpur,19,1644
BSNL,BH,Begusarai,BACHHWARA,18,1655
BSNL,BH,Begusarai,BAKHRI,12,1656
BSNL,BH,Begusarai,BALLIA,18,1657
BSNL,BH,Begusarai,Barauni,17,1658
BSNL,BH,Begusarai,Begusarai,25,1659
BSNL,BH,Begusarai,Bhagwanpur,15,1660
BSNL,BH,Begusarai,Birpur,8,1661
BSNL,BH,Begusarai,CHHAURAHI,10,1663
BSNL,BH,Begusarai,CHERIA BARIARPUR,14,1662
BSNL,BH,Begusarai,Dandari,8,1664
BSNL,BH,Begusarai,GADHPURA,9,1665
BSNL,BH,Begusarai,KHODAWANDPUR,8,1666
BSNL,BH,Begusarai,MANSURCHAK,8,1667
BSNL,BH,Begusarai,Matihani,16,1668
BSNL,BH,Begusarai,NAWKOTHI,9,1669
BSNL,BH,Begusarai,SAHEBPUR KAMAL,17,1670
BSNL,BH,Begusarai,SAMHO AKHA KURHA,3,1671
BSNL,BH,Begusarai,Teghra,25,1672
BSNL,BH,Bhagalpur,Bihpur,13,1673
BSNL,BH,Bhagalpur,Gopalpur,9,1675
BSNL,BH,Bhagalpur,ISMAILPUR,5,1677
BSNL,BH,Bhagalpur,Jagdishpur,15,1678
BSNL,BH,Bhagalpur,Kahalgaon,28,1674
BSNL,BH,Bhagalpur,Kharik,13,1679
BSNL,BH,Bhagalpur,NAUGACHHIA,10,1682
BSNL,BH,Bhagalpur,PIRPAINTI,29,1683
BSNL,BH,Bhagalpur,RANGRACHOWK,10,1684
BSNL,BH,Bhagalpur,Sabour,14,1685
BSNL,BH,Bhagalpur,SHAHKUND,19,1686
BSNL,BH,Bhagalpur,Sultanganj,19,1688
BSNL,BH,Bhojpur,Ara,18,1690
BSNL,BH,Bhojpur,Barhara,22,1691
BSNL,BH,Bhojpur,Jagdishpur,21,1678
BSNL,BH,Bhojpur,Koilwar,17,1696
BSNL,BH,Bhojpur,Piro,25,1697
BSNL,BH,Bhojpur,Sahar,15,1698
BSNL,BH,Bhojpur,SHAHPUR,21,1700
BSNL,BH,Bhojpur,Sandesh,11,1699
BSNL,BH,Buxar,Brahmpur,18,1703
BSNL,BH,Buxar,Buxar,16,1704
BSNL,BH,Buxar,CHOUGAIN,5,1707
BSNL,BH,Buxar,CHAUSA,10,1706
