State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,damanwada,155511,20.381751,72.829348,DAMANWADA,2,345
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,daman block,888888,20.394056,72.831776,DAMAN BLOCK,2,18434
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,pariyari,155512,20.378581,72.826831,PARIYARI,2,18434
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,patlara,155513,20.395187,72.848255,PATLARA,2,18434
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,magarwada,155514,20.382015,72.850418,MAGARWADA,2,1091
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,varkund,155515,20.428221,72.848411,VARKUND,2,1091
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,kachigam,155516,20.387777,72.876035,KACHIGAM,2,18434
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,dabhel,155517,20.411036,72.884706,DABHEL,2,4953
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,marwad,155518,20.439355,72.831493,MARWAD,2,3461
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,kadaiya,155519,20.454653,72.85542,KADAIYA,2,18434
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,bhimpore,251775,20.454153,72.860458,BHIMPORE,2,18434
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,kunta,888888,20.423662,72.861449,KUNTA,2,18434
