State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,DAMANWADA,155511,20.381751,72.829348,DAMANWADA,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,DAMAN BLOCK,888888,20.394056,72.831776,DAMAN BLOCK,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,PARIYARI,155512,20.378581,72.826831,PARIYARI,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,PATLARA,155513,20.395187,72.848255,PATLARA,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,MAGARWADA,155514,20.382015,72.850418,MAGARWADA,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,VARKUND,155515,20.428221,72.848411,VARKUND,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,KACHIGAM,155516,20.387777,72.876035,KACHIGAM,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,DABHEL,155517,20.411036,72.884706,DABHEL,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,MARWAD,155518,20.439355,72.831493,MARWAD,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,KADAIYA,155519,20.454653,72.85542,KADAIYA,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,BHIMPORE,251775,20.454153,72.860458,BHIMPORE,2
DAMAN & DIU,25,DAMAN                                             ,495,DAMAN                                             ,4274,KUNTA,888888,20.423662,72.861449,KUNTA,2
DAMAN & DIU,25,DIU                                               ,494,DIU                                               ,4275,Buchad,888888,20.721171,70.88583,Buchad,2
DAMAN & DIU,25,DIU                                               ,494,DIU                                               ,4275,Saudibari,888888,20.72891,70.917962,Saudibari,2
DAMAN & DIU,25,DIU                                               ,494,DIU                                               ,4275,Wankbari,888888,20.716915,70.875181,Wankbari,2
DAMAN & DIU,25,DIU                                               ,494,DIU                                               ,4275,Zolabari,888888,20.725961,70.927446,Zolabari,2
DAMAN & DIU,25,DIU                                               ,494,DIU                                               ,4275,Block HQ,888888,20.712363,70.983213,Block HQ,2
