STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
25,495,3948,524911,Devka,3461,0,none,254339,MARWAD,
25,495,3948,524912,Janivankad,2063,0,none,422,District Panchayat of Daman,
25,495,3948,524913,Varkund,5355,0,none,422,District Panchayat of Daman,
25,495,3948,524914,Ringanwada,4953,0,none,254334,DABHEL,
25,495,3948,524915,Magarwada,6735,0,none,422,District Panchayat of Daman,
25,495,3948,524916,Damanwada (Dama O-De-Cima),1176,0,none,422,District Panchayat of Daman,
25,495,3948,524917,Palhit,345,0,none,254335,DAMANWADA,
25,495,3948,524918,Bhamati,939,0,none,422,District Panchayat of Daman,
25,495,3948,524919,Dholar,1184,0,none,422,District Panchayat of Daman,
25,495,3948,524920,Jampore,875,0,none,422,District Panchayat of Daman,
25,495,3948,524921,Pariari,1891,0,none,422,District Panchayat of Daman,
25,495,3948,524922,Deva Pardi,255,0,none,422,District Panchayat of Daman,
25,495,3948,524923,Naila Pardi,827,0,none,422,District Panchayat of Daman,
25,495,3948,524924,Thana Pardi,1091,0,none,254338,MAGARWADA,
25,495,3948,524925,Zari,1163,0,none,422,District Panchayat of Daman,
25,495,3948,524926,Marwad (CT),7443,0,none,422,District Panchayat of Daman,
25,495,3948,524927,Kadaiya (CT),12717,0,none,422,District Panchayat of Daman,
25,495,3948,524928,Bhimpore (CT),10936,0,none,422,District Panchayat of Daman,
25,495,3948,524929,Dunetha (CT),12470,0,none,422,District Panchayat of Daman,
25,495,3948,524930,Dadhel (CT),52578,0,none,422,District Panchayat of Daman,
25,495,3948,524931,Kachigam (CT),18434,0,none,422,District Panchayat of Daman,
