State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,AMBOLIﾠ,168841,20.14274,73.026445,AMBOLI,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,DADRAﾠ,168842,20.319212,72.966595,DADRA,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,DAPADA,168843,20.188053,73.022885,DAPADA,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,DUDHANIﾠ,168844,20.174332,73.157444,DUDHANI,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,KHANVELﾠ,168845,20.12649,73.06846,KHANVEL,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,KILVANIﾠ,168846,20.295487,73.092987,KILVANI,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,MANDONIﾠ,168847,20.110393,73.14713,MANDONI,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,NAROLIﾠ,168848,20.271615,72.940337,NAROLI,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,RANDHAﾠ,168849,20.311561,73.134156,RANDHA,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,RAKHOLI,255794,20.222195,73.024761,RAKHOLI,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,SAMARVARNI,255795,20.256899,73.007292,SAMARVARNI,2
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,D&NH Block,888888,20.286651,73.000515,D&NH Block,2
