STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
26,496,3949,524932,Demani,3642,0,none,254322,DADRA,
26,496,3949,524933,Tighra,924,0,none,254322,DADRA,
26,496,3949,524934,Vaghchhipa,1083,0,none,254331,SAMARVANI,
26,496,3949,524935,Sili,7646,0,none,254326,KILVANI,
26,496,3949,524936,Morkhal,3568,0,none,254330,RANDHA,
26,496,3949,524937,Nana Randha,1236,0,none,254330,RANDHA,
26,496,3949,524938,Mota Randha,3202,0,none,254330,RANDHA,
26,496,3949,524939,Bonta,3009,0,none,254330,RANDHA,
26,496,3949,524940,Kilavani,1287,0,none,254326,KILVANI,
26,496,3949,524941,Galonda,5395,0,none,254326,KILVANI,
26,496,3949,524942,Athola,4668,0,none,254331,SAMARVANI,
26,496,3949,524943,Dhapsa,444,0,none,254328,NAROLI,
26,496,3949,524944,Kanadi,1042,0,none,254328,NAROLI,
26,496,3949,524945,Kharadpada,3691,0,none,254328,NAROLI,
26,496,3949,524946,Athal,3965,0,none,254328,NAROLI,
26,496,3949,524947,Falandi,1878,0,none,254326,KILVANI,
26,496,3949,524948,Umarkui,4585,0,none,254326,KILVANI,
26,496,3949,524949,Saily,15655,0,none,254329,RAKHOLI,
26,496,3949,524950,Kudacha,1943,0,none,254329,RAKHOLI,
26,496,3949,524951,Karad,5860,0,none,254329,RAKHOLI,
26,496,3949,524952,Vasona,4707,0,none,254323,DAPADA,
26,496,3949,524953,Chinchpada,2510,0,none,254323,DAPADA,
26,496,3949,524954,Luhari,2918,0,none,254328,NAROLI,
26,496,3949,524955,Chikhali,3390,0,none,254323,DAPADA,
26,496,3949,524956,Dapada,5713,0,none,254323,DAPADA,
26,496,3949,524957,Pati,1943,0,none,254323,DAPADA,
26,496,3949,524958,Khadoli,3140,0,none,254321,AMBOLI,
26,496,3949,524959,Surangi,5016,0,none,254323,DAPADA,
26,496,3949,524960,Apti,1655,0,none,254323,DAPADA,
26,496,3949,524961,Velugam,4612,0,none,254321,AMBOLI,
26,496,3949,524962,Amboli,3472,0,none,254321,AMBOLI,
26,496,3949,524963,Bindrabin,1184,0,none,254321,AMBOLI,
26,496,3949,524964,Tinoda,748,0,none,254321,AMBOLI,
26,496,3949,524965,Khanvel,7965,0,none,254325,KHANVEL,
26,496,3949,524966,Umbervarni,1053,0,none,254325,KHANVEL,
26,496,3949,524967,Goratpada,316,0,none,254325,KHANVEL,
26,496,3949,524968,Vaghchauda,357,0,none,254324,DUDHANI,
26,496,3949,524969,Kothar,115,0,none,254324,DUDHANI,
26,496,3949,524970,Medha,467,0,none,254324,DUDHANI,
26,496,3949,524971,Ambabari,450,0,none,254324,DUDHANI,
26,496,3949,524972,Jamalpada,553,0,none,254324,DUDHANI,
26,496,3949,524973,Kauncha,1592,0,none,254324,DUDHANI,
26,496,3949,524974,Dudhani,3979,0,none,254324,DUDHANI,
26,496,3949,524975,Gunsa,1337,0,none,254324,DUDHANI,
26,496,3949,524976,Bildhari,1116,0,none,254324,DUDHANI,
26,496,3949,524977,Ghodbari,726,0,none,254324,DUDHANI,
26,496,3949,524978,Karchond,4688,0,none,254324,DUDHANI,
26,496,3949,524979,Kherarbari,636,0,none,254324,DUDHANI,
26,496,3949,524980,Shelti,3999,0,none,254325,KHANVEL,
26,496,3949,524981,Khutali,2981,0,none,254325,KHANVEL,
26,496,3949,524982,Chauda,1118,0,none,254325,KHANVEL,
26,496,3949,524983,Kala,1341,0,none,254321,AMBOLI,
26,496,3949,524984,Karachgam,2517,0,none,254321,AMBOLI,
26,496,3949,524985,Kherdi,3637,0,none,254321,AMBOLI,
26,496,3949,524986,Dolara,1296,0,none,254321,AMBOLI,
26,496,3949,524987,Parzai,1717,0,none,254321,AMBOLI,
26,496,3949,524988,Talavali,922,0,none,254325,KHANVEL,
26,496,3949,524989,Rudana,4609,0,none,254325,KHANVEL,
26,496,3949,524990,Chinsda,3792,0,none,254327,MANDONI,
26,496,3949,524991,Mandoni,2114,0,none,254327,MANDONI,
26,496,3949,524992,Vansda,2048,0,none,254327,MANDONI,
26,496,3949,524993,Bensda,2031,0,none,254327,MANDONI,
26,496,3949,524994,Bedpa,3137,0,none,254327,MANDONI,
26,496,3949,524995,Sindoni,3041,0,none,254327,MANDONI,
26,496,3949,524996,Khedpa,1733,0,none,254327,MANDONI,
26,496,3949,524997,Dadra (CT),13039,0,none,254322,DADRA,
26,496,3949,524998,Naroli (CT),16260,0,none,254328,NAROLI,
26,496,3949,524999,Samarvarni (CT),12553,0,none,254331,SAMARVANI,
26,496,3949,525000,Masat (CT),12139,0,none,254331,SAMARVANI,
26,496,3949,525001,Rakholi (CT),8339,0,none,254329,RAKHOLI,
