State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,amboliﾠ,168841,20.14274,73.026445,AMBOLI,2,1717
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,dadraﾠ,168842,20.319212,72.966595,DADRA,2,13039
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,dapada,168843,20.188053,73.022885,DAPADA,2,1655
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,dudhaniﾠ,168844,20.174332,73.157444,DUDHANI,2,636
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,khanvelﾠ,168845,20.12649,73.06846,KHANVEL,2,4609
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,kilvaniﾠ,168846,20.295487,73.092987,KILVANI,2,4585
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,mandoniﾠ,168847,20.110393,73.14713,MANDONI,2,1733
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,naroliﾠ,168848,20.271615,72.940337,NAROLI,2,16260
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,randhaﾠ,168849,20.311561,73.134156,RANDHA,2,3009
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,rakholi,255794,20.222195,73.024761,RAKHOLI,2,8339
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,samarvarni,255795,20.256899,73.007292,SAMARVARNI,2,12139
Dadra and Nagar Haveli,26,Dadra and Nagar Haveli,496,Dadra and Nagar Haveli,4276,d&nh block,888888,20.286651,73.000515,D&NH Block,2,636
