STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
30,585,05609,626635,Tiracol,205,0,,254426,KERI TERECOL,
30,585,05609,626636,Querim,3038,0,,254427,KERIM,
30,585,05609,626637,Paliem,2776,0,,254502,SIRIDAO-PALEM,
30,585,05609,626638,Corgao,6639,0,,254397,CORGAO,
30,585,05609,626640,Poroscodem,675,0,,254383,CASNEM AMBEREMPOROSCODEM,
30,585,05609,626641,Casnem,319,0,,254383,CASNEM AMBEREMPOROSCODEM,
30,585,05609,626642,Varconda,2208,0,,254524,VARKHAND NAGZAR,
30,585,05609,626643,Amberem,341,0,,254383,CASNEM AMBEREMPOROSCODEM,
30,585,05609,626644,Uguem,1133,0,,254514,TAMBOXEM MOPA UGUEM,
30,585,05609,626645,Tamboxem,591,0,,254514,TAMBOXEM MOPA UGUEM,
30,585,05609,626646,Torxem,2405,0,,254518,TORXEM,
30,585,05609,626647,Mopa,1082,0,,254514,TAMBOXEM MOPA UGUEM,
30,585,05609,626648,Chandel,1152,0,,254386,CHANDEL,
30,585,05609,626649,Alorna,2651,0,,254350,ALORNA,
30,585,05609,626650,Ibrampur,2429,0,,254422,IBRAMPUR,
30,585,05609,626651,Cansarvornem,1382,0,,254425,KASARVANEM,
30,585,05609,626652,Ozorim,1669,0,,254463,OZARIM,
30,585,05609,626653,Dargalim,5696,0,,254411,DHARGAL,
30,585,05609,626654,Virnora,1386,0,,254533,VIRNODA,
30,585,05609,626655,Tuem,2751,0,,254519,TUEM,
30,585,05609,626656,Chopdem,974,0,,254347,AGARWADA  CHOPDEM,
30,585,05609,626657,Agarvado,1478,0,,254347,AGARWADA  CHOPDEM,
30,585,05609,626658,Arambol (CT),5322,0,,254356,ARAMBOL,
30,585,05609,626659,Mandrem (CT),8336,0,,254435,MANDREM,
30,585,05609,626660,Parcem (CT),4627,0,,254467,PARCEM,
30,585,05609,626661,Morjim (CT),6760,0,,254445,MORJIM,
30,585,05610,626662,Oxel,2794,0,,254462,OXEL,
30,585,05610,626663,Camurlim,3015,0,,254378,CAMURLI,
30,585,05610,626664,Revora,2630,0,,254482,REVORA,
30,585,05610,626665,Nadora,1257,0,,254450,NADORA,
30,585,05610,626666,Pirna,2568,0,,254473,PIRNA,
30,585,05610,626667,Moitem,860,0,,254359,ASSANORA,
30,585,05610,626668,Assonora,3870,0,,254359,ASSANORA,
30,585,05610,626669,Sircaim,2850,0,,254504,SIRSAIM,
30,585,05610,626670,Tivim,9076,0,,254516,THIVIM,
30,585,05610,626671,Marna,1234,0,,254500,SIOLIM MARNA,
30,585,05610,626672,Assagao,4367,0,,254358,ASSAGAO,
30,585,05610,626673,Arpora,3255,0,,254357,ARPORA-NAGOA,
30,585,05610,626674,Nagoa,1455,0,,254357,ARPORA-NAGOA,
30,585,05610,626675,Parra,4449,0,,254469,PARRA,
30,585,05610,626676,Verla,3685,0,,254531,VERLA CANCA,
30,585,05610,626677,Canca,3551,0,,254531,VERLA CANCA,
30,585,05610,626678,Bastora,3943,0,,254367,BASTORA,
30,585,05610,626679,Paliem,1377,0,,254520,UCASSAIM PALEM,
30,585,05610,626680,Punola,864,0,,254520,UCASSAIM PALEM,
30,585,05610,626681,Ucassaim,1077,0,,254520,UCASSAIM PALEM,
30,585,05610,626682,Nachinola,2725,0,,254449,NACHINOLA,
30,585,05610,626683,Corjuem,2725,0,,254349,ALDONA,
30,585,05610,626684,Ponolem,120,0,,254349,ALDONA,
30,585,05610,626685,Calvim,403,0,,254349,ALDONA,
30,585,05610,626686,Olaulim,659,0,,254476,POMBURPA OLAULIM,
30,585,05610,626687,Pomburpa,3095,0,,254476,POMBURPA OLAULIM,
30,585,05610,626688,Sangolda,4429,0,,254490,SANGOLDA,
30,585,05610,626689,Marra,1988,0,,254471,PILERNE,
30,585,05610,626690,Siolim (CT),10936,0,,254501,SIOLIM-SODIEM,
30,585,05610,626691,Colvale (CT),4818,0,,254396,COLVALE,
30,585,05610,626692,Moira (CT),4299,0,,254442,MOIRA,
30,585,05610,626693,Guirim (CT),5036,0,,254419,GUIRIM,
30,585,05610,626694,Anjuna (CT),9636,0,,254354,ANJUNA,
30,585,05610,626695,Calangute (CT),13810,0,,254377,CALANGUTE,
30,585,05610,626696,Saligao (CT),6280,0,,254486,SALIGAO,
30,585,05610,626697,Candolim (CT),8500,0,,254380,CANDOLIM,
