State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
GUJARAT,24,VALSAD,491,KAPRADA,4270,TITUMAL,88888,20.13445,73.231819,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,GOVADA,16811,20.141006,72.741711,GOVADA,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,SULIYA,168609,20.14839,73.258128,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,GHADVI,88888,20.152643,73.191122,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,MALUNGI,168586,20.153122,73.235396,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,DAHELI,168706,20.154633,72.742954,DAHELI,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,DAHAD,168705,20.155279,72.786576,DAHAD,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,TUKVADA,168612,20.156418,73.209093,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,KARAMBELI,168716,20.157993,72.813083,GP,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,SOLSUMBHA,168737,20.167925,72.790117,SOLSUMBHA,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,HUMRAN,88888,20.170819,72.813237,HUMRAN,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,GHANVERI,88888,20.178529,73.227887,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,TERICHIKHLI,168610,20.178622,73.25106,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,MADHUBAN,88888,20.179837,73.074138,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,TEMBHI,168740,20.184727,72.795458,TEMBHI,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,UMBERGAON,88888,20.192187,72.749734,BLOCK,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,SANJAN,168733,20.193648,72.820032,SANJAN,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,PALGAM,168729,20.198206,72.780834,PALGAM,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,ROHIYALJUNGLE,168605,20.198921,73.270957,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,TISKARIJUNGLE,168611,20.201179,73.18685,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,NANIPALSAN,88888,20.204944,73.277642,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,BORPADA,88888,20.208269,73.407697,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,VADI,168613,20.208441,73.201915,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,TUMBH,168741,20.209667,72.832798,TUMBH,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,KHATALVADA,168718,20.217331,72.794836,KHATALVADA,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,LIKHVAD,88888,20.220155,73.294486,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,MOTIPALSAN,88888,20.222024,73.249131,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,MALGHAR,168585,20.224944,73.400275,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,NARGOL,168728,20.226899,72.750477,NARGOL,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,VANKAS,168743,20.231411,72.837475,VANKAS,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,ZAROLI,168744,20.231698,72.908206,ZAROLI,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,CHEPA,168563,20.231777,73.265779,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,NANDIGAM,168727,20.232257,72.87874,NANDIGAM,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,UMLI,88888,20.233898,73.171203,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,MALAV,168719,20.234548,72.861164,MALAV,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,BURVAD,168560,20.234623,73.105241,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,SHAHUDA,168606,20.236848,73.30805,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,ASLONA,168553,20.237724,73.349784,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,ANKLAS,168700,20.238308,72.940917,ANKLAS,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,AHU,168698,20.241318,72.780793,AHU,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,PENDHARDEVI,168603,20.244154,73.197838,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,SARBARTANTI,88888,20.246448,73.28631,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,EKLERA,168569,20.24664,73.206108,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,SARONDA,168736,20.251942,72.764299,SARONDA,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,NAGVAS,168725,20.252541,72.920593,NAGVAS,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,VADOLI,168615,20.253106,73.374557,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,MANEKPORE,168722,20.253904,72.797758,MANEKPORE,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,TALVADA,168739,20.255609,72.884742,TALVADA,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,PIPALSET,168604,20.256727,73.351726,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,ASTOL,168554,20.259785,73.176702,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,DANOLI,88888,20.260044,72.893817,DANOLI,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,DAHOLI,88888,20.26628,72.875317,DAHOLI,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,MAMAKVADA,168720,20.267228,72.789297,MAMAKVADA,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,VALVERI,88888,20.26968,73.319247,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,SARAI,168734,20.269707,72.804948,SARAI,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,VIRAXETRA,168622,20.27012,73.395814,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,TADGAM,168738,20.270576,72.760643,TADGAM,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,NILOSI,168598,20.271973,73.269464,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,SILDHA,168607,20.272271,73.208184,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,KARJUN,168578,20.276037,73.286922,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,BHILAD,168702,20.276292,72.886876,BHILAD,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,MANDA,168721,20.278654,72.832541,MANDA,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,HEDALBARI,88888,20.283357,73.148653,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,SARIGAM,168735,20.285677,72.863549,SARIGAM,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,KACHHIGAM,168713,20.287853,72.96627,KACHHIGAM,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,NARVAD,168599,20.289764,73.3269,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,GIRNARA,168571,20.290909,73.360128,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,VARVATH,168619,20.29119,73.263732,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,AMBAJUNGLE,168549,20.293433,73.291083,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,BORIGAM,168704,20.297028,72.948798,BORIGAM,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,MAROLI,168723,20.299258,72.768421,MAROLI,2
GUJARAT,24,VALSAD,491,PARDI,4271,CHIBHAD KATCHH,168635,20.300548,73.021589,Panchayath,2
GUJARAT,24,VALSAD,491,PARDI,4271,KOPARLI,168656,20.303,72.992042,Panchayath,2
GUJARAT,24,VALSAD,491,PARDI,4271,KARAMKHAL,168646,20.303488,73.004367,Panchayath,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,FALI,88888,20.303755,73.33238,PANCHAYAT,2
GUJARAT,24,VALSAD,491,PARDI,4271,LAVACHHA,168660,20.3051,72.97658,Panchayath,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,DIKSHAL,88888,20.3053,73.334389,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,BHATIKARAMBELI,168701,20.305723,72.902752,BHATIKARAMBELI,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,SUTHARPADA,88888,20.307595,73.373807,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,KHADAKVAL,168579,20.308684,73.208836,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,DIVSI,88888,20.310549,73.256955,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,HUDA,168572,20.311353,73.397265,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,RAHOR,88888,20.313644,73.198121,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,JAMAGBHAN,88888,20.314113,73.133044,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,ANDHARPADA,88888,20.314678,73.108771,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,BARPUDA,168557,20.315171,73.362696,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,ANGAM,168699,20.316026,72.874428,ANGAM,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,BORALAI,168703,20.316174,72.913948,BORALAI,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,ACHHARI,168697,20.316952,72.926641,ACHHARI,2
GUJARAT,24,VALSAD,491,PARDI,4271,MOTI TAMBADI,168663,20.317954,73.023406,Panchayath,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,GHOTAN,168570,20.31865,73.342035,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,VALVADA,168742,20.322711,72.907605,VALVADA,2
GUJARAT,24,VALSAD,491,PARDI,4271,NANI TAMBADI,168667,20.323553,72.991474,Panchayath,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,NAHULI,168726,20.327153,72.893982,NAHULI,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,CHAVSHALA,168562,20.32716,73.310182,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,EKLARA,168709,20.3293,72.889416,EKLARA,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,PUNAT,168732,20.329384,72.870115,PUNAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,DABKHAL,168564,20.329705,73.270858,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,VAVAR,168620,20.333656,73.382942,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,KALGAM,168715,20.334747,72.790118,KALGAM,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,JIRVAL,168573,20.338524,73.146609,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,JAMBURI,168712,20.338994,72.879304,JAMBURI,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,FANSA,168710,20.339855,72.794661,FANSA,2
GUJARAT,24,VALSAD,491,PARDI,4271,DEGAM,168639,20.339948,73.014708,Panchayath,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,KAPRADA,168577,20.34279,73.22143,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,KAPRADA BLOCK,88888,20.344936,73.215258,BHQ,2
GUJARAT,24,VALSAD,491,PARDI,4271,KARAYA,168647,20.344993,73.008549,Panchayath,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,VARNA,168617,20.346969,73.114954,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,OZAR,168600,20.34897,73.071038,PANCHAYAT,2
GUJARAT,24,VALSAD,491,PARDI,4271,KARVAD,168648,20.350768,72.973888,Panchayath,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,PALI,168730,20.353295,72.845801,PALI,2
GUJARAT,24,VALSAD,491,PARDI,4271,CHANDOR,168632,20.35335,72.889613,Panchayath,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,BHANDARKUTCHH,168558,20.354664,73.116533,PANCHAYAT,2
GUJARAT,24,VALSAD,491,PARDI,4271,NAMDHA,168665,20.354999,72.886139,Panchayath,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,MATUNIYA,168588,20.358118,73.267931,PANCHAYAT,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,MOHANGAM,168724,20.358862,72.871713,MOHANGAM,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,MOTAPONDHA,168590,20.359455,73.041717,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,BHAVADAJAGIRI,168559,20.360408,73.309829,PANCHAYAT,2
GUJARAT,24,VALSAD,491,PARDI,4271,VANKAS,88888,20.361583,72.979667,Panchayath,2
GUJARAT,24,VALSAD,491,VALSAD,4273,Kavada,168786,20.363255,72.97576,Kavada,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,PALIKARAMBELI,168731,20.363261,72.842412,PALIKARAMBELI,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,KAVAL,88888,20.363327,73.026999,Panchayath,2
GUJARAT,24,VALSAD,491,UMBERGAON,4272,KALAI,168714,20.3643,72.825055,KALAI,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,CHANDVENGAN,168561,20.364609,73.213948,PANCHAYAT,2
GUJARAT,24,VALSAD,491,KAPRADA,4270,MANDVA,168587,20.366094,73.170727,PANCHAYAT,2
