State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, MULASANA, 159229, 23.112276, 72.353256, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, VAYANA, 159259, 23.094618, 72.38478, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, VANSAJADA DHEDIA, 159258, 23.062359, 72.393027, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, BHIMASAN, 159201, 23.157326, 72.407899, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, NASMED, 159233, 23.108789, 72.418218, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, UNALI, 159252, 23.073041, 72.423175, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, HAJIPUR, 159215, 23.193692, 72.425364, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, JETHLAJ, 159221, 23.131431, 72.42827, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, DHANOT, 159210, 23.290669, 72.430255, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, KAROLI, 159223, 23.164721, 72.431705, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, PALODIYA, 159237, 23.058583, 72.437877, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, RANCHARADA, 159244, 23.070354, 72.438123, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, SANAVAD, 159247, 23.119405, 72.438829, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, BILESHVARPURA, 159203, 23.295804, 72.439817, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, RANCHHODPURA, 159245, 23.093007, 72.442985, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, KHATRAJ, 159224, 23.136622, 72.444105, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, PIYAJ, 159240, 23.233156, 72.447631, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, CHHATRAL, 159206, 23.275956, 72.448415, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, RAMNAGAR, 159243, 23.209419, 72.45071, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, PRATAPPURA (BALVA), 159193, 23.249443, 72.454932, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, NANDOLI, 159231, 23.06682, 72.465952, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, SHERISA, 159249, 23.196878, 72.467534, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, VADSAR, 159255, 23.155111, 72.472606, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, SANTEJ, 159248, 23.109007, 72.473872, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, BORISANA, 159204, 23.230822, 72.480601, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, SABASPUR, 159246, 23.174518, 72.48102, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, VADAVSVAMI, 159254, 23.294498, 72.482666, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, RAKANPUR, 159242, 23.104387, 72.48641, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, PANSAR, 159239, 23.309379, 72.487288, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, OLA, 159235, 23.267014, 72.489231, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, ISAND, 159217, 23.283975, 72.489879, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, USMANABAD, 159253, 23.181748, 72.492381, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, DANTALI, 159207, 23.148089, 72.493243, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, PALSANA, 159238, 23.196332, 72.497815, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, GANPATPURA, 159213, 23.17799, 72.498365, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, DINGUCHA, 159212, 23.332525, 72.510559, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, JASPUR, 159220, 23.167716, 72.517387, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, SAIJ, 254276, 23.221789, 72.519121, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, DHANAJ, 159209, 23.196339, 72.520293, Panchayat, 21, 
GUJARAT, 24, GANDHINAGAR, 473, KALOL, 4120, BHAVPURA, 159200, 23.378862, 72.525108, Panchayat, 21, 
