State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Dandi, 165379, 21.328475, 72.626775, GP Office, 2, 
GUJARAT, 24, SURAT, 492, CHORASI, 4233, Sunvali, 165062, 21.170571, 72.639593, GP Office, 2, 
GUJARAT, 24, SURAT, 492, CHORASI, 4233, Shivrampur(Junagam), 244165, 21.149217, 72.640388, GP Office, 2, 
GUJARAT, 24, SURAT, 492, CHORASI, 4233, Rajgari, 165057, 21.184315, 72.644034, GP Office, 2, 
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Lavachha, 165409, 21.301111, 72.646896, GP Office, 2, 
GUJARAT, 24, SURAT, 492, CHORASI, 4233, Hajira, 165043, 21.094775, 72.647743, GP Office, 2, 
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Chhini, 244175, 21.264095, 72.650899, GP Office, 2, 
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Pardi Bhadoly, 165424, 21.254708, 72.651242, GP Office, 2, 
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Bhagwa, 165374, 21.355993, 72.65446, GP Office, 2, 
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Admor, 165365, 21.300294, 72.654729, GP Office, 2, 
GUJARAT, 24, SURAT, 492, CHORASI, 4233, Mora, 165053, 21.177246, 72.658589, GP Office, 2, 
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Mor, 165416, 21.382278, 72.659347, GP Office, 2, 
GUJARAT, 24, SURAT, 492, CHORASI, 4233, Bhatlai, 165036, 21.189547, 72.660042, GP Office, 2, 
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Khosadiya, 244174, 21.268003, 72.661963, GP Office, 2, 
GUJARAT, 24, SURAT, 492, CHORASI, 4233, Vansva, 165066, 21.217447, 72.662469, GP Office, 2, 
GUJARAT, 24, SURAT, 492, CHORASI, 4233, Damka, 165040, 21.201958, 72.665015, GP Office, 2, 
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Bhandut, 165375, 21.281252, 72.665753, GP Office, 2, 
GUJARAT, 24, SURAT, 492, OLPAD, 4239, Pinjrat, 165428, 21.256865, 72.66656, GP Office, 2, 
