State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,zankhi-mingalpur,255653,22.101193,72.204991,Panchayath,2,2485
GUJARAT,24,AHMADABAD,474,BARVALA,4050,rampara,155085,22.114559,71.879459,Panchayath,2,3229
GUJARAT,24,AHMADABAD,474,BARVALA,4050,dadhodhar,155075,22.125157,71.970725,Panchayath,2,1688
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,bhangadh,155261,22.125895,72.209543,Panchayath,2,2330
GUJARAT,24,AHMADABAD,474,BARVALA,4050,kapadyali,155079,22.13073,71.936107,Panchayath,2,2961
GUJARAT,24,AHMADABAD,474,BARVALA,4050,hebatpur,155076,22.139872,72.098856,Panchayath,2,6339
GUJARAT,24,AHMADABAD,474,BARVALA,4050,devpura,155082,22.139976,72.044279,Panchayath,2,748
GUJARAT,24,AHMADABAD,474,BARVALA,4050,vadhela,255638,22.147097,71.973596,Panchayath,2,1363
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,mahadevpura,255652,22.15187,72.226713,Panchayath,2,1284
GUJARAT,24,AHMADABAD,474,BARVALA,4050,sarangpur,155089,22.157861,71.770062,Panchayath,2,11500
GUJARAT,24,AHMADABAD,474,BARVALA,4050,barwala bdo,155071,22.159297,71.895768,Panchayath,2,3538
GUJARAT,24,AHMADABAD,474,BARVALA,4050,kamidna,155078,22.159443,71.928287,Panchayath,2,1555
GUJARAT,24,AHMADABAD,474,BARVALA,4050,kundal,155081,22.159842,71.859042,Panchayath,2,1959
GUJARAT,24,AHMADABAD,474,BARVALA,4050,juna navada,155077,22.163861,71.970855,Panchayath,2,6164
GUJARAT,24,AHMADABAD,474,BARVALA,4050,khambada,155080,22.164956,71.798939,Panchayath,2,3994
GUJARAT,24,AHMADABAD,474,BARVALA,4050,navda,251784,22.166771,71.962744,Panchayath,2,6164
GUJARAT,24,AHMADABAD,474,BARVALA,4050,bela,155072,22.176316,71.825703,Panchayath,2,2813
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,panchi,155297,22.177042,72.173582,Panchayath,2,1197
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,sandhida,155305,22.187763,72.155105,Panchayath,2,985
GUJARAT,24,AHMADABAD,474,BARVALA,4050,rojid,155087,22.193207,71.887945,Panchayath,2,3613
GUJARAT,24,AHMADABAD,474,BARVALA,4050,sangasar,155088,22.193295,72.107001,Panchayath,2,1105
GUJARAT,24,AHMADABAD,474,RANPUR,4057,gunda,155429,22.19508,71.800064,Panchayath,2,1806
GUJARAT,24,AHMADABAD,474,BARVALA,4050,chanchariya,255017,22.197792,71.765884,Panchayath,2,1697
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,mundi,155291,22.19909,72.172399,Panchayath,2,1134
GUJARAT,24,AHMADABAD,474,BARVALA,4050,vahiya,155092,22.199861,71.8607,Panchayath,2,1758
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,rahatalav,155301,22.205565,72.248628,Panchayath,2,1315
GUJARAT,24,AHMADABAD,474,BARVALA,4050,ranpari,155086,22.206813,71.876037,Panchayath,2,1413
GUJARAT,24,AHMADABAD,474,BARVALA,4050,rafada,155084,22.207154,71.744524,Panchayath,2,905
GUJARAT,24,AHMADABAD,474,BARVALA,4050,shahpur,155090,22.214072,71.935686,Panchayath,2,411
GUJARAT,24,AHMADABAD,474,RANPUR,4057,charanaki,155423,22.214795,71.839236,Panchayath,2,1751
GUJARAT,24,AHMADABAD,474,RANPUR,4057,godhavta,155428,22.216237,71.805436,Panchayath,2,2788
GUJARAT,24,AHMADABAD,474,BARVALA,4050,sodi,155091,22.218573,72.066907,Panchayath,2,3365
GUJARAT,24,AHMADABAD,474,BARVALA,4050,pipariya,255637,22.221751,71.976118,Panchayath,2,120
GUJARAT,24,AHMADABAD,474,BARVALA,4050,ankevadiya,155069,22.223664,71.951026,Panchayath,2,505
GUJARAT,24,AHMADABAD,474,RANPUR,4057,aniyali-kathi,155418,22.225035,71.646836,Panchayath,2,2633
GUJARAT,24,AHMADABAD,474,RANPUR,4057,khas,155433,22.232158,71.732405,Panchayath,2,4133
GUJARAT,24,AHMADABAD,474,RANPUR,4057,bagad,155419,22.232248,71.76205,Panchayath,2,1926
GUJARAT,24,AHMADABAD,474,BARVALA,4050,chokadi,155074,22.234068,71.951434,Panchayath,2,2811
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,ottariya,155294,22.237639,72.132804,Panchayath,2,2198
GUJARAT,24,AHMADABAD,474,RANPUR,4057,alau,155416,22.24051,71.697694,Panchayath,2,4085
GUJARAT,24,AHMADABAD,474,BARVALA,4050,polarpur,155083,22.240551,71.9196,Panchayath,2,2048
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,khun-bhimtalav,155286,22.24468,72.226555,Panchayath,2,122
GUJARAT,24,AHMADABAD,474,BARVALA,4050,bhimnath,155073,22.244904,71.92098,Panchayath,2,11500
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,dholera,155268,22.250015,72.192904,Panchayath,2,2779
GUJARAT,24,AHMADABAD,474,RANPUR,4057,vejalka,155446,22.251777,71.861781,Panchayath,2,2342
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,cher,155264,22.252754,72.093564,Panchayath,2,290
GUJARAT,24,AHMADABAD,474,RANPUR,4057,panavi,155440,22.254781,71.698801,Panchayath,2,905
GUJARAT,24,AHMADABAD,474,RANPUR,4057,jalila,155431,22.256127,71.809356,Panchayath,2,4174
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,gorasu,155274,22.257748,72.135803,Panchayath,2,1788
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,parabdi,155298,22.258979,71.952832,Panchayath,2,579
GUJARAT,24,AHMADABAD,474,RANPUR,4057,kundali,155436,22.263578,71.668459,Panchayath,2,3428
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,chandarva,88888,22.264487,71.85316,Panchayath,2,2903
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,aakru,155254,22.269118,71.99606,Panchayath,2,384
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,pipal,88888,22.277926,71.903706,GP - Ambecha,2,605
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,uchadi,88888,22.278434,71.886812,GP - Ambecha,2,4698
GUJARAT,24,AHMADABAD,474,RANPUR,4057,nani vavadi,155439,22.279507,71.735624,Panchayath,2,4036
GUJARAT,24,AHMADABAD,474,RANPUR,4057,moti vavdi,155438,22.279667,71.772179,Panchayath,2,3217
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,bhadiyad,155259,22.282247,72.167348,Panchayath,2,1898
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,kadipur,155279,22.289271,72.198108,Panchayath,2,555
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,valgamra,88888,22.290216,71.964288,Panchayath,2,1646
GUJARAT,24,AHMADABAD,474,RANPUR,4057,sundariyana,155444,22.291042,71.828713,Panchayath,2,3655
GUJARAT,24,AHMADABAD,474,DHANDHUKA,4054,gogla,155273,22.292588,72.236983,Panchayath,2,1001
