State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
GUJARAT,24,VALSAD,491,KAPRADA,4270,titumal,88888,20.13445,73.231819,PANCHAYAT,2,5028
GUJARAT,24,VALSAD,491,UMBERGAON,4272,govada,16811,20.141006,72.741711,GOVADA,2,1964
GUJARAT,24,VALSAD,491,KAPRADA,4270,suliya,168609,20.14839,73.258128,PANCHAYAT,2,1943
GUJARAT,24,VALSAD,491,KAPRADA,4270,ghadvi,88888,20.152643,73.191122,PANCHAYAT,2,2188
GUJARAT,24,VALSAD,491,KAPRADA,4270,malungi,168586,20.153122,73.235396,PANCHAYAT,2,895
GUJARAT,24,VALSAD,491,UMBERGAON,4272,daheli,168706,20.154633,72.742954,DAHELI,2,10475
GUJARAT,24,VALSAD,491,UMBERGAON,4272,dahad,168705,20.155279,72.786576,DAHAD,2,3524
GUJARAT,24,VALSAD,491,KAPRADA,4270,tukvada,168612,20.156418,73.209093,PANCHAYAT,2,1720
GUJARAT,24,VALSAD,491,UMBERGAON,4272,karambeli,168716,20.157993,72.813083,GP,2,798
GUJARAT,24,VALSAD,491,UMBERGAON,4272,solsumbha,168737,20.167925,72.790117,SOLSUMBHA,2,18796
GUJARAT,24,VALSAD,491,UMBERGAON,4272,humran,88888,20.170819,72.813237,HUMRAN,2,2523
GUJARAT,24,VALSAD,491,KAPRADA,4270,ghanveri,88888,20.178529,73.227887,PANCHAYAT,2,3734
GUJARAT,24,VALSAD,491,KAPRADA,4270,terichikhli,168610,20.178622,73.25106,PANCHAYAT,2,2585
GUJARAT,24,VALSAD,491,KAPRADA,4270,madhuban,88888,20.179837,73.074138,PANCHAYAT,2,580
GUJARAT,24,VALSAD,491,UMBERGAON,4272,tembhi,168740,20.184727,72.795458,TEMBHI,2,3488
GUJARAT,24,VALSAD,491,UMBERGAON,4272,umbergaon,88888,20.192187,72.749734,BLOCK,2,1406
GUJARAT,24,VALSAD,491,UMBERGAON,4272,sanjan,168733,20.193648,72.820032,SANJAN,2,15544
GUJARAT,24,VALSAD,491,UMBERGAON,4272,palgam,168729,20.198206,72.780834,PALGAM,2,4893
GUJARAT,24,VALSAD,491,KAPRADA,4270,rohiyaljungle,168605,20.198921,73.270957,PANCHAYAT,2,1953
GUJARAT,24,VALSAD,491,KAPRADA,4270,tiskarijungle,168611,20.201179,73.18685,PANCHAYAT,2,2355
GUJARAT,24,VALSAD,491,KAPRADA,4270,nanipalsan,88888,20.204944,73.277642,PANCHAYAT,2,1722
GUJARAT,24,VALSAD,491,KAPRADA,4270,borpada,88888,20.208269,73.407697,PANCHAYAT,2,2239
GUJARAT,24,VALSAD,491,KAPRADA,4270,vadi,168613,20.208441,73.201915,PANCHAYAT,2,2593
GUJARAT,24,VALSAD,491,UMBERGAON,4272,tumbh,168741,20.209667,72.832798,TUMBH,2,1832
GUJARAT,24,VALSAD,491,UMBERGAON,4272,khatalvada,168718,20.217331,72.794836,KHATALVADA,2,21036
GUJARAT,24,VALSAD,491,KAPRADA,4270,likhvad,88888,20.220155,73.294486,PANCHAYAT,2,913
GUJARAT,24,VALSAD,491,KAPRADA,4270,motipalsan,88888,20.222024,73.249131,PANCHAYAT,2,4545
GUJARAT,24,VALSAD,491,KAPRADA,4270,malghar,168585,20.224944,73.400275,PANCHAYAT,2,3255
GUJARAT,24,VALSAD,491,UMBERGAON,4272,nargol,168728,20.226899,72.750477,NARGOL,2,8045
GUJARAT,24,VALSAD,491,UMBERGAON,4272,vankas,168743,20.231411,72.837475,VANKAS,2,2472
GUJARAT,24,VALSAD,491,UMBERGAON,4272,zaroli,168744,20.231698,72.908206,ZAROLI,2,5469
GUJARAT,24,VALSAD,491,KAPRADA,4270,chepa,168563,20.231777,73.265779,PANCHAYAT,2,1601
GUJARAT,24,VALSAD,491,UMBERGAON,4272,nandigam,168727,20.232257,72.87874,NANDIGAM,2,1971
GUJARAT,24,VALSAD,491,KAPRADA,4270,umli,88888,20.233898,73.171203,PANCHAYAT,2,798
