State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
GUJARAT,24,VADODARA,486,KARJAN,4260,moti koral,167923,21.83148,73.210362,PANCHAYAT,2,2809
GUJARAT,24,VADODARA,486,KARJAN,4260,nani koral,167924,21.831892,73.21743,PANCHAYAT,2,723
GUJARAT,24,VADODARA,486,KARJAN,4260,alampura,167872,21.85022,73.211287,PANCHAYAT,2,639
GUJARAT,24,VADODARA,486,KARJAN,4260,sagdol,167935,21.86363,73.215669,PANCHAYAT,2,1022
GUJARAT,24,VADODARA,486,KARJAN,4260,rarod,167933,21.864594,73.188773,PANCHAYAT,2,1335
GUJARAT,24,VADODARA,486,KARJAN,4260,pura,167931,21.866561,73.178913,PANCHAYAT,2,1149
GUJARAT,24,VADODARA,486,KARJAN,4260,oz,167928,21.867568,73.167109,PANCHAYAT,2,1616
GUJARAT,24,VADODARA,486,KARJAN,4260,sayar,167946,21.869942,73.227253,PANCHAYAT,2,2364
GUJARAT,24,VADODARA,486,KARJAN,4260,delvada,167883,21.870697,73.144421,PANCHAYAT,2,230
GUJARAT,24,VADODARA,486,KARJAN,4260,lilod,167914,21.878011,73.230942,PANCHAYAT,2,1223
GUJARAT,24,VADODARA,486,KARJAN,4260,mantroj,167919,21.885613,73.098318,PANCHAYAT,2,857
GUJARAT,24,VADODARA,486,KARJAN,4260,pachhiapura,167929,21.888972,73.143784,PANCHAYAT,2,2288
GUJARAT,24,VADODARA,486,KARJAN,4260,rupa,167934,21.890758,73.197676,PANCHAYAT,2,1185
GUJARAT,24,VADODARA,486,SHINOR,4266,malsar,168333,21.890948,73.311478,MALSAR,2,2284
GUJARAT,24,VADODARA,486,KARJAN,4260,haldarva,167892,21.891547,73.084449,PANCHAYAT,2,2141
GUJARAT,24,VADODARA,486,KARJAN,4260,saring,167944,21.892437,73.124024,PANCHAYAT,2,1731
GUJARAT,24,VADODARA,486,KARJAN,4260,sanapura,167939,21.896343,73.139213,PANCHAYAT,2,891
GUJARAT,24,VADODARA,486,KARJAN,4260,kahona,167895,21.898306,73.219004,PANCHAYAT,2,114
GUJARAT,24,VADODARA,486,KARJAN,4260,karan,167902,21.901326,73.158814,PANCHAYAT,2,703
GUJARAT,24,VADODARA,486,KARJAN,4260,sansrod,167943,21.907918,73.078892,PANCHAYAT,2,5649
GUJARAT,24,VADODARA,486,KARJAN,4260,fatepur,167889,21.910359,73.218188,PANCHAYAT,2,668
GUJARAT,24,VADODARA,486,KARJAN,4260,samra,167937,21.913346,73.193317,PANCHAYAT,2,936
GUJARAT,24,VADODARA,486,SHINOR,4266,sinor block,88888,21.91458,73.337747,SINOR BLOCK,2,2383
GUJARAT,24,VADODARA,486,SHINOR,4266,mandva,168334,21.914972,73.302649,MANDVA,2,1756
GUJARAT,24,VADODARA,486,KARJAN,4260,saniyad,167941,21.919248,73.166712,PANCHAYAT,2,1228
GUJARAT,24,VADODARA,486,KARJAN,4260,deroli,167884,21.921275,73.22148,PANCHAYAT,2,581
GUJARAT,24,VADODARA,486,SHINOR,4266,barkal,168321,21.922083,73.423955,BARKAL,2,1896
GUJARAT,24,VADODARA,486,KARJAN,4260,koliyad,167907,21.924283,73.124883,PANCHAYAT,2,2612
GUJARAT,24,VADODARA,486,KARJAN,4260,sarupur timbi,167945,21.926924,73.14291,PANCHAYAT,2,768
GUJARAT,24,VADODARA,486,KARJAN,4260,mersad,167920,21.927857,73.023705,PANCHAYAT,2,2174
GUJARAT,24,VADODARA,486,KARJAN,4260,samri,167938,21.929436,73.196396,PANCHAYAT,2,1436
GUJARAT,24,VADODARA,486,SHINOR,4266,ambali,168318,21.931451,73.376251,AMBALI,2,765
GUJARAT,24,VADODARA,486,SHINOR,4266,surasamal,168349,21.931472,73.292693,SURASAMAL,2,1982
GUJARAT,24,VADODARA,486,KARJAN,4260,mankan,167917,21.931799,73.063175,PANCHAYAT,2,1792
GUJARAT,24,VADODARA,486,SHINOR,4266,kanjetha,168330,21.934828,73.357685,KANJETHA,2,786
GUJARAT,24,VADODARA,486,KARJAN,4260,divi,167888,21.935687,73.108312,PANCHAYAT,2,844
GUJARAT,24,VADODARA,486,NASWADI,4262,ambada,168001,21.93574,73.806117,AMBADA,2,1021
GUJARAT,24,VADODARA,486,SHINOR,4266,damapura,168326,21.936217,73.334149,DAMAPURA,2,692
GUJARAT,24,VADODARA,486,KARJAN,4260,kothiya,167909,21.936611,73.242031,PANCHAYAT,2,1072
GUJARAT,24,VADODARA,486,KARJAN,4260,ranapura,167932,21.938417,73.25013,PANCHAYAT,2,1531
GUJARAT,24,VADODARA,486,SHINOR,4266,zanzad,168356,21.939059,73.394336,ZANZAD,2,1418
GUJARAT,24,VADODARA,486,KARJAN,4260,uard,167950,21.942521,73.150999,PANCHAYAT,2,1726
GUJARAT,24,VADODARA,486,SHINOR,4266,moletha,167050,21.943719,73.415372,MOLETHA,2,1402
GUJARAT,24,VADODARA,486,KARJAN,4260,latipura timbi,167913,21.946809,73.175365,PANCHAYAT,2,1816
GUJARAT,24,VADODARA,486,SHINOR,4266,diver,168328,21.947127,73.267858,DIVER,2,1252
GUJARAT,24,VADODARA,486,KARJAN,4260,kala,167896,21.94875,73.169055,PANCHAYAT,2,1323
GUJARAT,24,VADODARA,486,SHINOR,4266,mindhol,168336,21.949161,73.293931,MINDHOL,2,1517
GUJARAT,24,VADODARA,486,NASWADI,4262,sankal,168044,21.949934,73.912524,SANKAL,2,239
GUJARAT,24,VADODARA,486,KARJAN,4260,kantharia,167900,21.950666,73.193462,PANCHAYAT,2,574
GUJARAT,24,VADODARA,486,KARJAN,4260,kiya,167906,21.950709,73.110711,PANCHAYAT,2,1410
GUJARAT,24,VADODARA,486,KARJAN,4260,simli,167947,21.954292,73.211747,PANCHAYAT,2,1695
GUJARAT,24,VADODARA,486,KARJAN,4260,bachhar,167875,21.954826,73.16799,PANCHAYAT,2,2695
GUJARAT,24,VADODARA,486,KARJAN,4260,valan,167951,21.955328,73.072295,PANCHAYAT,2,10182
GUJARAT,24,VADODARA,486,NASWADI,4262,kukarda,168033,21.956536,73.878276,KUKARDA,2,3155
GUJARAT,24,VADODARA,486,SHINOR,4266,mota fofaliya,168338,21.95692,73.371546,MOTA FOFALIYA,2,2235
GUJARAT,24,VADODARA,486,KARJAN,4260,atali,167874,21.961072,73.134885,PANCHAYAT,2,1222
GUJARAT,24,VADODARA,486,SHINOR,4266,manjrol,168335,21.964119,73.307121,MANJROL,2,1903
GUJARAT,24,VADODARA,486,NASWADI,4262,jitnagar,168020,21.964676,73.83008,JITNAGAR,2,267
GUJARAT,24,VADODARA,486,SHINOR,4266,kuvas,168331,21.968325,73.332189,KUVAS,2,885
GUJARAT,24,VADODARA,486,KARJAN,4260,chanchava,167880,21.968884,73.189349,PANCHAYAT,2,1454
GUJARAT,24,VADODARA,486,KARJAN,4260,bavaliya,88888,21.969014,73.238824,PANCHAYAT,2,851
GUJARAT,24,VADODARA,486,KARJAN,4260,methi,167921,21.972068,73.218028,PANCHAYAT,2,1076
GUJARAT,24,VADODARA,486,SHINOR,4266,bithali,168324,21.9723,73.407119,BITHALI,2,315
GUJARAT,24,VADODARA,486,NASWADI,4262,sindhikuva (roziya),168049,21.973102,73.744595,SINDHIKUVA (ROZIYA),2,750
GUJARAT,24,VADODARA,486,NASWADI,4262,sankal(tankhala),168045,21.973134,73.774657,SANKAL(TANKHALA),2,439
GUJARAT,24,VADODARA,486,KAWANT,4261,hanaf(hap),167962,21.973382,74.118537,HANAF(HAP),2,1238
GUJARAT,24,VADODARA,486,DABHOI,4258,nanderia,167748,21.976374,73.438026,Panchayath,2,1108
GUJARAT,24,VADODARA,486,NASWADI,4262,jakshi,168017,21.977389,73.821103,JAKSHI,2,871
GUJARAT,24,VADODARA,486,KARJAN,4260,dhetan,167885,21.978143,73.096963,PANCHAYAT,2,885
GUJARAT,24,VADODARA,486,NASWADI,4262,kaduli mahudi,168022,21.97824,73.944578,KADULI MAHUDI,2,806
