moti koral,2809
nani koral,723
alampura,639
sagdol,1022
rarod,1335
pura,1149
oz,1616
sayar,2364
delvada,230
lilod,1223
mantroj,857
malsar,2284
haldarva,2141
saring,1731
sanapura,891
kahona,114
karan,703
sansrod,5649
fatepur,668
samra,936
mandva,1756
saniyad,1228
deroli,581
barkal,1896
koliyad,2612
sarupur timbi,768
samri,1436
ambali,765
surasamal,1982
mankan,1792
kanjetha,786
divi,844
ambada,1021
damapura,692
kothiya,1072
zanzad,1418
moletha,1402
diver,1252
kala,1323
mindhol,1517
sankal,239
kiya,1410
simli,1695
valan,10182
kukarda,3155
mota fofaliya,2235
atali,1222
manjrol,1903
jitnagar,267
bavaliya,851
methi,1076
bithali,315
sindhikuva (roziya),750
sankal(tankhala),439
jakshi,871
kaduli mahudi,806
goyavant (rengani),1539
katkuva,492
tarol,453
khapariya,1176
sadhli,6269
kevadi,74
karnali,2084
choranda,3674
lavakoi,393
baroli,2562
simli,1695
utraj,1851
ambadungar,1903
lakodara,1947
chandod,3019
tinglod,819
mota karala,1932
nishaliya,533
jemalgadh,487
haripura (nasvadi),1200
mandva,1756
zarkhali,1562
satisana,937
vemar,2655
raypur,196
tarva,808
malpur,1179
sandarna,621
segva,1414
chhalvant,643
mangrol,1485
bharthana,1761
kasampur,601
moti kadai,1428
sanor,1258
pala,927
chhanbhoi,817
chhodvani,1182
jamli,245
timbarva,2047
amroli,2234
jitpura,407
achisara,937
kurali,1924
dhamasiya,779
bagaliya,831
anandi,1470
vaniyad,851
pochamba,696
miyagam,5416
sompura,102
bananj,835
navagam,730
zer,840
dhavat,2340
kambola,1244
sanpa,2120
bhekhada,572
akona,1719
kandha,871
puniyad,1426
rajpura,365
chhaktar umarva,1098
saripani,694
sengpur,1013
bodaka,1292
ten talav,3013
bhil boriyad,1662
anandpuri,594
haripura(vadeshiya),1007
rampuri,362
garadi,1223
akoti,1091
nana habipura,771
kelaniya,918
kandva,171
ordi,371
vemardi,1212
damnagar,587
koli boriyad,297
sandha,714
vankla,1314
asodara,746
nagdol,557
gandhara,1828
payakoi,500
chanwada,1686
karmal,1401
ganpatpura,1466
shankarpura,430
linda,685
sodhaliya,417
ratanpura,1821
asgol,352
chorbhuj,1128
pisai,1396
kolamba,98
nedra,1030
palasani,1232
pankhada (khichadiya),534
chametha,1892
umaj,1167
vadaj,2266
parvata,1677
kashipura,882
handod,2095
waghach,2749
vanchhara,1460
kakanpur,975
kandari,4295
