pachhiapura,2288
rupa,1185
sinor block,2383
mersad,2174
ranapura,1531
uard,1726
latipura timbi,1816
kantharia,574
bachhar,2695
kuvas,885
chanchava,1454
hanaf(hap),1238
nanderia,1108
dhetan,885
ghatasa,1761
bhimpura,1347
tepsa,30
oslam,1678
dhamnja,890
kothava,824
vakhal,3162
bhalodara,657
mogara,1932
phulvadi,2014
barthalli,697
manka,2340
navi jhitardi,502
juni jhitardi,1417
raisinghpura,2383
nasvadi t.d.o,502
khanda,1362
karmadi,1763
hathikhan,884
block office,2235
renadi,1597
lingasthali,1935
saidi vasan,4962
shirda,2014
kanhaba,771
vasan(sevada),237
vazepur,2121
sokhda radhu,2015
khurai,1531
bhilodia,1251
jamali,2360
sitpura,1813
kayavorahan,8409
virjay,1738
kanayad,1962
kavant block,1966
gamdi,2296
dharampuri,1732
khanpura,1531
motisankal,2340
manpura,1008
jamli muset,1584
ratanpur(kamraj),598
tharsava,1467
ghoda(bo),323
chundheli(rajbodeli),1041
motavanta,1236
dabhoi taluka,2078
runvad..,1400
vagetha,152
intola,1060
salad?,4503
meghakui?,1208
motaghoda,1650
waradhana,2078
kajapura,1821
rodadha,2767
anghustan,1177
aktodar,1395
sarsinda(jharvan),1238
bhumasvadi,1200
mastapur gamdi,155
block head qtr gp.,2015
kayadavant,1966
sarasvani,4610
sarsinda(cho),3124
dungiwada,850
simalia,517
bhilapura,2290
vayadpura,943
gojalli,565
rayapur,1336
panavad,1200
dhanpur(vasahat),2014
orvada,2014
tandalia,1462
karmalyapura,1336
rasulapura,1680
divalipura,661
jambovada,2360
dhobikuva,3392
sokhda khurd,2139
bangapura,490
block office,2235
pavada,2014
rajnagar,382
vanadara,709
kunvarvada,1014
bil,2222
tarasvada,237
masthupura,155
kherwadi,1207
vhejalpur,1589
rusthanpura,1108
rai pura,1336
bhayli,315
amballi,765
piperiya,2014
dhankheda,1588
ratanpur(thana),1582
t.d.o,1557
thavra,824
moti manikpur,207
block hq,885
simal,517
chhota udaipur block,1098
sevasi,237
sanghadhol,2626
dhandhod,3312
khanda,1362
sayajipura,1922
nava ajwa,1738
rajbodheli,839
raysinghpura,2383
jetpur/block,7864
jamala,2360
tejghad,6545
vemali,1212
karodia,750
koyli,1990
muralepura,1821
khumeta,885
amliyara,1336
jhauna rampur,608
sukhalipura,942
rahen talavadi,1597
dumad,806
sakaria,1308
angadh,14780
bhanyara,1796
dasharath,2078
itoli,1060
nandeshawari,8290
venkatapura,716
navagama,2160
rahakhui,534
padamla,5446
kheda kharmesya,534
sokhada,597
laljipura,661
fajalpur (sakarda),4740
vasna kotariya,3974
rayka,3574
panchadevla,1734
baridora,1238
jamali,2360
ranjitnagar,267
visnagar,3974
savli taluka,2360
savli,417
bhatpura(sa),2014
zaveripura,1531
nahara,1238
