State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,SIYUN,239248,31.873598,76.937731,SIYUN,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,TIKKER (DRG),2455,31.880978,76.954776,TIKKER (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,ROPA (DRG),2450,31.904935,76.965559,ROPA (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,KATHOG (DRG),2441,31.914138,76.940148,KATHOG (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,DLAH (DRG),2435,31.879321,76.915314,DLAH (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,SHILANG,239245,31.807201,76.924126,SHILANG,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,PALI (DRG),2449,31.814583,76.939526,PALI (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,GAWALI,239246,31.897108,76.907373,GAWALI,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,CHUKKU (DRG),2432,31.888849,76.868195,CHUKKU (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,NAUHALI (DRG),2447,31.866618,76.841224,NAUHALI (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,VATARI BIHUN (D,2458,31.884336,76.816067,VATARI BIHUN (D,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,BHARARU (DRG),2429,31.914435,76.805837,BHARARU (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,KASS (DRG),239244,31.931215,76.811934,KASS (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,KUNNU (DRG),2443,31.845798,76.926346,KUNNU (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,BHARWAHAN,239212,31.86495,76.881205,BHARWAHAN,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,BARI DHAR (DRG),2427,31.832381,76.893938,BARI DHAR (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,KUFRI (DRG),2442,31.846795,76.867401,KUFRI (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,URLA (DRG),2456,31.924346,76.882258,URLA (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,KADHAR,239247,31.944428,76.866228,KADHAR,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,GUMMA (DRG),2437,31.963808,76.852226,GUMMA (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,ROPA PAADHAR,2451,31.980981,76.832256,ROPA PAADHAR,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,JILHAN (DRG),2439,31.947421,76.881876,JILHAN (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,DHAMCHAYAN (DRG,2434,31.98065,76.906526,DHAMCHAYAN (DRG,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,LATRAN (DRG),2444,31.997751,76.898871,LATRAN (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,VARDHAN (DRG),2457,31.994382,76.8681,VARDHAN (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,LEPAS (DRG),2445,32.0198,76.857208,LEPAS (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,BAROT (DRG),2428,32.038006,76.843638,BAROT (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,TARSWAN,2454,31.963299,76.91182,TARSWAN,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,SILHBADHWANI,2452,31.940058,76.955233,SILHBADHWANI,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,SUDHAR (DRG),2453,31.928372,76.937391,SUDHAR (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,HARGUNAIN (DRG),2438,31.991992,76.821027,HARGUNAIN (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,JIMJIMA (DRG),2440,31.993562,76.801878,JIMJIMA (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,GARORU NICHLA,2436,31.983067,76.781753,GARORU NICHLA,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,DARAT BAGLA,2433,31.969478,76.779295,DARAT BAGLA,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,MASAULI (DRG),2446,31.969816,76.792674,MASAULI (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,NER GHARWASRA,2448,31.953472,76.801879,NER GHARWASRA,2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,CHALARAG (DRG),2431,31.934399,76.797125,CHALARAG (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DRANG,179,BALH (DRG),2426,31.943635,76.784606,BALH (DRG),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,BSNL OLT . DHARMPUR    DHARMPUR,2394,31.803873,76.760577,DHARMPUR,2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,BEHRI (DPR),2385,31.829513,76.755518,BEHRI (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,TANAHER (DPR),2421,31.818527,76.734069,TANAHER (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,BHARORI,239239,31.815988,76.758812,BHARORI,2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,DHWALI (DPR),2395,31.808748,76.724992,DHWALI (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,KAMLAH (DPR),2400,31.812469,76.67618,KAMLAH (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,BINGA (DPR),2387,31.80783,76.703902,BINGA (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,SIDHPUR (DPR),2417,31.846047,76.747225,SIDHPUR (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,SYOH (DPR),2420,31.862623,76.712524,SYOH (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,BAIRI UPPER,2383,31.880852,76.684651,BAIRI UPPER,2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,NERI (DPR),239243,31.854763,76.663274,NERI (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,GHANALA (DPR),2397,31.871406,76.640644,GHANALA (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,KOTHUAN (DPR),2404,31.864888,76.684225,KOTHUAN (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,DHALARA (DPR),2393,31.849539,76.680219,DHALARA (DPR),2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,BHUR,2386,31.831489,76.683099,BHUR,2
HIMACHAL PRADESH,2,MANDI,27,DHARMPUR,178,KHANAUD,239242,31.866111,76.705921,KHANAUD,2
