STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name,
2,30,152,18896,Parnal  (536),419,137,GHUMARWIN,7647,MEHRI KATHLA,
2,30,152,18897,Paliyan  (537),105,137,GHUMARWIN,7647,MEHRI KATHLA,
2,30,152,18898,Kulari  (539),609,137,GHUMARWIN,7647,MEHRI KATHLA,
2,30,152,18899,Niun  (538),150,137,GHUMARWIN,7647,MEHRI KATHLA,
2,30,152,18900,Ransal (529),256,137,GHUMARWIN,7644,LADDA,
2,30,152,18901,Salwan  (530),383,137,GHUMARWIN,7644,LADDA,
2,30,152,18902,Chhaproh  (531),378,137,GHUMARWIN,7647,MEHRI KATHLA,
2,30,152,18903,Maihri Kathla  (535),751,137,GHUMARWIN,7647,MEHRI KATHLA,
2,30,152,18904,Nalti  (534),285,137,GHUMARWIN,7647,MEHRI KATHLA,
2,30,152,18905,Khansara  (533),96,137,GHUMARWIN,7644,LADDA,
2,30,152,18906,Halwari  (532),182,137,GHUMARWIN,7644,LADDA,
2,30,152,18907,Ladda  (528),463,137,GHUMARWIN,7644,LADDA,
2,30,152,18908,Bhagwanni  (527),139,137,GHUMARWIN,7644,LADDA,
2,30,152,18909,Banoha  (526),206,137,GHUMARWIN,7644,LADDA,
2,30,152,18910,Bhagot  (358),216,137,GHUMARWIN,7642,KUHMAJHWAR,
2,30,152,18911,Sarag  (359),119,137,GHUMARWIN,7643,KUTHERA,
2,30,152,18912,Ghulaan  (356),95,137,GHUMARWIN,7643,KUTHERA,
2,30,152,18913,Bhawanna  (354),169,137,GHUMARWIN,7643,KUTHERA,
2,30,152,18914,Tatoh  (352),227,137,GHUMARWIN,7660,TALWARA,
2,30,152,18915,Dhar Bara  (353),282,137,GHUMARWIN,7660,TALWARA,
2,30,152,18916,Talwara  (351),748,137,GHUMARWIN,7660,TALWARA,
2,30,152,18917,Kasohal  (382),1002,137,GHUMARWIN,7650,MOR SINGHI,
2,30,152,18918,Gaihri Panjail  (418),164,137,GHUMARWIN,7630,DABHLA,
2,30,152,18919,Bhatoli  (376),156,137,GHUMARWIN,7650,MOR SINGHI,
2,30,152,18920,Sairi  (375),500,137,GHUMARWIN,7654,PATER,
2,30,152,18921,Matial  (371),370,137,GHUMARWIN,7654,PATER,
2,30,152,18922,Ladher  (370),177,137,GHUMARWIN,7654,PATER,
2,30,152,18923,Bhundal  (368),111,137,GHUMARWIN,7654,PATER,
2,30,152,18924,Kot Jhiwran  (369),122,137,GHUMARWIN,7654,PATER,
2,30,152,18925,Chharal  (367),277,137,GHUMARWIN,7660,TALWARA,
2,30,152,18926,Tikkar Kasoliyan  (366),203,137,GHUMARWIN,7654,PATER,
2,30,152,18927,Bhel  (357),335,137,GHUMARWIN,7643,KUTHERA,
2,30,152,18928,Kuthera  (360),684,137,GHUMARWIN,7643,KUTHERA,
2,30,152,18929,Tihri  (361),57,137,GHUMARWIN,7643,KUTHERA,
2,30,152,18930,Maloh  (355),85,137,GHUMARWIN,7643,KUTHERA,
2,30,152,18931,Vekal  (365),164,137,GHUMARWIN,7654,PATER,
2,30,152,18932,Riangali  (373),106,137,GHUMARWIN,7654,PATER,
2,30,152,18933,Pater  (372),164,137,GHUMARWIN,7654,PATER,
2,30,152,18934,Bah Ranotan  (374),168,137,GHUMARWIN,7654,PATER,
2,30,152,18935,Masaur  (364),672,137,GHUMARWIN,7643,KUTHERA,
2,30,152,18936,Masdhan  (377),238,137,GHUMARWIN,7650,MOR SINGHI,
2,30,152,18937,Dihr  (379),118,137,GHUMARWIN,7650,MOR SINGHI,
