State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,(bsnl ex. kondawala)   kondawala,239206,31.225649,76.607771,KONDAWALA,2,3406
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,behal,602,31.220516,76.61253,BEHAL,2,348
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,swahan,651,31.238618,76.652703,SWAHAN,2,500
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,tarwar,655,31.246792,76.619159,TARWAR,2,226
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,ree,644,31.23152,76.676487,REE,2,500
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,kutehla,630,31.248785,76.722517,KUTEHLA,2,151
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,tali,652,31.269236,76.720042,TALI,2,440
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,tanbboul,653,31.244133,76.750264,TANBBOUL,2,14
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,dharot,617,31.269511,76.556416,DHAROT,2,500
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,toba sangwana,239210,31.283253,76.524198,TOBA SANGWANA,2,743
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,kotkhas,627,31.293626,76.518415,KOTKHAS,2,128
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,majari,635,31.286164,76.448332,MAJARI,2,2465
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,dabat,612,31.305512,76.469421,DABAT,2,109
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,road jaman,643,31.333753,76.466444,ROAD JAMAN,2,433
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,bassi,239203,31.311497,76.505699,BASSI,2,500
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,(bsnl ex. naina devi)   ghuwandal,619,31.307441,76.541145,GHUWANDAL,2,486
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,mandyali,239207,31.299366,76.540182,MANDYALI,2,80
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,nakrana,636,31.298036,76.574961,NAKRANA,2,500
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,kharkri,239205,31.316571,76.549426,KHARKRI,2,500
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,saloa,647,31.353593,76.499472,SALOA,2,500
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,makri,634,31.37848,76.483728,MAKRI,2,500
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,bhakra,607,31.398954,76.461701,BHAKRA,2,1102
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,tarush,654,31.407088,76.408475,TARUSH,2,70
HIMACHAL PRADESH,2,Bilaspur,30,SRI NAINA DEVI,9010,lehri,631,31.375446,76.460644,LEHRI,2,35
HIMACHAL PRADESH,2,Bilaspur,30,JHANDUTTA,136,(bsnl ex.talayi)    jhabola,683,31.434562,76.538356,(BSNL EX.TALAYI)    JHABOLA,2,1040
HIMACHAL PRADESH,2,Bilaspur,30,JHANDUTTA,136,deslehra,672,31.414463,76.557868,DESLEHRA,2,702
HIMACHAL PRADESH,2,Bilaspur,30,JHANDUTTA,136,balhsihna,664,31.410171,76.590377,BALHSIHNA,2,1089
HIMACHAL PRADESH,2,Bilaspur,30,JHANDUTTA,136,ghandir,678,31.407565,76.590753,GHANDIR,2,409
