State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
BIHAR, 10, PURNIA, 211, BARHARA, 2000, ARBANNA CHAKALA, 97065, 25.724083, 87.085817, ARBANNA CHAKALA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, AURAHI, 97066, 25.823583, 87.132917, AURAHI, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, AURLAHA, 97067, 25.741883, 87.092983, AURLAHA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, BARAHARA, 97068, 25.772117, 87.102317, BARAHARA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, BASUDEOPUR, 97069, 25.764733, 87.100517, BASUDEOPUR, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, BHAT SARA, 97070, 25.6847, 87.071783, BHAT SARA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, BHATOTTAR, 97071, 25.7816, 87.0962, BHATOTTAR, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, DIBRA, 97072, 25.830233, 87.06625, DIBRA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, GAURI PUR, 97073, 25.762, 87.03635, GAURI PUR, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, LATARAHA, 97074, 25.8091, 87.06105, LATARAHA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, LAXMI PUR, 97075, 25.708833, 87.0457, LAXMI PUR, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, MATIHANI, 97076, 25.748033, 87.025183, MATIHANI, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, MULKIYA, 97077, 25.796, 87.045667, MULKIYA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, NATHPUR, 97078, 25.735933, 87.06285, NATHPUR, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, NIPANIA, 97079, 25.8419, 87.17695, NIPANIA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, PATRAHA, 97080, 25.701933, 87.10005, PATRAHA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, RUSTAMPUR, 97081, 25.8471, 87.146167, RUSTAMPUR, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, SUKHSENA, 97082, 25.815667, 87.10495, SUKHSENA, 2, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, TARHI, 97083, 25.738583, 87.115067, TARHI, 2, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, CHAK, 97142, 25.94385, 87.52355, CHAK, 21, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, DANSAR, 97143, 25.9567, 87.4978, DANSAR, 21, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, DIMIA, 97144, 25.97665, 87.456583, DIMIA, 21, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, EKAMBA, 97145, 25.9681, 87.570717, EKAMBA, 21, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, HASI BEGAM PUR, 97146, 25.935417, 87.5726, HASI BEGAM PUR, 21, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, JALAL GARH, 97147, 25.95725, 87.529383, JALAL GARH, 21, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, NIZGEHUMA, 97148, 25.966483, 87.4885, NIZGEHUMA, 21, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, RAM DELI, 97149, 25.959883, 87.549783, RAM DELI, 21, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, SARSAUNI, 97150, 25.95735, 87.470533, SARSAUNI, 21, 
BIHAR, 10, PURNIA, 211, JALALGARH, 2004, SAUTHA, 97151, 25.92625, 87.494233, SAUTHA, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, BELA RIKABGANJ, 97165, 25.828817, 87.467167, BELA RIKABGANJ, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, BITHNAULI KHEMCHANDRA EAST, 97166, 25.822533, 87.393533, BITHNAULI KHEMCHANDRA EAST, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, BITHNAULI KHEMCHANDRA WEST, 97167, 25.84165, 87.355783, BITHNAULI KHEMCHANDRA WEST, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, CHUNAPUR, 97168, 25.771567, 87.428683, CHUNAPUR, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, GANESHPUR, 97169, 25.780583, 87.402683, GANESHPUR, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, GANGAILY, 97170, 25.691083, 87.420567, GANGAILY, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, GOKULPUR, 97171, 25.849617, 87.327333, GOKULPUR, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, GUASI, 97172, 25.747217, 87.413217, GUASI, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, JAGANI, 97173, 25.896433, 87.3381, JAGANI, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, JHOONI ISTAMRAR, 97174, 25.815717, 87.446267, JHOONI ISTAMRAR, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, KAJHA, 97175, 25.774867, 87.355317, KAJHA, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, KOHBARA, 97176, 25.906633, 87.32725, KOHBARA, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, MAJRA, 97177, 25.713317, 87.36805, MAJRA, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, PARORA, 97178, 25.799383, 87.402017, PARORA, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, POTHIA RAMPUR, 97179, 25.886, 87.354667, POTHIA RAMPUR, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, RAHUWA, 97180, 25.72045, 87.38095, RAHUWA, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, SAHARA, 97181, 25.7145, 87.334317, SAHARA, 21, 
BIHAR, 10, PURNIA, 211, KRITYANAND NAGAR, 2006, SATKODARIA, 97182, 25.71885, 87.41585, SATKODARIA, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, ABDULLA NAGAR, 97183, 25.770167, 87.544333, ABDULLA NAGAR, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, BELAURI, 97184, 25.766533, 87.514517, BELAURI, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, BHOGA KARIYAT, 97185, 25.698167, 87.59185, BHOGA KARIYAT, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, BIKRAM PUR, 97186, 25.715033, 87.608433, BIKRAM PUR, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, BIRPUR, 97187, 25.75685, 87.551217, BIRPUR, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, BIYARPUR, 97188, 25.6791, 87.54375, BIYARPUR, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, CHANDI, 97189, 25.724333, 87.512883, CHANDI, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, DIMIA CHHATARJAN, 97190, 25.683917, 87.51805, DIMIA CHHATARJAN, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, GAURA, 97191, 25.70205, 87.637017, GAURA, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, HANSDA, 97192, 25.807767, 87.533117, HANSDA, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, HARADA, 97193, 25.712417, 87.452167, HARADA, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, KABAIA, 97194, 25.698217, 87.4662, KABAIA, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, LAL GANJ, 97195, 25.732817, 87.480167, LAL GANJ, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, MAHARAJ PUR, 97196, 25.7321, 87.5818, MAHARAJ PUR, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, MARANGA EAST, 97197, 25.758683, 87.4856, MARANGA EAST, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, MARANGA WEST, 97198, 25.749367, 87.46045, MARANGA WEST, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, RAJIGANJ, 97199, 25.7202, 87.513217, RAJIGANJ, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, RAMPUR, 97200, 25.7083, 87.560883, RAMPUR, 21, 
BIHAR, 10, PURNIA, 211, PURNIA EAST, 2007, SIKANDERPUR, 97201, 25.801867, 87.5785, SIKANDERPUR, 21, 
BIHAR, 10, PURNIA, 211, BARHARA, 2000, SUKESHNA WEST, 255569, 25.79845, 87.11125, SUKESHNA WEST, 2, 
