State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
BIHAR, 10, JEHANABAD, 235, GHOSHI, 1780, Ghoshi Block, 88888, 25.163931, 85.098401, Ghoshi Block, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Bara, 3685000, 25.24727, 85.097313, Bara, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Rampur, 3688300, 24.989526, 84.95294, Rampur, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Sumera, 3691900, 25.105469, 85.05339, Sumera, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Jhunathi, 3699700, 25.210888, 84.885902, Jhunathi, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Kansua, 3699701, 25.155545, 84.839903, Kansua, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Kaswan, 3699702, 25.201371, 84.920228, Kaswan, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Lakhapur, 3699703, 25.239852, 84.884084, Lakhapur, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Mudhara, 3699704, 25.069542, 84.868997, Mudhara, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Narayanpur, 3699705, 25.068745, 84.904675, Narayanpur, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Nehalpur, 3699706, 25.203113, 84.909609, Nehalpur, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Noawan, 3699707, 25.175701, 84.89204, Noawan, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Pandaul, 3699708, 25.113743, 84.869771, Pandaul, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Ratni, 3699709, 25.151259, 84.860544, Ratni, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Sikandarpur, 3699710, 25.118752, 84.884617, Sikandarpur, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Sisamma, 3699711, 25.141461, 84.898804, Sisamma, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Sohraiya, 3699712, 25.183883, 84.850361, Sohraiya, 21, 
BIHAR, 10, JEHANABAD, 235, RATNI FARIDPUR, 1786, Uchhta, 3699713, 25.141976, 84.879963, Uchhta, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Dharnai, 3706900, 25.008386, 84.983125, Dharnai, 21, 
BIHAR, 10, JEHANABAD, 235, MAKHDUMPUR, 1784, Dakra, 3713500, 25.027866, 85.014785, Dakra, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Jamuk, 3729300, 25.236806, 84.917738, Jamuk, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Surangapur, 3729800, 25.269147, 84.917366, Surangapur, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Kenari, 3730600, 25.239826, 84.938088, Kenari, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Nauru, 3732700, 25.175656, 84.990427, Nauru, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Pandui, 3732800, 25.168798, 84.958097, Pandui, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Mandil, 3733000, 25.143478, 84.961772, Mandil, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Ganwan, 3733700, 25.152668, 84.936403, Ganwan, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Amain, 3734100, 25.176038, 84.937902, Amain, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Larsa, 3735400, 25.219201, 84.963925, Larsa, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Kalpa, 3735900, 25.233798, 84.965506, Kalpa, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Mandi Bigha, 3736600, 25.273591, 84.954114, Mandi Bigha, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Shiunand, 3738300, 25.285045, 85.009848, Shiunand, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Sikariya, 3738600, 25.27153, 84.973703, Sikariya, 21, 
BIHAR, 10, JEHANABAD, 235, JEHANABAD, 1782, Muther, 3739100, 25.246934, 85.000895, Muther, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Nerthua, 3739800, 25.155858, 85.002318, Nerthua, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Mainawan, 3742700, 25.184443, 85.055795, Mainawan, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Derhsaiya, 3742800, 25.193288, 85.043784, Derhsaiya, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Nonahi, 3743800, 25.213418, 85.054027, Nonahi, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, E. Kako, 3744000, 25.224866, 85.068012, E. Kako, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, W. Kako, 3744000, 25.224866, 85.068012, W. Kako, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Khalispur, 3744400, 25.229111, 85.048096, Khalispur, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Damuhan, 3744500, 25.23298, 85.02922, Damuhan, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Saidabad Parsain, 3744600, 25.251298, 85.04651, Saidabad Parsain, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Baranwan, 3745600, 25.272487, 85.054551, Baranwan, 21, 
BIHAR, 10, JEHANABAD, 235, KAKO, 1783, Sulemanpur, 3747200, 25.268595, 85.043523, Sulemanpur, 21, 
