State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,bansgawn majhariya,95914,27.133111,84.265278,BANSGAWN MAJHARIYA,21,,6609
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,bargawn,95915,27.090028,84.160251,BARGAWN,21,,477
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,baswariya,95916,27.035583,84.269556,BASWARIYA,21,,482
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,bhairoganj,95917,27.163778,84.217778,BHAIROGANJ,21,,2334
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,bhaisahi padarkhap,95918,27.116861,84.197778,BHAISAHI PADARKHAP,21,,1418
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,bibi bankatwa,95919,27.004278,84.249472,BIBI BANKATWA,21,,5074
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,chakhni rajwatiya,95920,27.087778,84.133278,CHAKHNI RAJWATIYA,21,,4189
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,chandrapur ratwal,95921,27.049083,84.190472,CHANDRAPUR RATWAL,21,,2383
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,chandraha rupbaliya,95922,26.965028,84.282528,CHANDRAHA RUPBALIYA,21,,841
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,lagunaha chautarwa,95923,27.028333,84.209333,LAGUNAHA CHAUTARWA,21,,1527
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,hardi nadawa,95924,27.073111,84.266139,HARDI NADAWA,21,,1873
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,inglishiya,95925,27.009611,84.318778,INGLISHIYA,21,,766
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,kolahua chautarwa,95926,27.108167,84.229472,KOLAHUA CHAUTARWA,21,,1527
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,mahipur bhathaura,95927,27.117778,84.128306,MAHIPUR BHATHAURA,21,,3000
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,majhauwa,95928,27.007639,84.275583,MAJHAUWA,21,,1976
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,mehura,95929,27.093306,84.186972,MEHURA,21,,4616
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,nadda,95930,27.149528,84.226889,NADDA,21,,6674
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,parsa banchahari,95931,27.130028,84.168972,PARSA BANCHAHARI,21,,1680
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,patilar,95932,27.039944,84.216278,PATILAR,21,,500
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,raibari mahuawa,95933,27.112389,84.283556,RAIBARI MAHUAWA,21,,876
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,salaha bariarwa,95934,27.074556,84.285972,SALAHA BARIARWA,21,,4290
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,singari pipariya,95935,27.101028,84.184417,SINGARI PIPARIYA,21,,920
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,siswa basantpur,95936,27.028111,84.320194,SISWA BASANTPUR,21,,3427
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-I,1928,tesrahiya bathuwariya,95937,26.961944,84.266611,TESRAHIYA BATHUWARIYA,21,,1030
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,bairagi sonbarsa,95938,27.256472,84.194389,BAIRAGI SONBARSA,21,,5048
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,bairati bariyarwa,95939,27.237111,84.206944,BAIRATI BARIYARWA,21,,1427
BIHAR,10,PASHCHIM CHAMPARAN,203,BAGAHA-II,1929,bakuli pachgawa,95940,27.241778,84.079639,BAKULI PACHGAWA,21,,3492
