State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,ARWAL,236,KAPRI,6507,karpi block,88888,25.168465,84.734156,Karpi Block,21,772
BIHAR,10,ARWAL,236,ARWAL,6505,sakri,187800,25.290162,84.683745,Sakri,21,1138
BIHAR,10,ARWAL,236,ARWAL,6505,makhdumpur,837000,25.237291,84.643968,Makhdumpur,21,1361
BIHAR,10,ARWAL,236,ARWAL,6505,sonbarsa,3685300,25.290162,84.694357,Sonbarsa,21,1166
BIHAR,10,ARWAL,236,ARWAL,6505,wasilpur,3686100,25.248127,84.666291,Wasilpur,21,992
BIHAR,10,ARWAL,236,ARWAL,6505,sipah,3687000,25.242364,84.655236,Sipah,21,1780
BIHAR,10,ARWAL,236,ARWAL,6505,bhadasi,3687800,25.223766,84.694096,Bhadasi,21,1601
BIHAR,10,ARWAL,236,ARWAL,6505,fakharpur,3688400,25.245201,84.697059,Fakharpur,21,4724
BIHAR,10,ARWAL,236,ARWAL,6505,piare chak,3688700,25.217382,84.668365,Piare Chak,21,772
BIHAR,10,ARWAL,236,ARWAL,6505,muradpur hujra,3689100,25.236395,84.644641,Muradpur Hujra,21,7000
BIHAR,10,ARWAL,236,ARWAL,6505,abgila,3689400,25.203625,84.649239,Abgila,21,969
BIHAR,10,ARWAL,236,ARWAL,6505,sarauti,3689700,25.197162,84.663649,Sarauti,21,772
BIHAR,10,ARWAL,236,ARWAL,6505,amra,3690600,25.208942,84.608985,Amra,21,3303
BIHAR,10,ARWAL,236,ARWAL,6505,rampur waina,3690700,25.20448,84.600822,Rampur waina,21,971
BIHAR,10,ARWAL,236,ARWAL,6505,khamhaini,3690900,25.177253,84.618137,Khamhaini,21,6508
BIHAR,10,ARWAL,236,ARWAL,6505,parasi,3692100,25.191389,84.568956,Parasi,21,1885
BIHAR,10,ARWAL,236,KAPRI,6507,aiyara,3698800,25.234999,84.728141,Aiyara,21,1828
BIHAR,10,ARWAL,236,KAPRI,6507,purainia shekha,3699100,25.250761,84.74441,Purainia Shekha,21,730
BIHAR,10,ARWAL,236,KAPRI,6507,nagawan,3699500,25.249727,84.75667,Nagawan,21,821
BIHAR,10,ARWAL,236,KAPRI,6507,kochahsa,3700400,25.204325,84.752646,Kochahsa,21,2037
BIHAR,10,ARWAL,236,KAPRI,6507,khajuri,3700500,25.189928,84.7407,Khajuri,21,500
BIHAR,10,ARWAL,236,KAPRI,6507,durra,3701200,25.181534,84.686252,Durra,21,772
BIHAR,10,ARWAL,236,KAPRI,6507,rohai,3701600,25.202883,84.702012,Rohai,21,352
BIHAR,10,ARWAL,236,KAPRI,6507,chauhar,3702100,25.147625,84.676539,Chauhar,21,352
BIHAR,10,ARWAL,236,KAPRI,6507,shahar telpa,3702400,25.129448,84.661708,Shahar Telpa,21,6634
BIHAR,10,ARWAL,236,KAPRI,6507,belkharakhas,3702600,25.151539,84.629984,Belkharakhas,21,1174
BIHAR,10,ARWAL,236,KAPRI,6507,bambhai,3702900,25.123411,84.584695,Bambhai,21,2030
BIHAR,10,ARWAL,236,KAPRI,6507,rampurchae,3703100,25.10217,84.602518,Rampurchae,21,1310
BIHAR,10,ARWAL,236,KAPRI,6507,keal,3703200,25.122138,84.63058,Keal,21,1326
BIHAR,10,ARWAL,236,KAPRI,6507,puran,3703500,25.156696,84.694682,Puran,21,1673
BIHAR,10,ARWAL,236,KAPRI,6507,karpi,3703800,25.170524,84.73436,Karpi,21,598
BIHAR,10,ARWAL,236,KAPRI,6507,murarhi,3704600,25.187292,84.771227,Murarhi,21,772
BIHAR,10,ARWAL,236,KAPRI,6507,pariyari,3705000,25.212144,84.783999,Pariyari,21,1885
BIHAR,10,ARWAL,236,KAPRI,6507,kinjar,3705200,25.217951,84.832294,Kinjar,21,804
BIHAR,10,ARWAL,236,KAPRI,6507,narga,3706600,25.164562,84.763939,Narga,21,1290
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,ahmadpur harna,3717100,25.065941,84.850356,AHMADPUR HARNA,2,574
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,bara,3716000,25.121686,84.794626,BARA,2,3951
BIHAR                                             ,10,ARWAL,236,KALER,6506,belawan,3696100,25.139218,84.473999,Belawan,2,925
BIHAR                                             ,10,ARWAL,236,KALER,6506,belsar,3696700,25.123659,84.521988,Belsar,2,1174
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,dhamaul,3713600,25.172093,84.797331,DHAMAUL,2,600
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,ibrahimpur,3713200,25.185007,84.823831,IBRAHIMPUR,2,1459
BIHAR                                             ,10,ARWAL,236,KALER,6506,injor,3692200,25.153997,84.619386,Injor,2,665
BIHAR                                             ,10,ARWAL,236,KALER,6506,ismailpur koil,3694500,25.156964,84.532473,Ismailpur Koil,2,992
BIHAR                                             ,10,ARWAL,236,KALER,6506,jaipur,3697200,25.140200,84.561601,Jaipur,2,4310
BIHAR                                             ,10,ARWAL,236,KALER,6506,kaler,3696200,25.117257,84.498033,Kaler,2,7000
BIHAR                                             ,10,ARWAL,236,KALER,6506,kaler,3696200,25.117257,84.498033,Kaler,2,7000
BIHAR                                             ,10,ARWAL,236,KALER,6506,kamta,3693200,25.185085,84.530491,Kamta,2,7000
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,khemkaran saray,3714200,25.123244,84.811816,KHEMKARAN SARAY,2,8382
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,kod marai,3713800,25.150610,84.796751,KOD MARAI,2,772
BIHAR                                             ,10,ARWAL,236,KALER,6506,mainpura,3695500,25.151339,84.493845,Mainpura,2,600
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,manikpur,3712300,25.171064,84.835098,MANIKPUR,2,1361
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,nadaura,3715100,25.107186,84.817372,NADAURA,2,97
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,nighwan,3716700,25.078786,84.828599,NIGHWAN,2,7000
BIHAR                                             ,10,ARWAL,236,KALER,6506,pahleja,3697000,25.147718,84.545178,Pahleja,2,7000
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,pinjranwan,3712200,25.165047,84.819571,PINJRANWAN,2,808
BIHAR                                             ,10,ARWAL,236,KURTHA,6509,sachai,3714900,25.119227,84.822238,SACHAI,2,772
BIHAR                                             ,10,ARWAL,236,KALER,6506,sakri,3693500,25.290162,84.683745,Sakri,2,1138
BIHAR                                             ,10,ARWAL,236,KALER,6506,sohsa,3695100,25.174851,84.493488,Sohsa,2,17374
BIHAR                                             ,10,ARWAL,236,KALER,6506,teri,3697300,25.117181,84.557507,Teri,2,734
BIHAR                                             ,10,ARWAL,236,KALER,6506,usri,3697600,25.136896,84.590224,Usri,2,1174
BIHAR                                             ,10,ARWAL,236,KALER,6506,walidad,3692900,25.170612,84.600834,Walidad,2,693
