State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,adapur block office,88888,26.919317,84.945183,ADAPUR BLOCK OFFICE,21,1523
BIHAR,10,PURBI CHAMPARAN,204,ARERAJ,1970,areraj block office,88888,26.5379,84.6542,ARERAJ BLOCK OFFICE,21,198
BIHAR,10,PURBI CHAMPARAN,204,CHAKIA (PIPRA),1973,bara chakia block office,88888,26.40091,85.0511,BARA CHAKIA BLOCK OFFICE,21,198
BIHAR,10,PURBI CHAMPARAN,204,CHAWRADANO,1974,chauradano block office,88888,26.851583,85.007482,CHAURADANO BLOCK OFFICE,21,1963
BIHAR,10,PURBI CHAMPARAN,204,CHIRAIYA,1975,chiraiya block,88888,26.69342,85.065463,CHIRAIYA BLOCK,21,1299
BIHAR,10,PURBI CHAMPARAN,204,DHAKA,1976,dhaka block office,88888,26.675029,85.164984,DHAKA BLOCK OFFICE,21,198
BIHAR,10,PURBI CHAMPARAN,204,GHORASAHAN,1977,ghorasahan block office,88888,26.822907,85.133336,GHORASAHAN BLOCK OFFICE,21,7016
BIHAR,10,PURBI CHAMPARAN,204,KALYANPUR,1979,kalyanpur block,88888,26.475199,84.920036,KALYANPUR BLOCK,21,1322
BIHAR,10,PURBI CHAMPARAN,204,KESARIA,1980,kesariya block,88888,26.36974,84.85221,KESARIYA BLOCK,21,16574
BIHAR,10,PURBI CHAMPARAN,204,KOTWA,1981,kotwa  block,88888,26.55763,84.776801,KOTWA  BLOCK,21,1080
BIHAR,10,PURBI CHAMPARAN,204,MADHUBAN,1982,madhuban block,88888,26.43972,85.136307,MADHUBAN BLOCK,21,1633
BIHAR,10,PURBI CHAMPARAN,204,MEHSI,1983,mehasi block,88888,26.361695,85.113396,MEHASI BLOCK,21,639
BIHAR,10,PURBI CHAMPARAN,204,MEHSI,1983,ujhilpur,88888,26.376199,85.110134,UJHILPUR,21,1305
BIHAR,10,PURBI CHAMPARAN,204,MOTIHARI,1984,motihari block,88888,26.653399,84.91968,MOTIHARI BLOCK,21,639
BIHAR,10,PURBI CHAMPARAN,204,PATAHI,1987,patahi block,88888,26.574179,85.151519,PATAHI BLOCK,21,6767
BIHAR,10,PURBI CHAMPARAN,204,PHENHARA,1988,phenahara block,88888,26.525967,85.191215,PHENAHARA BLOCK,21,1963
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,andhra,96560,26.855967,84.874367,ANDHRA,21,3501
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,auraiya,96561,26.933483,84.957117,AURAIYA,21,7598
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,bakhari,96562,26.883667,84.989217,BAKHARI,21,571
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,barwa,96563,26.920183,84.897267,BARWA,21,717
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,belwa,96564,26.915183,84.926667,BELWA,21,1311
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,bhawanipur,96565,26.94135,84.8778,BHAWANIPUR,21,2868
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,bherihari,96566,26.894217,84.9196,BHERIHARI,21,2117
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,dubha,96568,26.877833,84.937717,DUBHA,21,2722
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,gamhariya,96569,26.855533,84.913433,GAMHARIYA,21,1523
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,harpur,96570,26.955017,84.901983,HARPUR,21,2935
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,koraiya,96571,26.9113,84.982667,KORAIYA,21,2533
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,laxmipur-pokharia,96572,26.884733,84.874533,LAXMIPUR-POKHARIA,21,1523
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,majharia,96573,26.870033,84.87875,MAJHARIA,21,5219
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,murtia,96574,26.91335,84.9534,MURTIA,21,3857
BIHAR,10,PURBI CHAMPARAN,204,ADAPUR,1969,nakardei,96575,26.95695,84.877883,NAKARDEI,21,7278
