araria basti,126
bangama,12214
bansbari,921
basantpur,1086
baturbari,16497
belwa,593
bochi,2254
chandradei,7176
chatar,340
chikani,1576
diyari,4045
gainrha,5527
gaiyari,8053
haria,2096
hayatpur,670
jamua,4544
jhamta,4968
kamaldaha,910
kismat khawaspur,2700
kusiyar gawon,3308
madanpur east,2697
madanpur west,652
paiktola,745
pokharia,4406
rampur kodarkatti,12743
rampur mohanpur east,841
rampur mohanpur west,22367
sahasmal,4516
sharanpur,4281
tarauna bhojpur,12923
amahara,1082
amauna,658
arraha,4126
aurahi east,9260
aurahi west,1475
bhag kohalia,52
bokra,5674
dhol baja,1264
doria sonapur,13744
halhalia,2154
haripur,9563
jhirua pachhiari,5937
jhiruwa purwari,7438
khabaspur,7944
khairkhan,9868
kirkachia,7541
kusamaha,165
majhua,1846
matiari,375
mirzapur,14498
musahari,900
parwaha,3225
pipra,1718
pothia,7723
rahikpur tilamohan,2690
rampur north,25407
sahbazpur,525
saifganj,1646
tiraskund,4011
balua kaliyaganj,12456
baradbatta,3044
barahkumba,1803
bhikha,2528
chahatpur,13063
chauri,3430
deghli,1309
dehti north,4539
dharam ganj,1884
kankhudia,727
kujari,10377
majlis pur,3089
miapur,1017
nakta khurd,66
pakri,1962
pechaili,7173
pipra bijwara,992
ramnagar,1563
sohan dar,2054
sukhsaina,913
ramai,5930
achara,2538
amgachhi,899
babuan,4554
badahara,6428
bagadehra,1706
bagnagar,1675
bara istambarar,1093
barbanna,5001
bardaha,1266
basmatiya,10756
beer nagar east,1259
bela,7481
belsara,9124
benga,1808
bhagwan pur,704
bhangahi,10747
bhansia,2211
bhirbhiri,7274
bhorha,5984
bhuna majgama,2400
bishanpur,402
bistoria,17647
bokantri,7033
bousi,2856
chainpur masuria,1491
chakai,11525
chatiauna,3802
chaukata,2059
chilhania,4990
chirah,1009
dabhara,591
dahagama,3013
dargahiganj,3316
dedhua,1660
dhama,2226
dhaneshri,325
dhobinia,2505
dubba,8029
dumaria,2660
farakia,11823
fattehpur,2539
gerki masuria,3269
ghaghri,2812
girda,3714
godaraha-vishanpur,3863
gokhula pur,2285
gunwanti,7518
hansa,10038
hardar,2437
haripur kala,1024
harira,4400
hasanpur,14671
jagir parasi,2899
jainagar,7518
kakan,12946
kalabalua,3290
kamaldaha,910
kauakoh,931
kesarara,500
khabdah,9608
khaira,14128
khajuri,2366
kharhat,3793
kharsahi,7914
khoragachh,319
khutaha baijnathpur,4274
koskapur north,18835
koskapur south,620
kuari,1195
kuchaha,1524
kupari,3546
kursa kanta,705
kursel,3300
kusmaul,1491
lailokhar,2414
lakshmi pur,229
mahal gaon,323
majarakh,213
majhua (east),3928
majhua (west),2886
manikpur,1653
mannulah patti,17181
matiyari,995
mirdaul,11831
mirjpur,1361
mohni,6859
murari pur,898
nandanpur,1607
nathpur,500
nawab ganj,6825
pachhiyari pipra,3566
pachira,1209
pahunsra,4809
pahusi,1696
paikapaar,11676
palasi,21121
pararia,3297
parihari,6945
parmanandpur,500
parsadpur,1755
parshahat,8080
patharabari,2653
patharaha,2340
pharahi,4320
pithoura,9017
posdaha,7923
raghunathpur north,17198
rahat mina,2300
ramghat kosakapur,12149
rampuraadi,343
rewahi,6019
shankar pur,958
shankar pur,958
siktia,795
simarbani,8177
simaria,2241
sirsia hanumanganj,11198
sirsia kala,453
sisauna,12824
sonapur,2597
sourgaon,2919
tamganj,8534
taran,10739
thengapur pipara,432
