State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phas
BIHAR,10,BANKA,225,AMARPUR,1644,AMARPUR BLOCK,88888,25.048283,86.894801,AMARPUR BLOCK,21
BIHAR,10,BANKA,225,BELHAR,1648,BELHAR BLOCK,88888,24.917784,86.598953,BELHAR BLOCK,21
BIHAR,10,BANKA,225,DHURAIYA,1650,DHORAIYA Block,88888,24.978466,87.131801,DHORAIYA Block,21
BIHAR,10,BANKA,225,FULLIDUMAR,1651,FULLIDUMAR BLOCK,88888,24.983833,86.785666,FULLIDUMAR BLOCK,21
BIHAR,10,BANKA,225,AMARPUR,1644,BAIJUDIH,91499,25.092517,86.913083,BAIJUDIH,21
BIHAR,10,BANKA,225,AMARPUR,1644,BALLIKITTA,91500,25.008033,86.882617,BALLIKITTA,21
BIHAR,10,BANKA,225,AMARPUR,1644,BHADARIYA,91501,25.062667,86.941102,BHADARIYA,21
BIHAR,10,BANKA,225,AMARPUR,1644,BHARKO,91502,25.002433,86.854717,BHARKO,21
BIHAR,10,BANKA,225,AMARPUR,1644,BHIKHANPUR,91503,25.061683,86.878252,BHIKHANPUR,21
BIHAR,10,BANKA,225,AMARPUR,1644,BISANPUR,91504,24.966417,86.902383,BISANPUR,21
BIHAR,10,BANKA,225,AMARPUR,1644,FATEHPUR,91505,24.994317,86.907533,FATEHPUR,21
BIHAR,10,BANKA,225,AMARPUR,1644,GARIBPUR,91506,25.075802,86.843617,GARIBPUR,21
BIHAR,10,BANKA,225,AMARPUR,1644,GORGAMA,91507,25.038451,86.847302,GORGAMA,21
BIHAR,10,BANKA,225,AMARPUR,1644,KOLBUJURG,91508,25.041852,86.869202,KOLBUJURG,21
BIHAR,10,BANKA,225,AMARPUR,1644,KUSHMAHA,91509,25.109017,86.828617,KUSHMAHA,21
BIHAR,10,BANKA,225,AMARPUR,1644,LAKSHMIPUR CHIRAIYA,91510,25.088183,86.837352,LAKSHMIPUR CHIRAIYA,21
BIHAR,10,BANKA,225,AMARPUR,1644,MAHADEOPUR,91511,25.048533,86.864467,MAHADEOPUR,21
BIHAR,10,BANKA,225,AMARPUR,1644,PAWAI,91512,25.081017,86.875902,PAWAI,21
BIHAR,10,BANKA,225,AMARPUR,1644,RATANPUR MAKDUMA,91513,24.948833,86.891983,RATANPUR MAKDUMA,21
BIHAR,10,BANKA,225,AMARPUR,1644,SALEMPUR,91514,25.015283,86.923717,SALEMPUR,21
BIHAR,10,BANKA,225,AMARPUR,1644,SOBHANPUR,91515,25.000317,86.892517,SOBHANPUR,21
BIHAR,10,BANKA,225,AMARPUR,1644,SULTANPUR,91516,25.082551,86.909933,SULTANPUR,21
BIHAR,10,BANKA,225,AMARPUR,1644,TARDIH,91517,25.033667,86.946567,TARDIH,21
BIHAR,10,BANKA,225,BELHAR,1648,BAHORNA,91565,24.975775,86.710352,BAHORNA,21
BIHAR,10,BANKA,225,BELHAR,1648,BASMATA,91566,24.875333,86.560911,BASMATA,21
BIHAR,10,BANKA,225,BELHAR,1648,BELHAR,91567,24.920555,86.595022,BELHAR,21
BIHAR,10,BANKA,225,BELHAR,1648,DHOURI,91568,24.966465,86.636634,DHOURI,21
BIHAR,10,BANKA,225,BELHAR,1648,DUMARIYA,91569,24.937566,86.585966,DUMARIYA,21
BIHAR,10,BANKA,225,BELHAR,1648,GHORBAHIYAR,91570,24.901502,86.643655,GHORBAHIYAR,21
BIHAR,10,BANKA,225,BELHAR,1648,HATHIYA DARA,91571,24.943422,86.555322,HATHIYA DARA,21
BIHAR,10,BANKA,225,BELHAR,1648,JHUKILIYA,91572,24.933822,86.563622,JHUKILIYA,21
BIHAR,10,BANKA,225,BELHAR,1648,LOUDIYA,91573,24.920766,86.588799,LOUDIYA,21
BIHAR,10,BANKA,225,BELHAR,1648,NIMIYA,91574,24.932133,86.696285,NIMIYA,21
BIHAR,10,BANKA,225,BELHAR,1648,RAGHUNATHPUR,91575,24.883544,86.678203,RAGHUNATHPUR,21
BIHAR,10,BANKA,225,BELHAR,1648,RAJPUR,91576,24.960663,86.646312,RAJPUR,21
BIHAR,10,BANKA,225,BELHAR,1648,RANGA,91577,24.932556,86.680045,RANGA,21
BIHAR,10,BANKA,225,BELHAR,1648,SAHEBGANJ,91578,24.915738,86.625214,SAHEBGANJ,21
