State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
BIHAR,10,ARARIA,209,FORBESGANJ,1626,forbesganj block,88888,26.31153,87.2454,FORBESGANJ BLOCK,21,,11198
BIHAR,10,ARARIA,209,PALASI,1630,palasi block,88888,26.24015,87.566317,Palasi Block,21,,2414
BIHAR,10,ARARIA,209,ARARIA,1624,araria basti,91078,26.144733,87.51455,ARARIA BASTI,21,,126
BIHAR,10,ARARIA,209,ARARIA,1624,bangama,91079,26.062133,87.408933,BANGAMA,21,,12214
BIHAR,10,ARARIA,209,ARARIA,1624,bansbari,91080,26.193217,87.447333,BANSBARI,21,,921
BIHAR,10,ARARIA,209,ARARIA,1624,basantpur,91081,26.162817,87.481583,BASANTPUR,21,,1086
BIHAR,10,ARARIA,209,ARARIA,1624,baturbari,91082,26.216917,87.481033,BATURBARI,21,,16497
BIHAR,10,ARARIA,209,ARARIA,1624,belwa,91083,26.117967,87.48615,BELWA,21,,593
BIHAR,10,ARARIA,209,ARARIA,1624,bochi,91084,26.2072,87.482533,BOCHI,21,,2254
BIHAR,10,ARARIA,209,ARARIA,1624,chandradei,91085,26.091633,87.421367,CHANDRADEI,21,,7176
BIHAR,10,ARARIA,209,ARARIA,1624,chatar,91086,26.003733,87.5033,CHATAR,21,,340
BIHAR,10,ARARIA,209,ARARIA,1624,chikani,91087,26.038783,87.446133,CHIKANI,21,,1576
BIHAR,10,ARARIA,209,ARARIA,1624,diyari,91088,26.0624,87.509067,DIYARI,21,,4045
BIHAR,10,ARARIA,209,ARARIA,1624,gainrha,91089,25.997583,87.454767,GAINRHA,21,,5527
BIHAR,10,ARARIA,209,ARARIA,1624,gaiyari,91090,26.099683,87.478267,GAIYARI,21,,8053
BIHAR,10,ARARIA,209,ARARIA,1624,haria,91091,26.170883,87.416983,HARIA,21,,2096
BIHAR,10,ARARIA,209,ARARIA,1624,hayatpur,91092,26.099383,87.41105,HAYATPUR,21,,670
BIHAR,10,ARARIA,209,ARARIA,1624,jamua,91093,26.298067,87.475217,JAMUA,21,,4544
BIHAR,10,ARARIA,209,ARARIA,1624,jhamta,91094,26.218417,87.46275,JHAMTA,21,,4968
BIHAR,10,ARARIA,209,ARARIA,1624,kamaldaha,91095,26.069533,87.435433,KAMALDAHA,21,,910
BIHAR,10,ARARIA,209,ARARIA,1624,kismat khawaspur,91096,26.26085,87.454417,KISMAT KHAWASPUR,21,,2700
BIHAR,10,ARARIA,209,ARARIA,1624,kusiyar gawon,91097,26.0645,87.485317,KUSIYAR GAWON,21,,3308
BIHAR,10,ARARIA,209,ARARIA,1624,madanpur east,91098,26.224883,87.513967,MADANPUR EAST,21,,2697
BIHAR,10,ARARIA,209,ARARIA,1624,madanpur west,91099,26.214517,87.499,MADANPUR WEST,21,,652
BIHAR,10,ARARIA,209,ARARIA,1624,paiktola,91100,26.018517,87.443933,PAIKTOLA,21,,745
