STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_na
10,216,01199,227955,Himmat patti,3034,1891,SAHEBGANJ,97960,GULAB PATTI
10,216,01199,227956,Parsauni Patti Gulab,2731,1891,SAHEBGANJ,97960,GULAB PATTI
10,216,01199,227957,Salempur,1048,1891,SAHEBGANJ,97953,BAIDYANATHPUR
10,216,01199,227958,Nawada  urf Salempur,458,1891,SAHEBGANJ,97952,AHIYAPUR
10,216,01199,227959,Ehiapur,5874,1891,SAHEBGANJ,97952,AHIYAPUR
10,216,01199,227960,Bhatandi,2698,1891,SAHEBGANJ,97952,AHIYAPUR
10,216,01199,227961,Dharampur,421,1891,SAHEBGANJ,97952,AHIYAPUR
10,216,01199,227962,Khursaida,3124,1891,SAHEBGANJ,97953,BAIDYANATHPUR
10,216,01199,227963,Parsauni Jahangir,1733,1891,SAHEBGANJ,97953,BAIDYANATHPUR
10,216,01199,227964,Baijnathpur,3782,1891,SAHEBGANJ,97953,BAIDYANATHPUR
10,216,01199,227965,Basdeopur Birt,665,1891,SAHEBGANJ,97956,BASUDEOPUR SARAI
10,216,01199,227966,Rasulpur,3036,1891,SAHEBGANJ,97956,BASUDEOPUR SARAI
10,216,01199,227967,Talgora,462,1891,SAHEBGANJ,97952,AHIYAPUR
10,216,01199,227968,Madhopur Hazari,10336,1891,SAHEBGANJ,97965,MADHOPUR HAJARI
10,216,01199,227969,Sarae urf Gopiganj,879,1891,SAHEBGANJ,97956,BASUDEOPUR SARAI
10,216,01199,227970,Basdeopur Sarai,5136,1891,SAHEBGANJ,97956,BASUDEOPUR SARAI
10,216,01199,227971,Karnaul Nilkanth,1211,1891,SAHEBGANJ,97953,BAIDYANATHPUR
10,216,01199,227972,Arazi Madhopur,500,1891,SAHEBGANJ,97956,BASUDEOPUR SARAI
10,216,01199,227973,Deosara Asli,687,1891,SAHEBGANJ,97956,BASUDEOPUR SARAI
10,216,01199,227974,Chak Roti Tor,372,1891,SAHEBGANJ,97961,HALIMPUR
10,216,01199,227975,Isa Chhapra,1630,1891,SAHEBGANJ,97961,HALIMPUR
10,216,01199,227976,Deoghara,1516,1891,SAHEBGANJ,97961,HALIMPUR
10,216,01199,227977,Rajwara,3474,1891,SAHEBGANJ,97957,BISHANPUR PATTI
10,216,01199,227978,Lodia,465,1891,SAHEBGANJ,97972,RAMPUR ASLI
10,216,01199,227979,Karnaul Chaturbhuj,1870,1891,SAHEBGANJ,97961,HALIMPUR
10,216,01199,227980,Halimpur Nawa Nagar,500,1891,SAHEBGANJ,97957,BISHANPUR PATTI
10,216,01199,227981,Bhalui Rasul,1197,1891,SAHEBGANJ,97957,BISHANPUR PATTI
10,216,01199,227982,Bhalui Khan,1361,1891,SAHEBGANJ,97958,BISHUNPUR KALYAN
10,216,01199,227983,Boaria,725,1891,SAHEBGANJ,97959,GAURA
10,216,01199,227984,Goura,2470,1891,SAHEBGANJ,97959,GAURA
10,216,01199,227985,Bhalui Sikandar,1108,1891,SAHEBGANJ,97958,BISHUNPUR KALYAN
10,216,01199,227986,Chak Abdulwahab,247,1891,SAHEBGANJ,97958,BISHUNPUR KALYAN
10,216,01199,227987,Bozo Chak urf BajuChak,73,1891,SAHEBGANJ,97958,BISHUNPUR KALYAN
10,216,01199,227988,Phulwaria,190,1891,SAHEBGANJ,97958,BISHUNPUR KALYAN
10,216,01199,227989,Bazo Chak,465,1891,SAHEBGANJ,97972,RAMPUR ASLI
10,216,01199,227990,Jagdishpur,2936,1891,SAHEBGANJ,97964,JAGDISHPUR
10,216,01199,227991,Arazi Jagdishpur,228,1891,SAHEBGANJ,97972,RAMPUR ASLI
10,216,01199,227992,Rampur Khurd Bhikanpura Bazail,1363,1891,SAHEBGANJ,97972,RAMPUR ASLI
10,216,01199,227993,Rampur Asli,2641,1891,SAHEBGANJ,97972,RAMPUR ASLI
10,216,01199,227994,Khori  Pakar,2653,1891,SAHEBGANJ,97958,BISHUNPUR KALYAN
10,216,01199,227995,Bisambharpur,1510,1891,SAHEBGANJ,97955,BASATPUR CHANPUR
10,216,01199,227996,Madhubani,896,1891,SAHEBGANJ,97955,BASATPUR CHANPUR
10,216,01199,227997,Naya Tola Madhubani,1618,1891,SAHEBGANJ,97960,GULAB PATTI
10,216,01199,227998,Satuahi,2555,1891,SAHEBGANJ,97972,RAMPUR ASLI
10,216,01199,227999,Naya Tola urf Telia Chhapra,518,1891,SAHEBGANJ,97960,GULAB PATTI
10,216,01199,228000,Telia Chhapra,1578,1891,SAHEBGANJ,97960,GULAB PATTI
10,216,01199,228001,Dharo Pali,2154,1891,SAHEBGANJ,97960,GULAB PATTI
10,216,01199,228002,Rampur urf Bhagawanpur,696,1891,SAHEBGANJ,97955,BASATPUR CHANPUR
10,216,01199,228003,Rampur Bhikhanpura,2831,1891,SAHEBGANJ,97955,BASATPUR CHANPUR
10,216,01199,228004,Arazi Bandobasti,903,1891,SAHEBGANJ,97955,BASATPUR CHANPUR
10,216,01199,228005,Anandi Chhapra,1054,1891,SAHEBGANJ,97955,BASATPUR CHANPUR
10,216,01199,228006,Somgarh,1837,1891,SAHEBGANJ,97958,BISHUNPUR KALYAN
10,216,01199,228007,Bishunpur Kalayan,3208,1891,SAHEBGANJ,97958,BISHUNPUR KALYAN
10,216,01199,228008,Jahura,1525,1891,SAHEBGANJ,97969,PRASAUNI RAISI
10,216,01199,228009,Tarwan,1821,1891,SAHEBGANJ,97969,PRASAUNI RAISI
10,216,01199,228010,Basantpur Chainpur,2882,1891,SAHEBGANJ,97955,BASATPUR CHANPUR
10,216,01199,228011,Parsauni Dube,918,1891,SAHEBGANJ,97969,PRASAUNI RAISI
10,216,01199,228012,Parsauni Raisi,1925,1891,SAHEBGANJ,97969,PRASAUNI RAISI
10,216,01199,228013,Parsa Gopi,413,1891,SAHEBGANJ,97969,PRASAUNI RAISI
10,216,01199,228014,Mahamadpur Madsudan,1318,1891,SAHEBGANJ,97969,PRASAUNI RAISI
10,216,01199,228015,Lakhna,1025,1891,SAHEBGANJ,97971,RAJEPUR
10,216,01199,228016,Gidha,860,1891,SAHEBGANJ,97971,RAJEPUR
10,216,01199,228017,Simri,125,1891,SAHEBGANJ,97969,PRASAUNI RAISI
10,216,01199,228018,Dostpur,1105,1891,SAHEBGANJ,97969,PRASAUNI RAISI
10,216,01199,228019,Rajapur,2947,1891,SAHEBGANJ,97971,RAJEPUR
10,216,01199,228020,Madhopur,1191,1891,SAHEBGANJ,97971,RAJEPUR
10,216,01199,228021,Nawada,769,1891,SAHEBGANJ,97971,RAJEPUR
10,216,01199,228022,Belsand Dakhli,983,1891,SAHEBGANJ,97971,RAJEPUR
10,216,01199,228023,Balthi Raisi,904,1891,SAHEBGANJ,97974,SARAIYA
10,216,01199,228024,Balthi Narsingh,701,1891,SAHEBGANJ,97969,PRASAUNI RAISI
10,216,01199,228025,Balthi Ghausi,1318,1891,SAHEBGANJ,97974,SARAIYA
10,216,01199,228026,Madhuban Suraj,854,1891,SAHEBGANJ,97974,SARAIYA
10,216,01199,228027,Balthi Narhar,1483,1891,SAHEBGANJ,97974,SARAIYA
10,216,01199,228028,Pipra Asli,1795,1891,SAHEBGANJ,97974,SARAIYA
10,216,01199,228029,Manguraha Asli,1529,1891,SAHEBGANJ,97971,RAJEPUR
10,216,01199,228030,Math Balgobind urf Mathia,542,1891,SAHEBGANJ,97974,SARAIYA
10,216,01199,228031,Sangrampur,432,1891,SAHEBGANJ,97974,SARAIYA
10,216,01199,228032,Manohar Chhapra,569,1891,SAHEBGANJ,97974,SARAIYA
10,216,01199,228033,Saraiya,3348,1891,SAHEBGANJ,97974,SARAIYA
10,216,01199,228034,Mirpur urf Nirpur,1122,1891,SAHEBGANJ,97959,GAURA
10,216,01199,228035,Mahdaia,401,1891,SAHEBGANJ,97959,GAURA
10,216,01199,228036,Mahdaia Math,1715,1891,SAHEBGANJ,97959,GAURA
10,216,01199,228037,Suleman Chhapra,617,1891,SAHEBGANJ,97959,GAURA
10,216,01199,228038,Parsa Sadhen,1566,1891,SAHEBGANJ,97959,GAURA
10,216,01199,228039,Subhanpur,949,1891,SAHEBGANJ,97959,GAURA
10,216,01199,228040,Dhania Hazaratpur,3034,1891,SAHEBGANJ,97968,PAKRI BASARAT
10,216,01199,228041,Daha Chhapra,1028,1891,SAHEBGANJ,97968,PAKRI BASARAT
10,216,01199,228042,Bhagawan pur,1677,1891,SAHEBGANJ,97967,PAHARPUR MANORATH
10,216,01199,228043,Belkanti urf Dharhara,2759,1891,SAHEBGANJ,97973,ROOP CHAPRA
10,216,01199,228044,Baradih,866,1891,SAHEBGANJ,97967,PAHARPUR MANORATH
10,216,01199,228045,Chiknauta Asli,758,1891,SAHEBGANJ,97968,PAKRI BASARAT
10,216,01199,228046,Daria Chhapra,1030,1891,SAHEBGANJ,97967,PAHARPUR MANORATH
10,216,01199,228047,Simra Nizamat,2338,1891,SAHEBGANJ,97967,PAHARPUR MANORATH
10,216,01199,228048,Simra Nankar,500,1891,SAHEBGANJ,97957,BISHANPUR PATTI
10,216,01199,228049,Bishunpur Patti,4346,1891,SAHEBGANJ,97957,BISHANPUR PATTI
10,216,01199,228050,Simra Nankar,610,1891,SAHEBGANJ,97957,BISHANPUR PATTI
10,216,01199,228051,Manaen,1497,1891,SAHEBGANJ,97967,PAHARPUR MANORATH
10,216,01199,228052,Pakri Asli,1893,1891,SAHEBGANJ,97957,BISHANPUR PATTI
10,216,01199,228053,Siunagar urf  Loharbeni,773,1891,SAHEBGANJ,97961,HALIMPUR
10,216,01199,228054,Halimpur,2839,1891,SAHEBGANJ,97961,HALIMPUR
10,216,01199,228055,Halimpur Purbi Chhapra,154,1891,SAHEBGANJ,97961,HALIMPUR
10,216,01199,228056,Emadpur,1129,1891,SAHEBGANJ,97961,HALIMPUR
10,216,01199,228057,Bangra Nizamat,6376,1891,SAHEBGANJ,97954,BANGRA NIZAMAT
10,216,01199,228058,Bangra Barar,436,1891,SAHEBGANJ,97954,BANGRA NIZAMAT
10,216,01199,228059,Chak Alahdad,1195,1891,SAHEBGANJ,97954,BANGRA NIZAMAT
10,216,01199,228060,Paharpur Barar,500,1891,SAHEBGANJ,97954,BANGRA NIZAMAT
10,216,01199,228061,Rup Chhapra urf Sarangpur,2843,1891,SAHEBGANJ,97973,ROOP CHAPRA
10,216,01199,228062,Paharpur Manorath,2211,1891,SAHEBGANJ,97967,PAHARPUR MANORATH
10,216,01199,228063,Sarangpur urf Rup chhapra,500,1891,SAHEBGANJ,97973,ROOP CHAPRA
10,216,01199,228064,Murhar,2206,1891,SAHEBGANJ,97973,ROOP CHAPRA
10,216,01199,228065,Sadullahpur,1579,1891,SAHEBGANJ,97973,ROOP CHAPRA
10,216,01199,228066,Nawada,1020,1891,SAHEBGANJ,97973,ROOP CHAPRA
10,216,01199,228067,Hussepur,3244,1891,SAHEBGANJ,97962,HUSEPUR
10,216,01199,228068,Hussepur,9065,1891,SAHEBGANJ,97963,HUSEPUR RATI
10,216,01199,228069,Bazidpur,1545,1891,SAHEBGANJ,97964,JAGDISHPUR
