State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phas
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Rajpur Koller (New),245804,32.665333,74.928556,Rajpur Koller (New),2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Birpur,245798,32.660861,74.953056,Birpur,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Birpur Lower,245799,32.65875,74.946111,Birpur Lower,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Bari (New),245806,32.638194,74.975444,Bari (New),2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Badhori Old,245805,32.632667,74.978444,Badhori Old,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Bagla Suchani,245791,32.626111,75.001944,Bagla Suchani,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Bagla Raya,245790,32.619306,74.993611,Bagla Raya,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Palli Old,245803,32.617,74.89225,Palli Old,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Patti,245787,32.60975,74.978556,Patti,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Patli New,245797,32.605333,74.942139,Patli New,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Tarore,245786,32.603389,74.948417,Tarore,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Bagla Jakh,245788,32.590806,74.967833,Bagla Jakh,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Bagla Dhamaore,245789,32.585583,74.959222,Bagla Dhamaore,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Debez Shahzada,245796,32.572194,74.966001,Debez Shahzada,2
JAMMU AND KASHMIR,1,SAMBA,22,GHAGWAL,79,Surrara,245826,32.561672,75.256001,Surrara,21
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Raika Labana,245800,32.555028,74.935861,Raika Labana,2
JAMMU AND KASHMIR,1,SAMBA,22,GHAGWAL,79,Ratwana,255700,32.554111,75.256833,Ratwana,21
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Gho Brahmna,245794,32.55175,74.955528,Gho Brahmna,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Rari,245795,32.551667,74.972611,Rari,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Gurwal,245777,32.551278,74.984556,Gurwal,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Gudwal-A,245792,32.551139,75.008944,Gudwal-A,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Chak Salaria,245781,32.538889,74.992306,Chak Salaria,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Chang,245784,32.538278,74.93725,Chang,2
JAMMU AND KASHMIR,1,SAMBA,22,GHAGWAL,79,Sangwali,245825,32.536822,75.194028,Sangwali,21
JAMMU AND KASHMIR,1,SAMBA,22,GHAGWAL,79,Jatwal,245815,32.53525,75.182822,Jatwal,21
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Gudwal-B,245793,32.532417,75.015667,Gudwal-B,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Swankha,245785,32.520583,74.933917,Swankha,2
JAMMU AND KASHMIR,1,SAMBA,22,GHAGWAL,79,Nonath,245814,32.519194,75.205528,Nonath,21
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Chak Chattakian,245809,32.518667,74.898778,Chak Chattakian,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Chak Bhalotran,245782,32.517417,74.933083,Chak Bhalotran,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Trindi,245807,32.516806,74.964222,Trindi,2
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Chak Nazir,245808,32.516278,74.886556,Chak Nazir,2
JAMMU AND KASHMIR,1,SAMBA,22,GHAGWAL,79,Patyari Katal,245821,32.516002,75.148639,Patyari Katal,21
JAMMU AND KASHMIR,1,SAMBA,22,VIJAYPUR,66,Khanpur,245778,32.515833,75.003389,Khanpur,2
JAMMU AND KASHMIR,1,SAMBA,22,GHAGWAL,79,Naran,245816,32.507639,75.160861,Naran,21
JAMMU AND KASHMIR,1,SAMBA,22,GHAGWAL,79,Tapyal,245812,32.506361,75.220556,Tapyal,21
