State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phas
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Pathi,246506,33.02264,75.12306,Pathi,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Tirshi,246516,33.00167,75.15006,Tirshi,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Muttal,246514,32.98922,75.03706,Muttal,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Mansar,246505,32.97703,75.12672,Mansar,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Sundrani,246513,32.97583,75.00667,Sundrani,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Gandala,246517,32.97025,75.13972,Gandala,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Krimachi,246500,32.96758,75.11703,Krimachi,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Patta,246507,32.96178,75.02772,Patta,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Neeli Nalla,246477,32.96178,75.02772,Neeli Nalla,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Dhanoo,246487,32.95917,75.01272,Dhanoo,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Dabreh,246501,32.95733,75.11167,Dabreh,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Chak Rakhwalan,246482,32.95061,75.08303,Chak Rakhwalan,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Tikri,246515,32.94747,74.98503,Tikri,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Kambal Danga,246497,32.94408,75.05978,Kambal Danga,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Hartaryan,246490,32.94408,75.05978,Hartaryan,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Mand West,246504,32.944,74.98308,Mand West,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Seen Brahamana,246488,32.94244,75.01778,Seen Brahamana,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Sambal,246485,32.93744,75.11967,Sambal,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Barolla,246476,32.93589,75.03656,Barolla,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Sunari,246491,32.92561,75.08106,Sunari,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Padanoo,246483,32.92561,75.08106,Padanoo,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Barrian,246495,32.92539,75.14483,Barrian,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Seen Thakran,246511,32.92133,75.034,Seen Thakran,21
JAMMU AND KASHMIR,1,UDHAMPUR,19,UDHAMPUR,134,Charri,246486,32.92025,75.1595,Charri,21
