STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_na
01,011,00045,002845,Chunt Valiwar,5950,0,STRING ENTERED,242329,Chuntwaliwar C
01,011,00045,002847,Wata Lar,3476,0,STRING ENTERED,242326,Wutlar B
01,011,00045,002849,Bagh Mahanand,739,0,STRING ENTERED,242326,Wutlar B
01,011,00045,002850,Bagh Zaman Ganai,161,0,STRING ENTERED,242326,Wutlar B
01,011,00045,002851,Bena Hama,2079,0,STRING ENTERED,242324,Benhama
01,011,00045,002852,Mani Gam,7606,0,STRING ENTERED,242323,Manigam B
01,011,00045,002853,Watal Bag,1229,0,STRING ENTERED,242334,Waheedpora
01,011,00045,002855,Khrani Hama,1351,0,STRING ENTERED,242336,Khranihama
01,011,00045,002856,Rapore,2822,0,STRING ENTERED,242333,Repora B
01,011,00045,002875,Wahid Pora,2344,0,STRING ENTERED,242334,Waheedpora
01,011,00045,002876,Danger Pora,600,0,STRING ENTERED,242336,Khranihama
01,011,00045,002877,Thuru,2008,0,STRING ENTERED,242335,Theeru
01,011,00046,002884,Anderwan,3096,0,STRING ENTERED,242321,Anderwan B
01,011,00046,002885,Ara Hama,2112,0,STRING ENTERED,242319,Arhama- C
01,011,00046,002886,Hari Pora,4026,0,STRING ENTERED,242316,Haripora
01,011,00046,002887,Wossan,4810,0,STRING ENTERED,242295,Woussan B
01,011,00046,002888,Chiner,1007,0,STRING ENTERED,242295,Woussan B
01,011,00046,002889,Chater Gul,7641,0,STRING ENTERED,242273,Chattergul A (Babareshi)
01,011,00046,002890,Arigori Pora,2488,0,STRING ENTERED,242276,Arigoripora
01,011,00046,002891,Drag Tanga,385,0,STRING ENTERED,242315,Preng B
01,011,00046,002892,Palang (Preng),2450,0,STRING ENTERED,242315,Preng B
01,011,00046,002893,Lari,889,0,STRING ENTERED,242315,Preng B
01,011,00046,002894,Barwalah,1337,0,STRING ENTERED,242278,Barwulla
01,011,00046,002895,Gund Ari,713,0,STRING ENTERED,242312,Kachnambal-A
01,011,00046,002896,Kacha Nambal,2591,0,STRING ENTERED,242312,Kachnambal-A
01,011,00046,002897,Wangat,6616,0,STRING ENTERED,242300,Wangath B
01,011,00046,002898,Khanan,1731,0,STRING ENTERED,242279,Khanan
01,011,00046,002901,Kij Parah,754,0,STRING ENTERED,242277,Kijpora
01,011,00046,002902,Hardo Panzin,1146,0,STRING ENTERED,242277,Kijpora
01,011,00046,002903,Kangan,5985,0,STRING ENTERED,242299,Kangan-B
01,011,00046,002905,Akhal,4053,0,STRING ENTERED,242296,Akhal-A
01,011,00046,002907,Mar Gund,1921,0,STRING ENTERED,242281,Margund
01,011,00046,002908,Satrina,1494,0,STRING ENTERED,242280,Burnabugh
01,011,00046,002909,Cheerwan,2706,0,STRING ENTERED,242282,Cherwan A
01,011,00046,002911,Thune,4020,0,STRING ENTERED,242302,Thune-A
01,011,00046,002912,Yechi Hama,1082,0,STRING ENTERED,242287,Yachama
01,011,00046,002914,Mamer,2883,0,STRING ENTERED,242304,Mammer-A
01,011,00046,002915,Hari Ganiwan,6699,0,STRING ENTERED,242285,Ganiwan A
01,011,00046,002916,Soraf Raw,3510,0,STRING ENTERED,242291,Surfraw B
01,011,00046,002917,Sumbal Bala,2415,0,STRING ENTERED,242293,Sumbal
01,011,00046,002918,Fraw Haknar,2918,0,STRING ENTERED,242288,Fraw Haknar A
01,011,00046,002919,Gund Sarsingh,3688,0,STRING ENTERED,242308,Gund Sar Singh A
01,011,00046,002920,Rayil,2647,0,STRING ENTERED,242292,Rayil
01,011,00046,002921,Kolan,2960,0,STRING ENTERED,242306,Kullan -A
01,011,00046,002923,Sonamarg,1051,0,STRING ENTERED,242310,Sonamarg-A
01,011,00046,002924,Nilagrar,1085,0,STRING ENTERED,242310,Sonamarg-A
01,011,00047,002926,Gotli Bagh,933,0,STRING ENTERED,242254,Gutlibagh
01,011,00047,002928,Urpash,2745,0,STRING ENTERED,242256,Urpash
01,011,00047,002929,Nuner,3612,0,STRING ENTERED,242261,Nunner
01,011,00047,002930,Babosi Pora,598,0,STRING ENTERED,242257,Arch
01,011,00047,002931,Hardo Mardabagh Abad,134,0,STRING ENTERED,242260,Serch
01,011,00047,002933,Badhra Kund,1938,0,STRING ENTERED,242259,Buder Kund
01,011,00047,002935,Arch,1584,0,STRING ENTERED,242257,Arch
01,011,00047,002936,Tulmulla,7240,0,STRING ENTERED,242269,Tulamulla-B
01,011,00047,002937,Baba Dariya Din,479,0,STRING ENTERED,242264,Darend
01,011,00047,002939,Gund Momin,743,0,STRING ENTERED,242270,Hutbura
01,011,00047,002940,Seh Pora,2250,0,STRING ENTERED,242258,Shahpora
01,011,00047,002947,Hat Barah,1039,0,STRING ENTERED,242270,Hutbura
01,011,00047,002948,Hakim Gund,570,0,STRING ENTERED,242270,Hutbura
01,011,00047,002949,Kastori Pora,346,0,STRING ENTERED,242270,Hutbura
01,011,00047,002950,Shalla Bug,5229,0,STRING ENTERED,242265,Shallabugh-A
01,011,00047,002953,Harran,1897,0,STRING ENTERED,242271,Harran
01,011,00047,002954,Gund Rahman,1012,0,STRING ENTERED,242271,Harran
01,011,00047,002955,Rakh Harran,3697,0,STRING ENTERED,242272,Kujar
01,011,00047,002956,Gadoora (Gadra),3654,0,STRING ENTERED,242263,Gadoora
01,011,00047,002958,Wail (CT),8335,0,STRING ENTERED,242255,Wayil
