STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_na
01,001,00001,000001,Bore,130,84,KRALPORA,7237,Pathra
01,001,00001,000002,Keran,3770,84,KRALPORA,7231,Kare
01,001,00001,000003,Bugna,500,84,KRALPORA,7237,Pathra
01,001,00001,000004,Bichwal,500,84,KRALPORA,7231,Kare
01,001,00001,000005,Mindiyan,5255,6712,QAZIGUND (PARTLY),239438,Nepor
01,001,00001,000006,Patrin,3001,84,KRALPORA,7237,Pathra
01,001,00001,000007,Juma Gund,1310,6712,QAZIGUND (PARTLY),7390,L.Gangipora-
01,001,00001,000008,Khantha Wali (Shalun Bhatta),129,6712,QAZIGUND (PARTLY),7390,L.Gangipora-
01,001,00001,000009,Har Duing,3080,83,KALAROOCH,7210,Hardring 
01,001,00001,000010,Chunti Wari,4437,83,KALAROOCH,239195,Chontiwari 
01,001,00001,000011,Dudi,2227,83,KALAROOCH,7209,Dud
01,001,00001,000012,Dab Bal,2197,83,KALAROOCH,7208,Dapa
01,001,00001,000013,Misri Behak,1996,83,KALAROOCH,7208,Dapa
01,001,00001,000014,Machil,1614,6712,QAZIGUND (PARTLY),239197,Hardring 
01,001,00001,000015,Push Wari,1479,83,KALAROOCH,239194,Pushwar
01,001,00001,000016,Khurhama,5484,93,WAVOORA,239236,Khurahama 
01,001,00001,000017,Sever Thendi Pora,5524,93,WAVOORA,7406,Sewar Thandipor
01,001,00001,000018,Warnow,8318,93,WAVOORA,239234,Warnow 
01,001,00001,000019,Tekiya Khurhama,1851,93,WAVOORA,239236,Khurahama 
01,001,00001,000020,Kuligam,6524,93,WAVOORA,7403,Khod
01,001,00001,000021,Maidan Pora,6866,93,WAVOORA,7404,Maidanpor
01,001,00001,000022,Sayiwan,1120,89,SOGAM,239229,Saiwa
01,001,00001,000023,Daramwari,522,89,SOGAM,7360,Tangchec
01,001,00001,000024,Lal Pora,13749,6712,QAZIGUND (PARTLY),7356,Lalpora 
01,001,00001,000026,Dard Pora,3329,89,SOGAM,7348,Dardpor
01,001,00001,000027,Muqam Shrif Dar,86,89,SOGAM,7353,Hayatpor
01,001,00001,000028,Muqam Lolab,906,89,SOGAM,239223,Muqam Dardpor
01,001,00001,000029,Hayat Pora,1505,89,SOGAM,7353,Hayatpor
01,001,00001,000030,Rukh Gund Macher,1438,89,SOGAM,239232,Gundmanchie
01,001,00001,000031,Thun Doosa,1006,89,SOGAM,7353,Hayatpor
01,001,00001,000032,Dever Inder Bug,10863,89,SOGAM,239220,Diver 
01,001,00001,000033,Teki Pora,7437,89,SOGAM,239222,Tikkipora 
01,001,00001,000034,Drooch Wani,4276,89,SOGAM,239221,Walku
01,001,00001,000035,Chandi Gam,3482,89,SOGAM,7347,Chandiga
01,001,00001,000037,Sogam,10166,89,SOGAM,7357,Sogam 
01,001,00001,000038,Tung Check,2556,89,SOGAM,7360,Tangchec
01,001,00001,000039,Gung Bug,1174,89,SOGAM,7360,Tangchec
01,001,00001,000040,Krohsan,3579,89,SOGAM,7354,Krusa
01,001,00001,000041,Putushy,3333,93,WAVOORA,7405,Putsha
01,001,00001,000042,Gagal,5555,93,WAVOORA,239238,Gagal 
01,001,00001,000043,Wavoora,3129,93,WAVOORA,239233,Wavora 
01,001,00001,000044,Sorigam,4807,93,WAVOORA,7407,Suriga
01,001,00001,000045,Khanti Pora,3337,93,WAVOORA,7401,Kanthpor
01,001,00001,000046,Doni Wari,2536,93,WAVOORA,239717,DoonaWar
01,001,00001,000047,Cheeri Koot,3756,93,WAVOORA,7399,Cheerkoo
01,001,00001,000048,Gundi  Jahangeer,1035,93,WAVOORA,239239,Shumriya
01,001,00001,000049,Shumriyal,1343,93,WAVOORA,239239,Shumriya
01,001,00001,000050,Khumriyal,7381,83,KALAROOCH,7212,Khumriyal 
01,001,00001,000051,Kalarooch,37233,83,KALAROOCH,239188,Lastiya
01,001,00001,000052,Zangli Kasheera,3453,85,KUPWARA,239712,Zangal
01,001,00001,000053,Manigah,9094,85,KUPWARA,7268,Manigah 
01,001,00001,000054,Lashdat,385,85,KUPWARA,7246,Batapora 
01,001,00001,000055,Hayihama,24083,85,KUPWARA,7261,Jugtiya
01,001,00001,000056,Halmat Pora,6984,85,KUPWARA,239705,Halmatpora 
01,001,00001,000057,Teker,5781,85,KUPWARA,7278,Tikke
01,001,00001,000058,Buhi Pora,2563,85,KUPWARA,7248,Bohipor
01,001,00001,000059,Gund Gushi,1538,85,KUPWARA,7269,Mogalpor
01,001,00001,000060,Gushi,3820,85,KUPWARA,239702,Gushie 
01,001,00001,000061,Batter Gam,2610,85,KUPWARA,7247,Beterga
01,001,00001,000062,Gulgam,9679,92,TREHGAM,239343,Gulgam 
01,001,00001,000063,Checki Kaliloan,490,92,TREHGAM,239342,Alchiza
01,001,00001,000064,Auwoora,11584,92,TREHGAM,239348,Awoora 
01,001,00001,000065,Alchi Zab,1344,92,TREHGAM,239342,Alchiza
01,001,00001,000066,Kawari,2437,92,TREHGAM,239347,Kawar
01,001,00001,000067,Zurhama,4647,92,TREHGAM,7398,Zurhama 
01,001,00001,000068,Marhama,2499,92,TREHGAM,7393,Murham
01,001,00001,000069,Ladriwan,2327,92,TREHGAM,7392,Laderwa
01,001,00001,000070,Hundi,2262,92,TREHGAM,239341,Hund
01,001,00001,000071,Hayan,4588,92,TREHGAM,7389,Hayan 
01,001,00001,000072,Gungloosa (Gugloosa),3975,92,TREHGAM,7384,Gugloosa 
01,001,00001,000073,Shum Nag,1692,6712,QAZIGUND (PARTLY),7395,Vess
01,001,00001,000074,Solina,497,6712,QAZIGUND (PARTLY),7395,Vess
01,001,00001,000075,Dard Sun Resh Gund,7060,84,KRALPORA,7226,Dardsun 
01,001,00001,000076,Guzriyal,3580,84,KRALPORA,7228,Gizriyal 
01,001,00001,000077,Warsun,6220,84,KRALPORA,239209,Warsun 
01,001,00001,000078,Dard Hari Khar Gund,3532,84,KRALPORA,7223,Dard Hari
01,001,00001,000079,Lona Hari,3963,84,KRALPORA,7233,Lone Harie 
01,001,00001,000080,Kachi Hama,5187,84,KRALPORA,239202,Kachama 
01,001,00001,000081,Meelyal,3523,84,KRALPORA,7234,Meellya
01,001,00001,000082,Farkan,5331,84,KRALPORA,7227,Firkiya
01,001,00001,000083,Ration Pora,3758,84,KRALPORA,239210,Rashanpora 
01,001,00001,000084,Dard Pora,14260,84,KRALPORA,7224,Dardpora 
01,001,00001,000085,Rawat Pora,2741,84,KRALPORA,7238,Rawathpor
01,001,00001,000086,Panzgam,14453,84,KRALPORA,239203,Panzgam 
01,001,00001,000087,Gundi Zuni Reshi,2057,84,KRALPORA,7229,Gund Zunrish
01,001,00001,000088,Chowkibal,5153,84,KRALPORA,239207,Manzpatahe
01,001,00001,000089,Budnumbal,3093,6712,QAZIGUND (PARTLY),239439,Driya
01,001,00001,000090,Bata Pora,1819,85,KUPWARA,263263,Taibal 
01,001,00001,000091,Sunti Pora,2030,84,KRALPORA,7221,Batapora 
01,001,00001,000092,Aloosa,2105,84,KRALPORA,7220,Alooos
01,001,00001,000093,Slamat Wari,125,84,KRALPORA,7242,Shaloor
01,001,00001,000094,Shoolora,2399,84,KRALPORA,7242,Shaloor
01,001,00001,000095,Gofa Bal,308,6712,QAZIGUND (PARTLY),7395,Vess
01,001,00001,000096,Poosh Pora,3177,92,TREHGAM,7394,Poshpora 
01,001,00001,000097,Qunan Baba Gund,2372,92,TREHGAM,7391,Kuna
01,001,00001,000098,Hanji Pora,1069,92,TREHGAM,7388,Hanjipor
01,001,00001,000099,Kar Hama,1612,85,KUPWARA,7263,Karihama  
01,001,00001,000100,Bali Pora,390,85,KUPWARA,239703,Karihama 
01,001,00001,000101,Push Wari,996,85,KUPWARA,239703,Karihama 
01,001,00001,000102,Pari Pora,1777,85,KUPWARA,7258,Hatmull
01,001,00001,000103,Dedi Koot,2013,85,KUPWARA,7251,Dedikoo
01,001,00001,000104,Gotangoo,657,85,KUPWARA,7251,Dedikoo
01,001,00001,000105,Mugal Pora,2611,85,KUPWARA,7269,Mogalpor
01,001,00001,000106,Ogabal,762,85,KUPWARA,7258,Hatmull
01,001,00001,000107,Pazi Pora,2696,85,KUPWARA,7273,Pazipor
01,001,00001,000108,Bumhama,3081,85,KUPWARA,7250,Bumahm
01,001,00001,000109,Ander Hama,6539,85,KUPWARA,7244,Anderham
01,001,00001,000110,Watter Khani,969,85,KUPWARA,239698,Waterkhan
01,001,00001,000111,Hat Mulla,2903,85,KUPWARA,7258,Hatmull
01,001,00001,000112,Wara Pora,1180,85,KUPWARA,7258,Hatmull
01,001,00001,000113,Buber Nag,498,6712,QAZIGUND (PARTLY),7270,Sadoor
01,001,00001,000114,Hakcher Pora,198,85,KUPWARA,7270,Sadoor
01,001,00001,000115,Negrimal Pora,5516,85,KUPWARA,7270,Sadoor
01,001,00001,000116,Shat Muqam,454,85,KUPWARA,7249,Bramrie 
01,001,00001,000117,Bramri,4249,85,KUPWARA,239700,Bramrie 
01,001,00001,000118,Rud Bug,2657,85,KUPWARA,7274,Redbug
01,001,00001,000119,Shedi Pora,907,85,KUPWARA,239698,Waterkhan
01,001,00001,000120,Kigam,6179,85,KUPWARA,7265,Keega
01,001,00001,000122,Forest Block,500,85,KUPWARA,239712,Zangal
01,001,00001,000123,Dara Pora (CT),8464,89,SOGAM,7349,Hille
01,001,00001,000124,Sool Koot (CT),3973,85,KUPWARA,7277,Sulkot
01,001,00001,000125,Heri (CT),6348,92,TREHGAM,239350,Hirri Bala 
01,001,00001,000126,Trehgam (CT),15587,92,TREHGAM,239336,Trehgam 
01,001,00001,000127,Kral Pora (CT),6518,84,KRALPORA,239211,Kralpora 
01,001,00001,000128,Drug Mulla (CT),12930,85,KUPWARA,7266,Muqam Shahwal
01,001,00002,000129,Gundi momin,487,6712,QAZIGUND (PARTLY),7331,Furra
01,001,00002,000130,Sher Kot,1085,6712,QAZIGUND (PARTLY),7342,Tanglo
01,001,00002,000131,Banger Gund,261,6712,QAZIGUND (PARTLY),239430,Sangra
